;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
21;-0.0527943870386998;0.0627550619579088;10;1;3;4;1;1;0;0;0;0
211;0.0185476553273362;-0.0230197231679346;0;0;0;0;3;5;2;6;3;1
212;-0.00590390585232641;-0.0333224035431607;0;0;2;4;6;8;0;0;0;0
213;0.0535676281521294;0.063852318667665;0;0;0;0;1;1;0;5;8;5
214;0.0141170454541014;-0.0279581094901602;0;0;1;1;6;6;1;4;1;0
215;0.0353741115812277;0.00812040421191965;0;1;0;0;0;2;3;6;7;1
216;0.0349894939214203;0.00718963399627988;0;0;0;0;2;2;0;10;2;4
217;0.0405011481399297;0.0215062642347071;0;0;0;0;1;2;0;11;2;4
218;0.0024788312609732;-0.0344545492600185;1;0;0;4;2;7;3;2;1;0
219;0.00120641220504964;-0.0345959770444993;0;0;1;4;4;4;0;4;2;1
2110;-0.0021057829823581302;-0.0344383149649245;0;0;0;6;3;7;1;2;0;1
2111;-0.0122136514875022;-0.0292601493933634;2;0;8;3;2;2;0;3;0;0
2112;0.008973886768205071;-0.0319857179672925;0;0;1;2;9;3;0;4;1;0
2113;0.0382992079976948;0.0155343305363599;0;0;0;0;0;2;1;7;7;3
2114;0.0491337720999755;0.0481576499789107;0;0;0;0;0;1;0;3;7;9
2115;-0.0428743681772221;0.0297299872296022;7;0;8;5;0;0;0;0;0;0
2116;0.0270969434472216;-0.009648165346691709;0;0;0;0;0;3;1;11;4;1
2117;0.00546734873449761;-0.0336814492484284;0;0;1;3;5;8;0;2;1;0
2118;-0.0176648018328855;-0.0235307439857111;2;0;4;6;7;1;0;0;0;0
2119;0.0197269100884375;-0.0214762478806818;0;0;2;2;1;4;0;5;5;1
2120;0.0450943566447212;0.0350443599154454;0;0;0;0;1;2;0;6;6;5
2121;0.0447175562722538;0.0338787598366361;0;0;0;0;0;5;0;4;9;2
2122;-0.0043603528186923896;-0.0338964106883907;0;0;1;4;5;4;1;5;0;0
2123;0.0515119591761879;0.0564065174586972;0;0;0;0;1;1;0;5;5;8
2124;0.000424297452378825;-0.0346272674190197;0;0;3;6;4;6;1;0;0;0
2125;0.0457861844491203;0.0372100703230538;0;0;0;0;1;3;0;5;4;7
2126;0.0266399164510672;-0.010491042841562999;0;0;0;1;1;2;3;8;4;1
2127;-0.0512304321446456;0.0570959292304204;10;0;4;5;1;0;0;0;0;0
2128;-0.035789755473453;0.0103158594665483;6;0;7;2;3;2;0;0;0;0
2129;-0.00137140471074005;-0.0345388229322604;0;0;2;3;6;6;0;3;0;0
2130;0.0386795927840182;0.0165419886351142;0;0;0;1;1;1;0;8;5;4
2131;0.00260999109770438;-0.0344335965026913;0;0;1;1;7;7;0;0;1;3
2132;-0.0345817826865395;0.007352485113551909;6;0;5;6;2;1;0;0;0;0
2133;0.0240563656716614;-0.0149837790516621;0;0;2;1;2;5;1;6;2;1
2134;-0.03248822331931;0.0024559445982505197;3;0;10;2;4;1;0;0;0;0
2135;0.0247741163644693;-0.0137819979917432;0;0;1;2;1;4;0;5;4;3
2136;-0.0378846221086817;0.0156945249874132;8;0;6;4;2;0;0;0;0;0
2137;-0.0551842103788161;0.071729759694533;12;0;1;3;3;1;0;0;0;0
2138;0.0437631854516225;0.0309704850327658;0;0;0;0;1;3;1;7;5;3
2139;-0.0190721972733175;-0.0217172688558277;0;0;7;4;3;6;0;0;0;0
2140;0.00277860894890528;-0.0344049095384349;0;0;4;0;2;6;0;6;2;0
2141;-0.00956541127002574;-0.0313008608162511;2;0;3;3;6;3;0;3;0;0
2142;0.0224189281815719;-0.0175919209147337;0;0;1;2;1;5;1;6;4;0
2143;0.0244012107889482;-0.0144108331182392;0;0;0;1;3;4;1;4;7;0
2144;-0.0394335659926213;0.0198669430500535;4;0;3;11;1;1;0;0;0;0
2145;0.0123103630106653;-0.0295816498556371;0;0;1;4;5;4;2;3;1;0
2146;-0.0209744614990597;-0.0190481358194066;2;0;5;7;2;2;0;2;0;0
2147;0.0406374787841785;0.0218870479553404;0;0;0;0;2;1;0;4;6;7
2148;0.00881725165259957;-0.0320796343106337;1;0;0;2;3;7;0;4;2;1
2149;-0.0359517296164495;0.0107208946357537;6;0;5;4;3;1;1;0;0;0
2150;-0.0326184594251293;0.00275169466062681;6;0;6;6;2;0;0;0;0;0
2151;0.0448621666500952;0.0343249371504838;0;0;0;0;1;1;0;2;10;6
2152;-0.03306710557624799;0.0037795074576456203;4;0;9;3;3;1;0;0;0;0
2153;-0.0262946156868103;-0.0102527401424192;0;1;2;7;5;4;0;1;0;0
2154;-0.039462553164951;0.0199466101273036;6;0;6;2;5;1;0;0;0;0
2155;0.0444979697002043;0.0332040219898453;0;0;0;0;0;2;0;3;9;6
2156;-0.0419112811806022;0.0268866749202578;10;0;5;3;2;0;0;0;0;0
2157;-0.0420397122755641;0.0272621289679885;3;0;5;7;4;0;0;1;0;0
2158;-0.0419912659552214;0.0271203673523164;10;0;6;2;1;1;0;0;0;0
