;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
21;-0.00607195152246646;-0.0341553430370653;0;1;6;1;5;4;3;0;0;0
211;0.00620423581191266;-0.0338320274243143;0;0;0;1;7;4;1;4;3;0
212;-0.034336040463883;0.00557826619840279;1;5;8;3;2;1;0;0;0;0
213;-0.0267083696191758;-0.0107053251924629;0;2;4;6;3;5;0;0;0;0
214;0.00534997619316841;-0.0341992142309041;0;0;1;3;5;4;5;0;2;0
215;-0.0487985818748171;0.0477390204971891;3;11;4;1;0;1;0;0;0;0
216;-0.00650731520825807;-0.0339713085499038;0;2;3;4;4;4;1;1;1;0
217;-0.0524638570394093;0.0607711136550606;4;10;6;0;0;0;0;0;0;0
218;0.0173770342917583;-0.0242826243911054;0;0;0;0;2;7;1;4;5;1
219;0.0361300565776064;0.0115706700790214;0;0;0;1;1;2;1;8;3;4
2110;0.035040294582802;0.00880720372895972;0;0;0;1;0;3;0;8;4;4
2111;-0.0113849395520072;-0.0309939958589762;0;3;2;4;5;3;1;1;1;0
2112;0.0356847944084271;0.0104314170882991;0;0;0;0;0;2;0;7;9;2
2113;-0.0487731198801621;0.0476518086656293;9;5;4;0;1;1;0;0;0;0
2114;-0.0397657450944217;0.0196741761009944;3;8;5;0;3;1;0;0;0;0
2115;-0.0331568401428107;0.00279228120220603;4;8;5;0;2;0;1;0;0;0
2116;-0.0275874304679194;-0.0090382722225487;0;7;3;4;2;4;0;0;0;0
2117;-0.0429087613377731;0.0287855129457909;2;7;9;1;0;0;1;0;0;0
2118;-0.0539643800333053;0.0663801357357847;9;6;5;0;0;0;0;0;0;0
2119;-0.0452078787683835;0.0358924643721476;5;6;6;1;2;0;0;0;0;0
2120;0.0291359259835993;-0.00470652422988422;0;0;0;0;1;4;0;8;5;2
2121;-0.0282961030673352;-0.007654595430936341;0;2;9;5;2;0;1;1;0;0
2122;0.0100226142380928;-0.03156048497735;0;0;0;4;4;3;2;5;2;0
2123;0.0536115344920227;0.0673697267557481;0;0;0;0;0;2;1;4;7;6
2124;0.0472500822080305;0.0445656733307819;0;0;0;0;0;2;0;5;5;8
2125;0.0319515166576454;0.0014304858336925401;0;0;0;1;1;0;0;7;6;5
2126;0.0293388127307032;-0.00428302740014779;0;0;0;2;1;3;0;5;5;4
2127;0.030354500405249;-0.00211920287618949;0;1;0;0;1;0;0;10;4;4
2128;0.0235472774554244;-0.0152286232027752;0;0;0;0;0;5;0;7;6;2
2129;-0.0312653679257063;-0.00147134320170927;7;5;4;0;1;1;2;0;0;0
2130;0.0525702169103262;0.0634411846351721;0;0;0;1;0;1;0;4;6;8
2131;-3.7681989046263895e-05;-0.0353269967413877;0;3;2;3;4;6;1;0;0;1
2132;0.0499090891258235;0.0537496997354007;0;0;0;0;0;1;0;6;8;5
2133;0.0502297777410143;0.0548910922188533;0;0;0;0;0;1;0;2;7;10
2134;-0.0203178205779984;-0.0211832331859576;0;6;5;2;4;3;0;0;0;0
2135;-0.00124049384983516;-0.0352987433766776;0;3;1;3;5;4;1;2;0;1
2136;-0.030477965832708998;-0.00317173450965745;0;3;5;7;2;2;1;0;0;0
2137;0.00124044233464602;-0.0352450016228436;0;0;1;4;3;7;1;4;0;0
2138;0.0444374568995415;0.0353947179748694;0;0;0;1;0;0;0;6;6;7
2139;0.0152713249947049;-0.0267568479184526;0;0;1;2;3;2;0;5;5;2
2140;-0.0463830766307098;0.0396694321989607;4;6;9;0;1;0;0;0;0;0
2141;0.00454345493485374;-0.0344985637368828;0;0;0;2;5;7;1;4;1;0
2142;-0.0332386768909193;0.00298245668138401;2;8;6;1;3;0;0;0;0;0
2143;-0.010081359764856;-0.0319542905989141;0;1;5;4;4;3;1;2;0;0
2144;0.0156051505033419;-0.0263854960170501;0;0;1;2;5;2;0;5;1;4
2145;-0.0227620913362628;-0.0175163694893611;1;7;4;2;3;3;0;0;0;0
2146;-0.0101625078008649;-0.0318980163974011;0;2;2;7;2;5;1;1;0;0
2147;-0.0373114873525306;0.0130447734227889;7;5;7;0;1;0;0;0;0;0
2148;0.00422986223641704;-0.0346025485449613;0;1;3;5;4;2;4;0;1;0
2149;-0.0350825551680356;0.007392769929086009;0;5;3;8;1;1;2;0;0;0
2150;0.0190518406340273;-0.0220910422495804;0;0;0;3;2;4;0;5;3;3
2151;-0.0501894732738276;0.0525726618028288;8;7;4;0;1;0;0;0;0;0
2152;0.0523840373932524;0.0627468650099804;0;0;0;0;0;0;0;4;9;7
2153;0.0381006070237876;0.0167807133206033;0;0;0;0;0;2;0;9;5;4
2154;-0.0427669548430961;0.0283593934482533;3;5;7;1;4;0;0;0;0;0
2155;0.010777045739219;-0.0309898048580579;0;3;2;0;5;5;0;5;0;0
2156;-0.0195060557564716;-0.0223076603764388;0;0;5;6;8;1;0;0;0;0
2157;-0.0313753051451296;-0.0012304492991144199;1;6;8;2;3;0;0;0;0;0
2158;0.013645287068564;-0.028453095901586005;0;1;1;1;2;5;2;2;3;3
2159;0.04816631935922701;0.0476738846384019;0;0;0;0;0;2;0;7;1;10
2160;0.0266578646645739;-0.00964442820447255;0;0;0;1;1;3;0;7;5;3
2161;0.00951128732405397;-0.0319244080080831;0;2;0;4;7;2;1;4;0;0
2162;-0.027315390707464;-0.00956000259311003;0;2;6;8;3;0;1;0;0;0
2164;0.0160046295952594;-0.0259307617422628;0;0;0;1;5;6;0;5;3;0
2165;-0.0344117034849411;0.00576038216815812;2;7;5;4;1;0;1;0;0;0
2166;0.0057385017350626;-0.0340386063844811;0;0;6;0;4;5;3;0;0;2
2167;-0.0107724422836031;-0.0314601510384255;0;3;4;5;2;4;1;1;0;0
2168;0.0512387347648092;0.0585295564866716;0;0;0;0;0;1;2;3;3;11
2169;-0.0535797113146094;0.0649270636286804;9;8;3;0;0;0;0;0;0;0
2170;0.0363877658305522;0.0122364477650287;0;0;0;0;0;2;0;6;4;8
2171;-0.005561452779284721;-0.0343540805132971;0;1;2;6;5;1;1;2;1;1
2172;0.0412723217479344;0.0257427424398497;0;0;0;0;0;0;0;5;7;8
2173;0.00577350907284992;-0.0340236113535687;0;0;3;3;3;2;1;7;0;1
2174;-0.0204849830493097;-0.0209459050121508;1;3;8;0;3;3;2;0;0;0
2175;0.0062347446238253295;-0.0338179602383997;0;0;3;1;4;6;4;0;2;0
2176;-0.00991978539000956;-0.0320649531081134;0;1;3;2;7;5;2;0;0;0
2177;0.0481209678472035;0.0475186404892243;0;0;0;0;0;1;1;5;9;4
2178;-0.0363352170160932;0.010525999123108;0;6;5;3;5;1;0;0;0;0
2179;0.0386861607539202;0.0183817640568886;0;0;0;0;0;2;0;6;5;7
2180;0.0241325910248686;-0.014230070215684;0;0;0;0;2;3;1;5;8;1
2181;-0.0138175456193125;-0.0288809245245188;0;0;3;6;6;3;2;0;0;0
2182;-0.0438917848550565;0.0317784975211842;7;8;3;0;0;1;1;0;0;0
2183;-0.0162228173144823;-0.0263805265399509;0;2;3;4;3;6;0;1;1;0
2184;-0.04879818812976099;0.0477376715020982;9;4;7;0;0;0;0;0;0;0
2185;-0.016049200730351997;-0.026574696731343994;0;6;3;6;1;2;2;0;0;0
2186;-0.0185036802544494;-0.0236318755911229;0;1;4;4;4;4;1;1;1;0
2187;0.0106395889705298;-0.0310967782076005;0;2;1;3;4;1;2;4;1;2
2188;0.0385856181538241;0.018105132717163002;0;0;0;0;0;3;1;1;5;10
2189;0.0164835874456529;-0.0253706924035361;0;0;0;1;4;6;0;6;3;0
2190;0.011267978816163999;-0.0305968466447812;0;1;1;1;6;5;1;4;1;0
2191;-0.00342741973514211;-0.0349854966704254;0;0;0;5;5;4;5;0;1;0
2192;0.0375685220445549;0.0153468673168524;0;0;0;0;1;4;0;4;7;4
2193;0.0297200742661447;-0.0034793312997806604;0;0;0;0;4;2;0;4;7;3
2194;0.0359033092193183;0.010988761305736;0;0;0;0;1;2;1;7;3;6
2195;-0.0165172814811575;-0.0260463330987902;0;8;6;3;3;0;0;0;0;0
2196;-0.00805849317200215;-0.0332067462706976;0;1;2;4;6;5;1;1;0;0
2197;-0.0281831732943524;-0.00787746642988107;1;4;6;3;6;0;0;0;0;0
2198;0.0337806537213378;0.005717495666749971;0;0;0;0;2;2;0;4;3;9
2199;-0.0275335156211355;-0.00914208803913538;0;0;6;8;4;2;0;0;0;0
21100;0.034235683699352995;0.00682068150412425;0;0;0;0;1;4;0;8;3;4
21101;-0.0128318705882919;-0.0297875087119907;0;1;5;4;3;3;2;1;1;0
21102;0.0316372154763177;0.0007176463800892951;0;0;0;0;2;2;0;6;6;4
21103;0.0423083446053825;0.0288241371486313;0;0;0;1;2;1;0;2;5;9
21104;0.0337918590261883;0.0057444863985330104;0;0;0;0;0;4;0;7;6;3
21105;-0.0259066511695938;-0.0121781033511263;1;3;5;1;3;3;4;0;0;0
21106;-0.016089782747806;-0.0265295011295412;0;2;1;4;4;4;3;1;1;0
21107;-0.00322288403822035;-0.0350291172744151;0;0;0;6;4;7;1;1;1;0
21108;0.0538889646410293;0.068429302164031;0;0;0;0;1;1;0;3;5;10
21109;-0.00230717692649825;-0.0351881687356437;0;0;4;6;0;6;1;2;1;0
21110;0.042453788748467;0.0292627952837172;0;0;0;0;0;1;1;4;5;9
21111;-0.0076213421408532;-0.0334394180591596;0;1;3;2;6;5;3;0;0;0
21112;-0.0122233164662596;-0.0303129596630372;0;0;3;4;9;1;3;0;0;0
