;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
21;-0.0377096610152973;0.0147066184482958;3;2;4;4;8;8;0;4;6;0;0;1;0;0;0;0;0;0;0;0
211;0.030968333449047994;-0.00143975654553341;0;0;0;0;0;0;1;0;1;0;4;0;1;5;7;5;7;4;4;1
212;0.0418278916513968;0.0260723413225214;0;0;0;0;0;0;0;0;0;0;1;0;3;4;8;5;8;6;3;2
213;0.0211326204776082;-0.0192727219172123;0;0;0;0;1;0;2;1;1;1;2;1;5;1;5;5;4;1;7;3
214;-0.0529581608957079;0.0628373060928305;5;3;8;6;10;3;0;4;0;1;0;0;0;0;0;0;0;0;0;0
215;-0.0544432873297873;0.0683900248936048;2;2;14;11;5;2;0;1;2;0;1;0;0;0;0;0;0;0;0;0
216;0.0217632142780748;-0.0183314529714625;0;0;0;2;0;2;2;2;2;0;1;3;2;3;6;4;6;4;0;1
217;-0.046883580601152004;0.0417235987427675;1;6;6;7;10;3;0;3;4;0;0;0;0;0;0;0;0;0;0;0
218;-0.00358515452361732;-0.0343590481637767;0;1;2;4;2;4;2;4;3;1;3;4;2;0;4;3;0;0;1;0
219;0.0264351705347153;-0.0104954504240289;0;0;0;0;0;0;0;0;2;0;2;6;7;5;5;4;0;0;4;5
2110;-0.0496437198424983;0.0509987106039012;5;3;4;9;9;3;0;0;3;2;1;1;0;0;0;0;0;0;0;0
2111;-0.0419304825937166;0.0264091377452099;1;3;7;7;10;8;0;2;0;0;2;0;0;0;0;0;0;0;0;0
2112;-0.0287964159719502;-0.00593108826414405;6;0;1;5;7;8;0;4;4;3;0;1;0;0;1;0;0;0;0;0
2113;0.0438292974417024;0.0320387534019975;0;0;0;0;0;0;0;0;1;0;1;1;3;4;7;1;7;9;5;1
2114;-0.0045871914807117204;-0.034073554230536;0;1;0;2;3;2;3;5;6;1;5;4;3;1;2;0;0;1;0;1
2115;0.00562903950883359;-0.03370766345179;1;0;0;0;1;0;1;3;3;4;2;7;6;7;0;4;1;0;0;0
