site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
1;-0.00297550414268485;-0.01511249951357;1;0;3;8;6;2;0;0;0;0
2;-0.0156820150941307;0.00461929056527129;11;0;5;3;0;0;0;1;0;0
3;0.0224559107605006;0.0229881496953698;0;0;0;0;0;0;0;3;9;8
4;-0.00931856339497697;-0.008491566393616229;3;0;2;4;9;2;0;0;0;0
5;-0.0184287961414759;0.0122805087142891;4;0;8;5;3;0;0;0;0;0
6;0.0186787515602265;0.01078593034436;0;0;0;0;0;0;0;9;5;6
7;0.0115985027552717;-0.00593710738505981;0;0;0;0;0;6;6;4;4;0
8;-0.00828985408893938;-0.0100026984544024;3;0;9;5;1;1;0;0;1;0
9;-0.0215945011251015;0.0226075617243318;13;0;6;1;0;0;0;0;0;0
10;0.0116391827920141;-0.005863933861795721;0;0;1;1;1;4;0;4;6;3
11;-0.0184039289857538;0.0122057352331226;9;0;5;5;0;1;0;0;0;0
12;0.0220585966551102;0.0215971855199513;0;0;0;0;0;1;0;6;8;5
13;0.0181715843525579;0.0093213434813025;0;0;1;1;0;2;7;6;3;0
14;-0.0176796464724921;0.0100712856614692;8;2;1;6;1;2;0;0;0;0
15;0.0224484529950028;0.022961808069937;0;0;0;0;1;1;0;5;9;4
16;-0.014188402735923;0.000960048031276727;4;0;4;8;3;1;0;0;0;0
17;0.017292751638238;0.00688091455335394;0;0;0;0;3;1;0;5;5;6
18;-0.0167244798811171;0.0073847576326382;4;0;5;3;7;1;0;0;0;0
19;0.0133189319707693;-0.00261127915660242;0;0;0;3;1;1;2;8;4;1
20;-0.018091002931491;0.0112732488792458;7;0;7;3;3;0;0;0;0;0
21;-0.0161202128338496;0.00576056519517714;8;0;5;5;2;0;0;0;0;0
22;0.007375232633238409;-0.0120931087473486;0;0;2;1;3;8;0;4;2;0
23;0.0035281809554989396;-0.0152169422835299;0;0;1;1;0;5;8;3;2;0
24;-0.016133941765448;0.0057968182028526;5;0;7;3;3;2;0;0;0;0
25;-0.0142633753983786;0.0011352168360516;3;0;4;5;2;3;1;1;1;0
26;-0.0181971520670844;0.0115878060609465;9;1;5;3;2;0;0;0;0;0
27;0.0234252014035915;0.0264875288332549;0;0;0;0;1;1;0;3;8;7
28;-0.0133668719792895;-0.0009004848280713161;6;0;6;3;4;0;1;0;0;0
29;-0.0101060611620998;-0.00722034253497682;4;0;5;4;5;1;0;1;0;0
30;-0.00238632912271055;-0.0154007380481621;1;0;2;7;2;6;1;1;0;0
31;0.00575565961309056;-0.0136968213181683;0;0;3;5;0;4;6;1;1;0
32;0.00412385430353881;-0.0148881933632424;1;0;2;1;5;6;1;2;2;0
33;0.00177087032170102;-0.0158559957866458;0;0;2;3;5;6;0;3;1;0
34;-0.00088995334544955;-0.0158831373286462;0;0;1;5;6;8;0;0;0;0
35;0.0191300589006406;0.0121238118806457;0;0;1;0;0;1;0;7;8;3
36;0.0146840341972255;0.00036462094563125496;0;0;0;0;0;3;8;4;5;0
37;-0.0203032086725151;0.0182015173946708;9;0;8;3;0;0;0;0;0;0
38;0.0186430629365476;0.0106815233572445;0;0;0;0;1;2;1;4;9;3
39;0.0170457988388847;0.00621739324984653;0;0;0;1;0;4;4;6;4;1
40;0.000777969195899988;-0.0159986115355589;0;0;3;2;3;6;3;1;2;0
41;0.00898345626223915;-0.010085349285364;0;0;1;1;3;6;1;3;4;1
42;-0.00522971047185394;-0.0134969178318508;1;0;1;5;7;4;0;2;0;0
43;-0.0164086082231615;0.00652844733013255;8;0;5;4;3;0;0;0;0;0
44;-0.0172627800489237;0.00888084350622984;6;0;6;5;2;1;0;0;0;0
45;-0.000429906233691893;-0.0159594422308646;0;0;3;10;3;3;0;1;0;0
46;0.0169871584650228;0.00606126989007522;0;0;0;0;0;1;0;5;8;6
47;-0.00154566655717061;-0.0157158485995823;2;0;2;2;7;5;1;0;1;0
48;0.0189506743334909;0.0115881315789315;0;0;0;0;0;2;0;6;5;7
49;-0.0201273535582243;0.0176221193192991;8;2;1;8;1;0;0;0;0;0
50;-0.0008957585631270391;-0.0158819581046365;0;0;4;7;5;4;0;0;0;0
