site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
1;-0.00781984037033505;-0.0054541169198971395;1;0;4;5;4;4;0;3;8;5;0;2;1;1;1;0;0;0;0;1
2;0.00209620480434622;-0.0107791311626995;1;1;0;1;1;2;0;2;2;6;0;3;2;6;7;1;0;4;1;0
3;0.0158331180662207;0.0193593781457746;0;0;0;0;0;0;0;0;0;1;0;1;3;0;4;4;8;9;10;0
4;0.00124342023851753;-0.0112135749958648;0;1;0;0;0;0;0;2;8;3;1;8;6;4;3;2;0;0;2;0
5;-0.0157709185114613;0.0152183866334594;11;0;4;10;3;6;3;1;1;0;0;1;0;0;0;0;0;0;0;0
6;0.0116641029828824;0.00560706077371735;0;0;0;0;0;0;1;0;0;0;1;3;2;1;4;10;7;8;3;0
7;-0.00937305770054459;-0.00256317538334833;6;0;4;9;3;6;1;1;5;0;3;2;0;0;0;0;0;0;0;0
8;-0.005025554424913771;-0.00925237285302284;1;1;1;2;2;1;1;11;8;0;3;6;1;0;1;1;0;0;0;0
9;0.00654452317678874;-0.00579029276089879;0;0;0;0;1;1;0;0;0;4;0;3;3;5;4;7;0;5;7;0
10;0.000305493071026437;-0.0114974709781568;0;0;0;1;1;5;0;4;4;4;0;6;1;5;2;1;1;4;1;0
11;0.00519278760828161;-0.007789570543387709;0;0;0;1;0;1;0;1;0;7;0;6;9;2;5;5;0;2;0;1
12;-0.0100275965041552;-0.00117806035683671;4;0;9;3;3;7;1;5;2;3;1;1;0;1;0;0;0;0;0;0
13;-0.00074615133173353;-0.0115742062414185;0;0;0;2;0;5;2;3;6;1;5;5;1;7;1;1;1;0;0;0
14;0.000556032776160461;-0.0114415209135082;1;0;1;0;2;1;0;1;2;1;5;6;0;8;7;4;0;1;0;0
15;0.00367261722654011;-0.009533893793257229;0;0;0;0;0;2;0;0;5;1;0;5;4;1;6;7;6;1;1;1
16;-0.0151980243849612;0.0132408401055174;7;0;11;5;3;9;1;3;0;0;0;0;1;0;0;0;0;0;0;0
17;-0.00043558382579741604;-0.0115781188966789;1;0;1;2;1;4;3;2;5;2;1;9;0;2;1;3;0;0;3;0
18;-0.0144932172891474;0.0109119256002794;7;0;10;5;6;7;1;2;1;0;0;0;1;0;0;0;0;0;0;0
19;0.0147616708894496;0.0154417980029238;0;0;0;0;0;0;0;0;1;0;1;1;1;0;7;7;7;4;11;0
20;-0.00462855962087441;-0.00964572566232738;0;0;3;1;0;3;5;5;7;0;5;3;0;3;3;1;0;1;0;0
21;-0.0063212723290310205;-0.00771530408710604;1;0;7;2;3;8;2;6;3;1;2;1;2;0;1;1;0;0;0;0
22;-0.0152004368686586;0.0132490087393999;6;0;6;8;5;8;1;4;0;2;0;0;0;0;0;0;0;0;0;0
23;0.00788087767002244;-0.00339900121793236;0;0;0;0;0;1;1;3;0;2;0;2;7;0;7;4;5;2;6;0
24;-0.00690695742370746;-0.00689329718543489;1;0;2;2;6;5;0;5;6;2;1;2;4;4;0;0;0;0;0;0
25;0.009710750326117821;0.000544354615921593;0;0;0;0;0;0;0;0;0;0;1;3;6;2;6;8;3;6;5;0
26;-0.004280391623148579;-0.00996074423435322;0;2;2;6;1;3;2;9;4;1;3;0;2;3;0;1;0;1;0;0
27;0.00752765487688983;-0.00407115849805241;0;0;0;0;0;0;0;0;2;1;7;3;0;8;5;6;1;6;1;0
28;0.00957417583614375;0.00022333644368372998;0;0;0;0;0;0;0;0;6;1;0;3;4;3;5;6;3;6;3;0
29;0.0102033829343173;0.00173807610820236;0;0;1;0;0;0;0;2;1;2;0;3;3;4;9;4;7;3;1;0
30;-0.00999350175164453;-0.00125265307558575;6;0;7;3;1;6;5;6;2;1;2;1;0;0;0;0;0;0;0;0
31;0.0106354866572595;0.0028312632417231;0;0;0;1;0;0;0;2;0;1;0;6;7;2;3;7;3;6;2;0
32;-0.0125661867726658;0.0051299574798716295;6;3;3;9;0;6;3;4;3;0;2;0;1;0;0;0;0;0;0;0
33;0.0156594798979403;0.0187064975232181;0;0;0;0;0;0;0;0;0;0;0;1;3;1;4;5;5;13;8;0
34;-0.00309614653912172;-0.0108227033488959;2;1;2;2;2;3;0;2;6;4;3;5;3;2;1;1;1;0;0;0
35;0.008753100399758441;-0.0016158132112162802;0;0;0;0;0;0;1;1;0;3;0;4;3;4;5;6;2;6;5;0
36;-0.0113057804275569;0.00181202492513578;4;0;3;8;4;10;3;1;4;1;1;1;0;0;0;0;0;0;0;0
37;0.014727181888345;0.0153200983077868;0;0;0;0;0;0;0;0;0;1;0;2;4;1;5;3;4;9;11;0
38;2.1330234958571e-05;-0.0115433862845823;0;0;0;1;0;0;8;4;4;0;2;5;5;2;3;3;1;1;1;0
39;-0.00731046428218005;-0.00628089108808303;4;1;1;4;4;1;1;8;2;5;0;4;3;1;1;0;0;0;0;0
40;0.0140358333411572;0.0129385086346595;0;0;0;0;0;0;0;0;1;0;1;1;2;0;5;5;9;8;8;0
41;-0.00366107388256919;-0.010451914179286998;3;1;3;3;3;2;1;7;3;5;1;2;2;1;0;1;2;0;0;0
42;0.0110987518561214;0.00405117872846775;0;0;0;0;0;1;1;0;0;0;2;3;5;3;5;9;2;5;4;0
43;0.0107152744226941;0.00303783550128621;0;0;0;0;0;0;0;0;1;1;0;4;6;0;4;6;6;5;7;0
44;-0.0144455723665213;0.0107586304318353;8;0;3;7;7;6;1;2;5;0;0;1;0;0;0;0;0;0;0;0
45;-0.0169230905983002;0.0194250025418801;10;1;6;10;4;4;1;3;0;0;1;0;0;0;0;0;0;0;0;0
46;0.0142045360901742;0.0135094833363576;0;0;0;0;0;1;0;0;0;0;1;2;3;4;6;7;2;7;6;1
47;0.00432594461174374;-0.008849620854912891;0;0;0;0;0;0;0;4;4;2;3;7;0;3;4;4;1;4;3;1
48;-0.00529577183649525;-0.008963817691015421;0;0;1;0;5;8;2;7;5;0;6;2;1;2;1;0;0;0;0;0
49;-0.0165152704574576;0.0179009891199586;9;2;2;13;3;4;2;3;2;0;0;0;0;0;0;0;0;0;0;0
50;-0.0149427626050095;0.012384121883030999;9;0;12;7;2;2;4;0;2;1;0;0;0;1;0;0;0;0;0;0
51;-0.00952412819805363;-0.00225226646753395;2;0;7;4;8;3;1;7;1;2;3;0;0;0;2;0;0;0;0;0
52;0.0112058836711173;0.0043403443012652206;0;0;0;0;0;0;0;0;1;3;0;2;3;4;6;10;2;4;3;2
53;0.0107448203893672;0.0031147036326435603;0;0;0;0;0;0;0;0;1;3;0;5;1;3;8;3;0;10;6;0
54;0.009155724848617321;-0.0007334162098746559;0;0;0;0;0;0;1;2;3;0;4;3;2;2;5;6;2;5;5;0
55;0.00571171913608867;-0.0070719459398068;0;0;0;0;0;1;2;3;3;0;2;7;4;0;6;5;2;4;1;0
56;0.000390333676190469;-0.0114801476801305;0;2;0;2;1;0;1;3;6;6;0;7;2;3;2;3;1;1;0;0
57;0.0060777361621815;-0.006528386614821379;0;0;0;0;0;1;0;1;0;2;2;4;3;2;8;8;4;5;0;0
58;-0.0008565954096484599;-0.0115674460984132;1;0;1;0;4;1;1;4;3;2;1;4;7;4;3;1;0;2;1;0
59;0.00532958182060429;-0.00760643497582048;0;0;1;1;0;0;1;7;2;3;1;4;4;4;4;3;1;2;2;0
60;0.00682593351269624;-0.00532101024614686;0;0;0;0;0;0;0;3;1;0;3;6;1;2;7;3;5;5;4;0
61;0.0109260043033173;0.0035904883411239704;0;0;0;0;0;0;0;0;1;2;0;1;3;0;3;10;4;10;6;0
62;-0.00849308775045744;-0.004269431699734479;1;0;6;5;4;6;2;10;3;1;0;2;0;0;0;0;0;0;0;0
63;-0.0117309375844651;0.00289022020694911;3;0;7;8;4;5;1;6;4;1;1;0;0;0;0;0;0;0;0;0
64;-0.0145704614048005;0.0111615685437092;6;0;11;6;2;6;2;4;2;1;0;0;0;0;0;0;0;0;0;0
65;-0.0146682536789446;0.0114795968314695;9;1;6;3;5;2;1;5;5;0;1;2;0;0;0;0;0;0;0;0
66;0.007684661565660059;-0.0037759432196008795;0;0;0;0;2;0;1;2;1;0;1;6;3;1;6;7;3;3;4;0
67;0.00621957169569297;-0.006309434711889279;0;0;0;0;0;3;1;2;2;3;1;3;4;7;7;6;0;1;0;0
68;-0.0125772774988799;0.0051607812579466;6;2;3;6;2;7;0;5;5;1;2;1;0;0;0;0;0;0;0;0
69;-0.0135954161432779;0.008111422985343609;10;0;7;6;6;4;1;0;4;0;1;1;0;0;0;0;0;0;0;0
70;0.0127776063390555;0.00888733600599972;0;0;0;0;0;0;0;0;1;0;1;0;6;0;1;6;5;9;11;0
71;0.00926637116751984;-0.000484365097343234;0;0;0;0;0;0;1;0;2;1;0;6;2;2;4;6;4;10;2;0
72;-0.0107657482184977;0.000502689415617837;4;0;6;5;5;2;1;7;2;2;1;4;1;0;0;0;0;0;0;0
73;0.00287356404246232;-0.0102367993403902;1;0;1;0;1;1;0;2;6;2;3;6;0;9;3;2;0;2;1;0
74;0.0109012722724221;0.00352509584716919;0;0;0;0;0;1;0;2;2;1;0;2;2;0;2;9;7;8;4;0
75;-0.0125259556393721;0.0050183839441013;1;0;7;7;7;4;1;7;2;1;1;2;0;0;0;0;0;0;0;0
76;-0.0102090641829012;-0.0007765276513662991;4;0;6;7;2;7;1;5;4;0;2;1;0;0;0;1;0;0;0;0
77;-0.0146508095396529;0.0114227052666165;13;8;1;5;0;7;2;1;2;1;0;0;0;0;0;0;0;0;0;0
78;0.0110660866239479;0.00396353739524946;0;0;0;0;0;0;0;2;0;0;3;1;4;1;7;8;2;7;5;0
79;-0.0136810644751271;0.008370553616316341;8;3;7;10;0;3;3;5;1;0;0;0;0;0;0;0;0;0;0;0
80;-0.016706414995482;0.0186105093972569;9;1;8;4;5;9;0;1;2;1;0;0;0;0;0;0;0;0;0;0
81;0.0031577567884204802;-0.0100036968212977;0;0;0;2;2;0;0;2;8;3;0;2;5;6;4;4;0;0;2;0
82;-0.0155836272166296;0.0145635459585117;9;2;4;6;2;7;0;4;3;1;2;0;0;0;0;0;0;0;0;0
83;0.0158458507073171;0.0194075269453173;0;0;0;0;0;0;0;0;1;0;0;2;1;1;4;10;4;9;8;0
84;0.0143538250933128;0.0140202334195078;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;4;9;14;5;0
85;-0.0174548256505306;0.0214697663890512;10;10;1;9;0;4;3;1;1;0;1;0;0;0;0;0;0;0;0;0
86;-0.00969572910927481;-0.0018927120212642301;2;0;7;4;1;9;5;2;3;0;0;1;2;0;1;2;1;0;0;0
87;0.0023324429441704104;-0.0106290772036769;0;0;1;0;1;1;0;0;3;4;0;9;6;5;1;4;0;3;2;0
88;-0.0163729354998212;0.0173781283372349;9;1;5;12;1;5;2;2;2;0;0;0;1;0;0;0;0;0;0;0
89;0.00849635172229009;-0.0021589602399116102;0;0;0;1;1;0;0;4;4;2;0;1;6;1;4;5;5;4;2;0
90;-0.00533325193838227;-0.008922462523210559;2;1;1;2;3;3;0;6;4;6;0;5;2;1;2;2;0;0;0;0
91;0.00524864038113058;-0.00771531867384054;0;0;0;0;1;2;3;2;5;0;1;4;3;2;5;3;0;3;6;0
92;-0.000994787564105466;-0.0115550203461982;0;0;2;5;3;4;0;3;6;3;0;3;5;2;1;0;1;0;1;1
93;-0.008931287144164;-0.00344211708984481;4;2;1;5;6;6;0;6;6;1;0;2;1;0;0;0;0;0;0;0
94;0.0139242087684849;0.0125643280368341;0;0;0;1;0;0;0;0;0;1;0;2;1;1;7;4;3;6;14;0
95;0.0042858314736456795;-0.00889447409371578;0;0;0;3;1;0;0;2;2;7;0;6;3;5;3;3;1;2;2;0
96;0.0111049147303462;0.00406774144616461;0;0;0;0;0;0;0;0;2;2;1;4;2;1;5;10;2;6;5;0
97;0.00839803403346789;-0.0023629188167204;0;0;0;0;0;0;1;1;2;1;1;7;2;3;5;4;2;9;2;0
98;0.00962041716512703;0.00033154433684168396;0;0;1;0;0;1;0;1;3;1;1;2;2;3;4;9;2;5;5;0
99;-0.000832472440546518;-0.0115691630615003;0;0;1;1;1;2;3;7;7;0;2;4;4;3;2;3;0;0;0;0
100;0.0101218945118378;0.00153674929775439;0;0;0;0;0;0;0;2;2;1;0;4;1;0;6;6;5;7;6;0
101;-0.0111363663547758;0.00139402235945821;3;0;9;8;2;4;1;9;2;0;2;0;0;0;0;0;0;0;0;0
102;-0.0066274550785759105;-0.007295458707676329;1;0;6;1;7;8;0;7;4;1;2;3;0;0;0;0;0;0;0;0
103;-0.0133344528054558;0.00733231729170841;9;7;2;5;0;4;7;4;1;0;0;0;1;0;0;0;0;0;0;0
104;0.00885636000548231;-0.00139307726903299;0;0;0;0;0;1;0;0;3;4;0;3;6;2;4;7;4;5;1;0
105;-0.000817697242106046;-0.0115701483342664;0;1;1;1;0;7;0;4;4;5;1;2;3;5;4;2;0;0;0;0
106;0.00868331705758877;-0.00176494499210074;0;0;0;0;0;1;0;2;0;2;0;4;1;3;5;6;2;9;5;0
107;0.0162916662271319;0.021116992849397;0;0;0;0;0;1;0;0;0;1;0;0;3;3;6;6;2;6;11;1
108;-0.0100397595562119;-0.0011513849909316099;2;3;4;6;0;4;6;6;3;1;2;1;2;0;0;0;0;0;0;0
109;-0.0133508870409336;0.00738091768316577;2;1;11;4;5;10;1;3;2;0;0;0;0;0;1;0;0;0;0;0
110;0.00509030181220949;-0.00792394371541435;0;0;0;0;0;1;2;0;2;1;2;5;3;4;8;6;0;1;4;1
111;-0.000556637940392495;-0.0115792426376114;0;0;2;0;3;3;1;3;6;3;3;9;1;2;3;0;0;1;0;0
112;-0.0105193737549475;-7.22873890460562e-05;6;0;2;6;5;9;3;3;3;0;1;1;0;0;1;0;0;0;0;0
113;-0.0104625534885455;-0.00020290266491864199;6;1;3;8;2;6;0;2;3;2;0;5;1;0;1;0;0;0;0;0
114;-0.00487729222423795;-0.009403532831919609;1;0;2;5;1;6;0;7;5;4;3;1;0;4;0;0;0;0;1;0
115;-0.012396842673223;0.00466283773690153;11;0;7;6;3;4;2;4;1;0;0;0;2;0;0;0;0;0;0;0
116;-0.0072427550995043;-0.0063862791264514395;2;0;5;6;5;8;2;5;2;0;0;3;1;0;0;1;0;0;0;0
117;-0.0119286364913951;0.00340580072355014;7;3;2;4;2;8;5;2;3;1;0;3;0;0;0;0;0;0;0;0
