site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05
1;0.00298141344323288;-0.0225545848299039;0;2;5;3;0
2;0.0157655582399072;-0.009632279963589759;0;0;6;4;0
3;0.00175863793273029;-0.0228109073301533;0;0;7;3;0
4;0.0216698399254758;0.0026472611108694396;0;1;2;0;7
5;0.007784313587540159;-0.0198924001607486;0;3;6;1;0
6;-0.000561939529203779;-0.0228270279514545;0;2;4;4;0
7;0.022139886188115004;0.00379623036914902;0;0;5;0;5
8;0.00383972750464207;-0.0222724913102947;0;1;6;3;0
9;-0.0340481508666042;0.0455240314481033;9;0;1;0;0
10;-0.00465390649813154;-0.0213545535448077;0;4;2;4;0
11;-0.0289708507950003;0.0269099627704352;0;8;2;0;0
12;-0.0135667745832277;-0.0115173287037752;0;7;2;1;0
13;-0.0254399997567228;0.0157039013539033;0;7;3;0;0
14;-0.00247177610418524;-0.0223781606284836;0;2;4;4;0
15;-0.0327593344455402;0.0405197722680043;10;0;0;0;0
16;0.00340859080110828;-0.0224247231779459;0;0;7;3;0
17;0.0199383323867962;-0.00136714887636117;0;0;3;7;0
18;-0.0158193004747227;-0.00759261508100052;0;7;3;0;0
19;-0.0214358234451608;0.00472140872976547;0;8;1;1;0
20;-0.00998755207211086;-0.016559702428582;0;3;5;2;0
21;-0.021150073881475998;0.00400778363234835;5;0;5;0;0
22;0.0127140402875382;-0.0144155493388575;0;0;2;8;0
23;-0.0304255652145199;0.0319417130143719;0;9;1;0;0
24;0.0164099213659685;-0.00848601847737847;0;0;4;6;0
25;-0.00922338322753068;-0.0174464073044386;0;2;7;1;0
26;0.0157286858184788;-0.00969643576475897;0;0;5;5;0
27;-0.0241598219663581;0.011993216618950002;0;8;2;0;0
28;0.00968697097206353;-0.0181080139550154;0;0;3;7;0
29;-0.0262588114772687;0.0181755911508408;0;9;1;0;0
30;-0.0260666506152162;0.0175886407758448;0;8;2;0;0
31;0.00408809304767779;-0.0221751416709324;0;2;6;2;0
32;0.0325090207892218;0.0355710594277886;0;0;2;8;0
33;-0.0115150581016239;-0.0145870294482067;0;5;4;1;0
34;0.0218598121005573;0.00310858096301388;0;0;2;8;0
35;-0.0342478293695763;0.0463163505173624;0;9;1;0;0
36;-0.0250178459434186;0.0144595404830627;0;8;2;0;0
37;0.000621799762030907;-0.0228957787452238;0;4;3;3;0
38;-0.0137429512954027;-0.0112312889344553;0;6;3;1;0
39;-0.0247053888014414;0.0135516559629614;8;0;2;0;0
40;0.00903589453643176;-0.0187652289280596;0;0;2;8;0
41;-0.0070988290003743;-0.0195605928504882;0;4;5;1;0
42;0.00340593772563472;-0.0224255941343347;0;1;6;3;0
43;0.0064788489052548205;-0.0208771606899674;0;0;3;7;0
44;-0.0287671140959194;0.0262245793667459;0;9;1;0;0
45;0.0296980464528918;0.0257419628227017;0;0;0;10;0
46;-0.0112789219479351;-0.0149094259198949;0;3;5;2;0
47;-0.0181937697096732;-0.0028270048800307303;0;5;4;1;0
48;0.031820837723992995;0.0330811384161667;0;0;1;9;0
49;0.0153234431508236;-0.0103912856756975;0;0;2;8;0
50;0.0263847923910445;0.0153171860104404;0;0;1;9;0
51;-0.0200788958224447;0.00141578509313319;0;7;3;0;0
52;0.0213157761797259;0.00179848658802782;0;0;2;0;8
53;-0.010552844610796999;-0.0158607769556962;0;4;5;1;0
54;0.0180038411615959;-0.00544651875844469;0;0;1;9;0
55;-0.0344556054254108;0.0471456429024678;0;10;0;0;0
56;0.0335854885508705;0.0395744914835574;0;0;1;0;9
57;0.0162421361102261;-0.008789066488864001;0;0;3;0;7
58;-0.0138195135526063;-0.0111058759571525;0;6;4;0;0
59;-0.0331129155250825;0.0418737539255802;0;9;1;0;0
60;0.0150379909729409;-0.0108694592546305;0;0;3;7;0
61;-0.0188137465259746;-0.0014765087931648301;0;6;3;1;0
62;-0.0099690244648482;-0.0165819911783995;0;5;5;0;0
63;-0.0214280278836331;0.004701816314852329;0;7;3;0;0
64;-0.00676106266093646;-0.0198491388682211;0;2;7;1;0
65;-0.0049906212517177;-0.0211480928976034;0;3;6;1;0
66;-0.0258968807922635;0.0170735978448889;9;0;1;0;0
67;-0.00988556918603018;-0.0166819012288864;0;3;7;0;0
68;0.0246159897329323;0.0102660216127039;0;0;1;9;0
69;-0.00465398070015773;-0.0213545094757553;0;5;5;0;0
70;0.0081756711368563;-0.0195592007233567;0;1;6;3;0
71;0.0270446108812638;0.0172930863695311;0;0;0;0;10
72;-0.00119330703050545;-0.0227248083766255;0;2;4;4;0
73;-0.00974044201002732;-0.0168537454496802;0;4;3;3;0
74;0.0336662824899322;0.0398803158824407;0;0;0;0;10
75;-0.00239603066301433;-0.0224039093514274;0;3;5;2;0
76;-0.0338035844384244;0.0445598128037621;0;9;1;0;0
77;0.0251373868466525;0.0117177718227621;0;0;3;7;0
78;-0.007332990311426259;-0.0193528939287746;1;1;7;1;0
79;0.0298661222743971;0.0263042630416581;0;0;2;0;8
80;0.0230134253531123;0.00599862068380167;0;0;1;0;9
81;-0.0285318161651627;0.0254389308382028;0;8;2;0;0
82;0.00021057033561348702;-0.0228900657622792;0;1;8;1;0
83;0.0328519459025721;0.0368320249070367;0;0;0;0;10
84;-0.0117194683477734;-0.0143027974214651;0;5;4;1;0
85;-0.0171891994268119;-0.00492191391944082;0;8;1;1;0
86;0.00517345279244567;-0.0216669229957901;0;1;7;2;0
87;0.0319324314413688;0.0334812161894634;0;1;0;0;9
88;0.0219820858388045;0.00340768882062229;0;1;3;0;6
89;0.0319450890810342;0.0335266854079826;0;0;1;9;0
90;-0.0283654065674863;0.0248871208031898;9;0;1;0;0
91;0.0335206990131909;0.0393297870933997;0;0;0;10;0
92;-0.0101908481324727;-0.0163125574030474;0;6;4;0;0
93;-0.0137831155491498;-0.0111655814077595;0;5;3;2;0
94;0.014151223868578998;-0.0122954644205039;0;1;3;6;0
95;0.0062924035409241;-0.0210018928647989;0;0;6;4;0
96;0.0146909741891249;-0.011438208517423;0;1;2;7;0
97;-0.0108036991311402;-0.0155389107962461;0;5;4;1;0
98;-0.0153236546414258;-0.00850601757421412;0;6;4;0;0
99;-0.0229505892242752;0.00866035626498738;9;0;1;0;0
100;0.0023919191209764;-0.0226995100321492;0;3;4;3;0
101;0.0275420185794097;0.018815553998031;0;0;2;8;0
102;-0.028482827711462003;0.0252761573340477;10;0;0;0;0
103;0.0309194939172256;0.0299019284836567;0;0;2;8;0
104;0.031084403186520004;0.0304766480978802;0;0;0;10;0
105;0.00793819748522656;-0.0197634745950863;0;1;6;3;0
106;0.0259376175550173;0.0140063855739625;0;1;3;6;0
107;0.0313286168341323;0.0313334636287374;0;0;2;8;0
108;-0.0337223119733201;0.0442409056907013;9;0;1;0;0
109;0.0303332582578266;0.0278840462979242;0;1;0;0;9
110;0.0115733083077448;-0.0159301127291662;0;1;4;5;0
111;0.0273561644242158;0.0182433787670833;0;0;0;0;10
112;-0.0293236286985884;0.028107960083477004;0;10;0;0;0
113;0.00523120265359793;-0.0216361057105449;0;1;2;7;0
