site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
1;-0.0025430969475357897;-0.0151151700800995;0;1;3;6;4;3;2;0;1;0
2;-0.0114895987904368;-0.004990148588384671;0;5;8;2;3;2;0;0;0;0
3;-0.00168530366856893;-0.0154257865847277;0;3;2;3;5;5;1;1;0;0
4;0.00431326925231694;-0.0143694345242168;1;1;1;1;4;8;3;0;1;0
5;-0.00293645208780463;-0.0149340993023864;0;0;2;4;3;7;4;0;0;0
6;-0.0022216429862869;-0.0152451058727126;0;0;1;4;7;5;0;2;1;0
7;-0.0168921374691044;0.00720933505892573;1;4;3;4;6;2;0;0;0;0
8;0.0229277574235239;0.0248732392529154;0;0;0;0;1;0;3;1;8;7
9;0.0024434032169233896;-0.0153047344069654;0;1;1;4;7;6;1;0;0;0
10;-0.00995693358685349;-0.007616679605353641;1;1;7;3;3;4;1;0;0;0
11;-0.000659016110400588;-0.0156456321388049;0;2;3;3;4;4;1;2;1;0
12;-0.0163586510247869;0.00580076365919472;0;5;5;4;5;0;1;0;0;0
13;-0.0202163519655046;0.0169929489886315;6;8;5;0;1;0;0;0;0;0
14;0.0168103615628317;0.0059755205798895;0;0;0;0;1;1;1;6;7;4
15;-0.0119765550314073;-0.0040784505241660395;3;2;6;2;5;2;0;0;0;0
16;0.00635177282246292;-0.0127243707493849;0;0;0;4;3;7;5;0;0;1
17;-0.0224720203489282;0.0246196925859144;9;5;5;0;0;0;1;0;0;0
18;0.0102363044607201;-0.00778346879687555;0;0;1;2;2;6;3;0;4;2
19;-0.0027712600288486897;-0.0150130998080543;0;0;1;4;5;6;3;1;0;0
20;-0.0025906542061862802;-0.0150945692535311;0;1;3;4;2;6;2;1;1;0
21;0.0006980477958984361;-0.0156824436164417;0;1;3;4;5;3;2;1;1;0
22;0.0214584134818205;0.0197980661411799;0;0;0;1;0;3;0;1;6;9
23;0.0103279958431306;-0.00763822334621258;0;0;1;0;1;7;6;0;5;0
24;0.0242063796939252;0.0295654637999556;0;0;0;0;0;0;0;7;6;7
25;0.0163057101410068;0.0046788899589104895;0;0;0;0;0;1;5;0;10;4
26;0.00899962437655229;-0.00961350067111156;0;0;0;0;4;6;6;0;1;3
27;-0.0184447812658276;0.0115630579450272;0;7;2;3;6;2;0;0;0;0
28;-0.0187784474902096;0.0125480881499333;4;6;7;1;2;0;0;0;0;0
29;-0.0198080759302227;0.0156978846691844;4;10;5;0;1;0;0;0;0;0
30;0.0134860961208137;-0.0018299363243002198;0;0;1;0;2;3;0;8;3;3
31;-0.0181965422819968;0.0108415602906559;7;6;5;0;1;1;0;0;0;0
32;-0.0139848239781269;7.48677686939384e-05;1;6;5;3;4;1;0;0;0;0
33;0.0135166454656659;-0.0017661042590816898;0;0;0;1;3;4;4;1;4;3
34;-0.018274382221381;0.0110667580802729;5;2;10;0;2;1;0;0;0;0
35;0.0043096891163025;-0.0143717497841849;0;0;1;1;7;5;4;1;1;0
36;-0.0160564223296735;0.00502261201170026;2;7;8;0;2;1;0;0;0;0
37;-0.0160381003854842;0.00497589932232678;1;5;5;5;4;0;0;0;0;0
38;-0.0131850432351088;-0.0016550360898190401;1;6;7;4;0;0;2;0;0;0
39;0.00867018956155863;-0.0100604966207008;0;0;0;0;1;8;5;1;3;2
40;-0.00200100832636963;-0.0153249005670873;0;2;1;5;7;2;3;0;0;0
41;-0.00782744107368187;-0.0106538242629274;0;5;3;4;5;0;1;1;1;0
42;-0.0102132212011241;-0.0072031573558705795;1;1;8;1;3;5;0;1;0;0
43;0.0016754509342329998;-0.0155298461627625;0;1;2;1;5;6;3;0;2;0
44;0.0211508778007221;0.018778721111707;0;0;0;0;1;1;1;2;4;11
45;0.0185713118991372;0.0108132109621082;0;0;0;1;1;1;0;6;5;6
46;0.0183274769041351;0.0101143079364003;0;0;0;0;1;1;0;10;4;4
47;-0.0162351432340744;0.00548103402851265;3;9;2;1;3;1;0;1;0;0
48;0.0236618857946578;0.0275359291923126;0;0;0;0;0;0;0;3;2;15
49;0.00250990474043618;-0.0152808845988496;0;1;1;5;3;3;1;2;4;0
50;0.0177314145443902;0.00844511597497447;0;0;0;1;1;2;0;8;5;3
51;0.007620390438371079;-0.0113712651025926;0;0;1;3;5;3;2;3;3;0
