site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
1;0.0058628347183637295;-0.00735591980726795;0;0;0;1;1;1;1;0;3;3;0;4;5;4;7;3;2;2;2;1
2;0.00340060736461651;-0.0100902553868922;0;0;0;1;3;1;1;1;1;2;8;2;5;2;6;2;3;1;0;1
3;-0.00182597818508062;-0.0112482696147518;0;1;1;1;3;4;2;3;2;6;1;5;0;5;4;1;0;1;0;0
4;-0.0146752204458588;0.0127579040098107;5;3;10;15;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
5;-0.0172375379204022;0.0221106695193037;5;4;10;6;5;4;2;2;2;0;0;0;0;0;0;0;0;0;0;0
6;0.0156680991247854;0.0174399554289286;0;0;0;0;0;0;0;0;0;1;0;0;1;0;2;8;11;3;6;8
7;-0.015759911874528;0.0165318517084631;4;5;6;7;7;5;1;1;1;1;1;1;0;0;0;0;0;0;0;0
8;0.0138410881044063;0.011134487950415002;0;0;0;0;0;0;0;0;0;1;1;2;5;5;5;7;7;4;2;1
9;-0.00114596767612448;-0.0114550574824176;0;0;0;1;4;3;2;4;7;1;4;2;2;3;3;1;1;1;0;1
10;0.0112790550443748;0.0035923663850592796;0;0;0;0;0;0;0;0;0;1;0;2;3;4;6;9;5;3;5;2
11;0.0144294284508646;0.013080739784948;0;0;0;0;0;0;0;0;0;0;1;1;3;3;5;6;3;6;9;3
12;-0.0168686177395557;0.0206705114549341;3;8;7;7;9;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0
13;0.00170428185903852;-0.0111584608539456;0;0;1;0;0;1;3;2;5;3;3;6;3;6;2;1;1;2;0;1
14;-0.00503130871908504;-0.00883368392358869;2;1;1;1;3;3;3;5;4;6;5;1;0;2;2;1;0;0;0;0
15;0.0104745710096013;0.00153724779139991;0;0;0;0;0;0;2;0;3;1;0;3;1;4;5;4;6;3;6;2
16;-0.00667646494672005;-0.0066717879634031205;1;3;2;2;3;1;3;5;5;3;3;2;3;1;1;2;0;0;0;0
