site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05
1;0.0239654919972259;0.010591656759536999;0;0;0;4;6
2;0.00417444762121058;-0.0221704742154273;0;1;5;3;1
3;0.033342429781615;0.0420204998772194;0;0;0;4;6
4;-0.0181393773289534;-0.00446934249463424;0;7;3;0;0
5;-0.0237459355243094;0.009081932523989509;0;8;2;0;0
6;-0.0255500197724126;0.0142199985186195;0;9;1;0;0
7;-0.0239194175284065;0.00955956115399552;0;8;1;1;0
8;-0.0175295469821755;-0.00572285786875152;0;9;1;0;0
9;-0.0300381138604726;0.0286445155959284;10;0;0;0;0
10;-0.0174713741201811;-0.00584017310249122;0;6;3;1;0
11;0.0139571724938632;-0.0116701825952385;1;0;3;5;1
12;-0.020153240350941;-2.25307102168108e-05;5;0;4;1;0
13;0.0221997260237838;0.0058175665940958;0;0;0;7;3
14;-0.0311878804390206;0.0327167948330638;8;0;2;0;0
15;0.0228124887707567;0.007433200548987591;0;0;2;4;4
16;-0.0153598612429103;-0.00983195467250877;5;0;4;1;0
17;0.0147399321091272;-0.0103490372104562;0;1;2;6;1
18;-0.00880949885474028;-0.0189155880187585;0;6;4;0;0
19;0.0324613114154897;0.0386318891660017;0;0;0;2;8
20;-0.00479601304691321;-0.0220155175697305;0;4;6;0;0
21;-0.0136248873274767;-0.012723783025183;0;6;4;0;0
22;-0.0144933298451164;-0.011320040999588001;0;5;2;3;0
23;-0.0218267767630761;0.00403169094402194;0;4;6;0;0
24;0.0333417850260608;0.0420179872571138;0;0;0;2;8
25;-0.023467796079611;0.00832346753733649;0;8;2;0;0
26;0.021715737609512;0.0045723344964306205;0;0;2;6;2
27;-0.0223336979833369;0.00532401358367727;8;0;1;1;0
28;-0.0333313432500432;0.0407191020777019;9;0;1;0;0
29;-0.008418006854746609;-0.0193004331788324;0;3;5;2;0
30;0.00456852678046725;-0.0219626616199362;0;0;6;4;0
31;0.012973005488158997;-0.0132301325793352;0;0;5;4;1
32;0.0267685979476357;0.0189152118659203;0;0;1;5;4
33;0.0100977567451493;-0.0171421813431137;0;1;5;4;0
34;-0.0265449056183544;0.0172153987415243;0;8;2;0;0
35;-0.0115218790251022;-0.015759644398886004;0;6;3;1;0
36;-0.0122953371860534;-0.01470290101364;0;3;7;0;0
37;0.00961347928743424;-0.0177064690589501;1;0;5;4;0
38;-0.0179631227641293;-0.00483608070439315;0;8;2;0;0
39;0.0208146182054317;0.00232647298739155;0;0;2;4;4
40;0.0082731045565908;-0.0191260597768686;0;3;5;2;0
41;-0.00829476211503267;-0.0194178960582888;0;4;4;2;0
42;0.00697184342373804;-0.0203043138658363;0;0;3;5;2
43;-0.0129242417093501;-0.0137923637056265;0;3;6;1;0
44;-0.030950280763654;0.0318626525227795;10;0;0;0;0
45;0.0147947420855204;-0.010253858860581;0;0;3;4;3
