site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
1;0.0087678181970626;-0.0101047630152945;0;0;1;0;5;8;3;2;1;0
2;-0.0052761313542317;-0.0130327068617617;1;0;5;3;5;6;0;0;0;0
3;0.014991324589702001;0.000982843678481844;0;0;0;1;0;3;6;2;5;3
4;-0.0081899351545058;-0.00980504692960003;1;3;4;5;4;1;1;1;0;0
5;0.00400963329018218;-0.0145261205979335;0;1;2;3;1;3;3;5;2;0
6;0.0136311872901626;-0.00195375500245283;0;0;0;1;1;1;4;6;6;1
7;0.0051482638184834105;-0.0137879753694524;0;0;1;4;3;3;6;2;1;0
8;-0.0204133860862897;0.0180963378291425;8;4;8;0;0;0;0;0;0;0
9;0.0136308489966872;-0.00195444967142678;0;0;0;0;0;3;3;7;3;4
10;-0.008298449312431691;-0.0096593889558738;1;3;3;6;4;2;0;1;0;0
11;-0.0118002509734913;-0.00397766683730656;3;6;3;3;1;2;2;0;0;0
12;0.0117065008857986;-0.00561853102013693;0;0;0;0;4;3;3;5;4;1
13;0.0112243419216267;-0.00644653273963622;0;0;0;0;4;4;3;6;3;0
14;0.00566501243522651;-0.0133865862467503;0;1;2;2;5;4;3;2;0;1
15;0.000627002226851381;-0.0155319494265976;0;1;2;4;2;7;1;1;1;1
16;0.009929478062287509;-0.00849158065189746;0;0;0;1;2;4;4;4;4;1
17;0.00284651993615534;-0.0150723439381693;0;1;0;2;6;2;6;1;1;1
18;0.0158123933847117;0.00289457337235606;0;0;0;1;2;2;3;4;4;4
19;0.0149730394349257;0.000941460801149983;0;0;0;1;1;4;5;7;1;1
20;0.0131454161727542;-0.00293295940472922;0;0;0;3;0;2;2;4;7;2
21;-0.0136747164287824;-0.000154132427836718;2;7;6;2;2;1;0;0;0;0
22;-0.0140057773111788;0.0005778381018337821;2;5;7;3;2;1;0;0;0;0
23;-0.0220494223545426;0.0235906925458858;13;2;3;2;0;0;0;0;0;0
24;-0.0184231817285949;0.0119727223555784;4;3;4;4;3;1;1;0;0;0
