site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
1;0.009321528693784359;-0.00192487521835417;0;0;0;0;1;0;1;0;0;3;3;3;4;4;5;4;3;2;3;4
2;0.0156844337182738;0.0143561912159827;0;0;0;0;0;0;0;0;0;2;0;0;4;1;3;5;7;8;5;5
3;0.00503834348752727;-0.008110439851404909;0;0;0;0;0;1;0;5;0;5;4;5;2;4;3;3;2;3;3;0
4;0.0049019503497932295;-0.00824430168129364;0;0;0;0;0;2;0;0;1;4;4;4;2;5;6;6;2;2;0;2
5;-0.0113647473683306;0.0037261520675792702;5;5;4;4;6;4;1;3;3;3;1;0;0;0;0;0;1;0;0;0
6;0.0105508089426719;0.000559844899637566;0;0;0;0;0;0;0;0;0;1;7;3;5;4;9;4;0;1;3;3
7;-0.00477115140134748;-0.0078035182945212596;3;1;1;4;3;4;4;3;4;4;2;4;1;2;0;0;0;0;0;0
8;0.0053627021401536105;-0.00777645433579134;0;0;0;0;0;1;0;3;5;6;4;2;1;4;1;4;4;3;0;2
9;-0.00985410699046029;0.000280715910343689;3;9;4;3;4;5;2;4;4;0;1;1;0;0;0;0;0;0;0;0
10;-0.0106723876537514;0.00208771827511626;0;2;3;6;3;1;6;7;3;2;3;1;2;1;0;0;0;0;0;0
11;-0.00014130578537164;-0.010459075924941;0;1;1;2;3;1;2;2;8;2;2;5;7;1;2;0;1;0;0;0
12;-0.014905717990287;0.0136750720422076;10;4;8;4;5;3;3;0;1;0;1;1;0;0;0;0;0;0;0;0
13;-0.0013696784089850301;-0.0101919600362725;0;0;5;3;2;3;2;4;1;5;2;4;2;4;0;1;2;0;0;0
14;-0.0148766894983285;0.0135828385606138;5;5;12;1;7;2;3;2;1;0;1;0;0;0;1;0;0;0;0;0
15;0.0067049023469924396;-0.00616022954094531;0;0;0;0;0;0;0;1;2;3;5;3;5;4;4;3;2;3;2;3
16;0.0056082301179166;-0.00750898985788894;0;0;0;0;0;1;1;2;3;3;5;3;4;5;4;1;2;1;4;1
