site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05
1;-0.0298300253668015;0.024986864009191003;5;5;0;0;0
2;-0.0221253647276531;0.00338152954157675;5;4;1;0;0
3;0.0066514785293308705;-0.0192152609953535;0;2;4;3;1
4;-0.0214799141667454;0.00186983204366248;3;6;1;0;0
5;-0.0204588500286321;-0.00042741243879284197;5;3;1;1;0
6;0.0026166078605511698;-0.021571707959075998;0;2;5;2;1
7;0.0156419279704925;-0.00748394998842268;0;0;4;3;3
8;-0.0228539647071514;0.00514337411735604;3;7;0;0;0
9;-0.0207752384016841;0.00027207647708130496;4;6;0;0;0
10;-0.03129083153881;0.0298242107452116;6;4;0;0;0
11;0.031936396709674;0.0365791257665619;0;0;0;6;4
12;0.017677740608868998;-0.00358521472128873;0;0;0;5;5
13;0.0134476442060272;-0.0111724861146914;0;1;3;6;0
14;0.008287308521533929;-0.0177465365833054;0;0;5;4;1
15;0.0198747415384243;0.00113685812047925;0;0;1;5;4
16;0.0199060610905693;0.00120803636792915;0;0;0;6;4
17;0.0224483207217579;0.00734777638486075;0;2;0;7;1
18;0.0338465838604196;0.0436690724045668;0;0;0;2;8
19;-0.00270493573987048;-0.0219241040709543;0;0;7;3;0
20;-0.0343668240790981;0.0407824244040318;6;4;0;0;0
21;0.0319730201849744;0.0367112619499133;0;0;1;2;7
22;0.00586490471775019;-0.0198160356004708;0;0;7;3;0
23;0.0116853899327742;-0.0137489256223188;0;0;3;3;4
24;-0.0138262812465107;-0.0125403950299517;3;6;1;0;0
25;-0.00867676741001326;-0.0185872008220124;1;3;5;0;1
26;-0.0299635664979535;0.0254192661348921;5;4;1;0;0
27;0.0305034033873518;0.0315254842263241;0;0;1;2;7
28;0.0318882785493419;0.0364057428344327;0;0;1;2;7
29;0.00877987091538791;-0.0172462727580313;0;2;3;5;0
30;0.0106663423868325;-0.0150819330926111;0;1;3;5;1
31;0.016339267078588002;-0.00620014709452113;0;0;1;5;4
32;0.0193063149909354;-0.000136107438951248;0;0;1;5;4
33;0.0109340036517996;-0.0147429378122438;0;0;3;5;2
34;-0.0285555787508541;0.0209595500034897;2;7;1;0;0
35;0.00562945547145303;-0.019982551476688;0;3;5;2;0
36;-0.0300562609302835;0.0257205684490127;7;2;1;0;0
37;0.0199144071079047;0.0012270222296968901;0;0;2;6;2
38;-0.0071942606834596795;-0.0197839108852957;2;1;4;3;0
39;0.0113479787604886;-0.0142030184523205;0;1;2;5;2
40;0.00941321353799916;-0.0165635642883905;0;1;1;6;2
41;-0.000876770689216933;-0.0221564799731638;1;2;6;1;0
42;0.018280684833147997;-0.00234248098764038;0;0;3;5;2
43;-0.0274871268414009;0.017721724843481997;4;4;2;0;0
44;-0.0189135168354514;-0.0036847035951274;5;4;1;0;0
45;0.011280531834455;-0.014292278315486998;0;1;3;4;2
46;0.0197068336330402;0.000757114213686856;0;0;2;6;2
47;0.0188785934305593;-0.00107039088283052;0;0;2;3;5
48;-0.0144686555916528;-0.0115801862030349;2;3;5;0;0
49;0.0323552033284854;0.0380990230405195;0;0;0;5;5
50;0.0105976165786026;-0.0151676955008658;0;3;4;2;1
51;-0.00281804105658686;-0.0218975761232014;1;0;6;3;0
52;0.0114888601123388;-0.0140149505605944;0;1;4;4;1
53;0.00779675356056011;-0.0182180717799086;0;1;4;4;1
54;-0.0303659334625003;0.0267340515659797;9;1;0;0;0
55;-0.0102485237077751;-0.0170527757100749;1;4;5;0;0
56;-0.0207343288294923;0.000181007646647373;4;6;0;0;0
57;-0.0264878633488987;0.0148079141049775;1;8;1;0;0
58;0.0156129568090776;-0.007536121460144491;0;0;3;2;5
59;0.0282555791781325;0.0240561209764242;0;0;1;5;4
60;0.0201581953730646;0.0017850034602298398;0;0;2;2;6
61;-0.0254638103469244;0.0119364852504296;7;3;0;0;0
62;-0.0329397285664549;0.0355681747811197;9;1;0;0;0
63;0.0042449041581434;-0.0208376124745768;0;2;4;4;0
64;0.000330364422762302;-0.0221071445734765;0;0;6;4;0
65;-0.0237242393331188;0.007324811204103871;3;4;2;1;0
66;0.0228742451743217;0.00844637879191576;0;0;1;4;5
67;0.0138560925369691;-0.010526262105644;0;0;5;3;2
68;-0.0267055301694519;0.015433206338321001;4;4;2;0;0
69;-0.00954327068159437;-0.0177750976230708;3;3;4;0;0
70;0.0178050427306034;-0.0033261821327058697;0;0;1;5;4
71;0.000385266263963492;-0.0221010662213569;0;1;7;2;0
72;-0.0219284108868497;0.00291535918631672;3;4;3;0;0
73;0.0025983033713191197;-0.0215782922829591;0;0;4;6;0
74;0.03220224141946;0.037541656300809995;0;0;0;1;9
75;0.0260121560407132;0.0171589922336376;0;0;1;4;5
76;-0.0235202612187902;0.0068059966061404;3;7;0;0;0
77;0.0051386887341151;-0.0203099106470876;0;0;6;4;0
78;-0.00977617633782488;-0.0175426433383761;2;6;2;0;0
79;-0.0255966667081548;0.0123024599228223;7;2;1;0;0
80;0.00169725667050343;-0.0218565647232051;0;3;6;1;0
81;-0.00122823319826659;-0.0221405286349048;1;3;5;1;0
82;-0.0106534626594172;-0.0166131568138929;2;2;6;0;0
83;0.0174924182780762;-0.0039590997327496;0;0;2;7;1
84;-0.0310716457755464;0.0290833330374232;7;3;0;0;0
85;0.0281087773763828;0.0235877633805668;0;0;1;4;5
86;0.0218843299965498;0.00592395205819422;0;0;1;2;7
87;0.008369681883678759;-0.017664745198133;0;1;3;6;0
88;-0.0202064366457554;-0.000977516325345781;4;5;1;0;0
89;0.0075366170082930796;-0.0184573150822062;0;1;4;5;0
90;-0.0310536505575309;0.029022742956817;8;2;0;0;0
91;-0.00386319176080337;-0.0215854503813999;0;1;5;3;1
92;0.0233970112993132;0.00982221478201833;0;0;1;6;3
93;0.0179534948012426;-0.00302184843893721;0;1;3;4;2
94;-0.00777449352539636;-0.0193445079226074;1;2;6;1;0
95;-0.00295805182423349;-0.0218627764641099;0;1;6;3;0
96;0.0245613549272148;0.0129952909769852;0;0;0;6;4
97;-0.009462331022697579;-0.0178544746016576;0;3;3;4;0
98;-0.0115731553878333;-0.0155472791475629;1;6;3;0;0
99;-0.0115058269036938;-0.0156284854487488;2;2;4;2;0
100;0.0005398772002139769;-0.0220821560863329;0;3;3;4;0
101;0.0286664677184762;0.0253797044009028;0;0;0;6;4
102;0.0165749764455377;-0.00575403440840462;0;1;4;4;1
103;-0.0161528357741966;-0.00884585863273615;4;5;1;0;0
104;-0.0352149439109348;0.0439880322643028;8;2;0;0;0
105;0.00498219775653829;-0.0204086902317037;0;2;4;2;2
106;0.0140652495210988;-0.0101881968284573;0;0;3;5;2
107;-0.0219442388842753;0.00295266384144657;7;2;1;0;0
108;0.0175626893458541;-0.00381777633690091;0;0;1;6;3
109;-0.00597244369490149;-0.0205873274172834;0;6;4;0;0
110;-0.0229854497708697;0.00546757971134363;1;5;4;0;0
111;0.0019297613335986102;-0.0217933620085487;0;3;4;2;1
112;0.0304809262764643;0.0314480261960225;0;0;0;4;6
113;0.0279945976812278;0.0232251327194602;0;0;0;4;6
114;-0.0199638781606043;-0.00149949837304379;3;7;0;0;0
115;-0.0343542574022037;0.0407355251638164;7;3;0;0;0
116;-0.0342561811443642;0.0403701019691262;6;4;0;0;0
117;-0.0201664229586972;-0.00106407367127724;5;5;0;0;0
118;0.0079141805954264;-0.01810762243137;0;0;3;5;2
119;0.007509398625654771;-0.0184819145344003;0;1;3;6;0
120;-0.0318810459605037;0.0318456536240096;9;1;0;0;0
121;0.00851229071337544;-0.017521368308132;0;1;4;3;2
122;-0.0087473557311367;-0.0185241533404268;1;6;3;0;0
123;-0.0179567562287181;-0.00556890429812394;2;6;2;0;0
124;-0.0151232675564681;-0.0105546984622508;1;5;4;0;0
125;-0.0203711088540488;-0.000619433130861117;5;5;0;0;0
126;0.0106408779762588;-0.0151137709008369;0;0;5;4;1
127;0.008536382004254021;-0.0174969250133738;0;0;5;5;0
128;0.0040286667353263104;-0.0209519982385797;0;2;4;3;1
129;0.0107615601072082;-0.0149622477286468;0;2;3;3;2
130;0.0111936368300483;-0.014406533721487001;0;0;2;5;3
131;0.0190965971775841;-0.000596729751231431;0;0;3;4;3
132;0.0243654752068417;0.0124509799416566;0;0;1;4;5
133;-0.0275978497425545;0.0180513897575596;8;2;0;0;0
134;0.0217251579750324;0.00552848412759575;0;0;1;5;4
135;0.0202799926638753;0.0020662366423495897;0;0;2;3;5
136;-0.0268632031310166;0.0158894291770694;8;2;0;0;0
137;0.0314494794870846;0.0348364536760281;0;0;1;4;5
139;0.0329667895700192;0.040353414585269996;0;0;0;5;5
140;-0.0060536334282561;-0.0205390654326858;0;4;6;0;0
141;0.010495034884641999;-0.0152947338886007;0;1;4;5;0
142;-0.00110320777323075;-0.0221477697343427;0;2;5;3;0
143;0.000849666271514242;-0.0220363046530685;0;5;3;1;1
144;0.0263743222299984;0.0182347218512623;0;0;1;4;5
145;0.0315941362085739;0.0353514387183154;0;0;0;4;6
146;0.0150499351465818;-0.00853156918885742;0;0;4;2;4
147;0.008218831852482091;-0.0178139577935777;0;1;4;4;1
148;-0.0342293197644614;0.0402702046432406;8;2;0;0;0
149;0.0160546519006167;-0.00673062513833704;0;2;5;2;1
150;-0.0207317581646891;0.00017529127344528502;1;5;4;0;0
151;0.0298088420601503;0.0291578006966061;0;0;0;3;7
152;0.0232513285597991;0.00943576117573043;0;0;1;7;2
153;-0.0005939485393030299;-0.0221593882950817;0;0;6;4;0
154;0.019246180727104;-0.000268683597103073;0;0;3;7;0
155;0.0125690930475605;-0.0124999058470354;0;1;2;4;3
156;-0.00512258425883243;-0.0210487235319839;1;3;4;2;0
157;-0.0270017282067608;0.0162925187957776;2;4;4;0;0
158;0.0263603749189197;0.0181930258600231;0;0;0;4;6
159;0.016723604123014997;-0.0054695746136692105;0;1;3;4;2
160;-0.0224670032193348;0.00420033730978723;4;5;0;1;0
161;0.00584132420250042;-0.0198329888443528;0;1;4;5;0
162;-0.0103468956591491;-0.0169476479207358;3;2;3;2;0
