site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
1;0.0037723207957826702;-0.0153717770365415;0;0;1;3;4;6;2;2;2;0
2;0.00905286501021737;-0.0100732691013656;0;0;1;2;0;5;2;4;5;1
3;-0.00383710807189427;-0.0149822728637986;1;0;2;2;7;5;1;2;0;0
4;0.0146810056112753;0.000597079518999767;0;0;0;0;0;6;2;4;7;1
5;0.0089778490166058;-0.0101804887446804;0;0;0;0;0;5;4;5;6;0
6;0.0164152133136535;0.004929547335975729;0;0;0;0;0;4;2;4;6;4
7;-0.0147949987263892;0.00222453236566589;4;2;3;5;5;1;0;0;0;0
8;-0.0135473278500859;-0.0007258407364759991;7;0;2;6;1;4;0;0;0;0
9;0.0126357004792803;-0.0038801360411695796;0;0;0;1;0;7;3;1;6;2
10;0.009623981097997291;-0.009226787373174741;0;0;0;0;0;7;4;2;4;3
11;0.0153852806368807;0.00229718311868011;0;0;0;0;0;1;6;4;8;1
12;-0.00379410381207006;-0.0150110956771578;0;1;4;3;0;8;1;3;0;0
13;-0.000848470213817177;-0.0162651024573657;1;1;2;3;2;6;1;3;1;0
14;0.0208557200038684;0.0182662658034575;0;0;0;0;0;4;2;2;7;5
15;0.0180697439487975;0.009521678841128091;0;0;0;0;0;6;1;4;5;4
16;-0.0068032019629657;-0.012264085204208998;0;0;4;10;2;4;0;0;0;0
17;-0.020367769149267;0.018512162091228;6;5;3;6;0;0;0;0;0;0
18;-0.0234444542679868;0.0296816648666903;11;2;4;3;0;0;0;0;0;0
19;-0.00679870919479941;-0.0122692910752671;1;0;5;3;2;7;0;1;0;1
20;0.0235581466277737;0.0279620845109507;0;0;0;0;0;4;0;2;4;10
21;-0.0114118425873198;-0.00518454780461996;6;0;4;4;1;4;0;1;0;0
22;0.00563922061441695;-0.0140199256155248;0;0;1;4;6;5;0;4;0;0
23;0.0177773266927414;0.00867749074630398;0;0;0;0;0;4;3;7;4;2
24;-0.0232863242284151;0.0290698360577856;9;3;3;4;0;1;0;0;0;0
25;0.019242727513015;0.0130486305735983;0;0;0;2;1;3;1;4;5;4
26;-0.0178809870293097;0.0106161416570792;9;3;2;5;0;0;1;0;0;0
27;-0.0181543642975941;0.0114346624295403;8;5;1;6;0;0;0;0;0;0
28;0.0226234197497326;0.0244732695418645;0;0;0;0;0;2;4;5;7;2
29;-0.0229148829716857;0.0276487675229909;11;3;2;2;2;0;0;0;0;0
30;-0.009461359516716209;-0.008604955230177609;0;0;4;9;3;4;0;0;0;0
31;0.00552454496516059;-0.0141194036816089;0;0;0;0;2;6;4;2;5;1
32;-0.0135908565067021;-0.0006271966113966611;4;2;4;4;3;3;0;0;0;0
33;0.00826017685867995;-0.0111597071405248;0;0;0;2;0;4;8;1;5;0
34;-0.0188969991329953;0.0137199218292362;5;1;5;7;1;1;0;0;0;0
35;0.00854737339510324;-0.0107779604185356;0;0;0;1;0;7;5;1;6;0
36;-0.0051012474301491;-0.0139998152140846;1;3;2;7;3;2;1;1;0;0
37;-0.00189163670003337;-0.0159833771531865;0;0;2;5;1;8;1;1;1;1
