site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
1;-0.0128086585354316;0.00587639464469506;7;2;9;11;3;4;1;1;0;1;0;1;0;0;0;0;0;0;0;0
2;0.00183269307086377;-0.010417637482045;0;0;0;1;1;2;3;1;4;3;4;5;4;3;3;2;1;2;1;0
3;0.0148303887681059;0.0144477551928902;0;0;0;0;0;1;0;0;0;0;1;2;1;0;4;3;8;12;8;0
4;0.0076375454081326405;-0.00388378347762073;0;0;0;0;0;0;2;3;1;1;0;2;3;5;4;8;4;5;2;0
5;-0.00498257483111717;-0.008672429123823459;1;7;0;2;2;3;1;5;5;4;2;4;0;1;2;1;0;0;0;0
6;-0.00149571471079923;-0.0108359190579807;0;0;0;1;4;1;3;3;3;4;1;5;3;3;3;4;1;0;1;0
7;0.00677808794382763;-0.00531650734306304;0;0;0;0;0;0;0;1;1;2;2;5;5;4;1;6;6;3;1;3
8;0.0010387997087585;-0.0107376958331925;0;1;0;1;1;0;3;4;0;4;7;2;6;3;4;1;2;0;1;0
9;0.0049088022086586;-0.00787418598194782;0;0;0;0;1;1;0;2;2;2;2;3;8;3;7;2;3;2;0;2
10;-0.00359755422012256;-0.00985049996704018;1;1;4;1;2;4;3;3;2;4;2;5;5;1;1;0;0;0;1;0
11;-0.014928977403076998;0.012126999600348;10;4;5;10;1;5;1;1;2;0;0;1;0;0;0;0;0;0;0;0
12;-0.0173175767227493;0.0203475891347476;9;3;2;11;4;6;1;2;2;0;0;0;0;0;0;0;0;0;0;0
13;-0.0149395403646867;0.0121606029729985;7;2;5;11;1;6;0;1;2;4;0;0;0;0;1;0;0;0;0;0
14;-0.0174088253515629;0.0206864034514927;12;3;3;9;2;7;0;3;0;0;1;0;0;0;0;0;0;0;0;0
15;0.00538658601405075;-0.007293237779669241;0;1;0;1;0;1;2;1;2;3;2;5;2;3;5;6;3;2;0;1
16;0.0031641531439625397;-0.009571048229615079;0;0;0;0;0;5;3;1;4;1;3;5;2;3;5;6;1;1;0;0
17;0.0129772053571185;0.00864141765372095;0;0;0;0;0;0;0;1;0;0;1;4;3;1;6;5;6;5;8;0
18;0.0077783436036403;-0.0036336529200825204;0;0;0;0;0;1;2;2;1;3;1;2;5;3;4;3;3;3;4;3
19;-0.00587940858545994;-0.007685554363061591;1;0;0;8;1;9;2;3;6;3;3;3;0;0;1;0;0;0;0;0
20;0.000710173781009477;-0.0108297952971242;0;0;1;1;1;1;0;4;3;9;0;4;7;6;2;0;1;0;0;0
21;0.0121285740746362;0.00623353406023615;0;0;0;0;0;0;0;0;0;2;3;1;1;4;8;4;4;5;8;0
22;-0.00311503287214049;-0.0101622668597838;2;0;3;3;5;6;2;2;4;2;4;2;2;1;1;0;0;1;0;0
23;-8.65367332353322e-05;-0.0109549216579021;1;0;1;0;1;3;4;3;4;4;3;2;1;4;2;3;0;3;1;0
24;-0.016826904839816;0.0185569407810001;11;2;8;8;2;5;0;1;1;1;0;0;1;0;0;0;0;0;0;0
25;-0.0123874047642518;0.00475177248610099;8;7;4;6;2;5;3;3;2;0;0;0;0;0;0;0;0;0;0;0
26;0.0139276602516533;0.0115254191909828;0;0;0;0;0;0;0;0;1;0;0;1;2;4;5;6;2;9;10;0
27;0.0076268760826477405;-0.0039025608017836796;0;0;1;0;0;0;0;1;1;1;0;3;8;6;6;3;4;2;3;1
28;-0.005617209417113121;-0.00799229564807054;2;1;3;1;2;6;4;2;3;2;3;7;0;0;2;0;1;0;1;0
29;0.0153167338690475;0.0160961257876969;0;0;0;0;0;0;0;0;0;0;1;0;0;1;5;6;9;8;10;0
30;0.0141317639817336;0.0121705379943415;0;0;0;0;0;0;0;2;0;0;1;0;2;3;6;2;4;12;8;0
31;0.000484396155282289;-0.0108793669881375;1;1;0;0;1;2;2;4;2;4;2;5;1;3;4;1;4;2;1;0
32;-0.0122079784901173;0.00428455732594028;7;3;6;8;3;6;1;4;0;2;0;0;0;0;0;0;0;0;0;0
33;-0.0124483765636118;0.00491214407411297;7;2;4;7;4;8;0;4;3;0;0;0;1;0;0;0;0;0;0;0
34;-0.00253170996120536;-0.010471096182244;0;2;1;0;3;5;2;5;7;2;3;6;0;2;0;0;0;1;0;1
35;-0.0106137028728503;0.00044274598604937;5;2;5;7;5;7;1;3;1;1;3;0;0;0;0;0;0;0;0;0
36;0.00887193187894369;-0.00154308443458723;0;0;0;0;1;0;0;2;1;3;4;1;6;4;3;3;3;7;1;1
37;-0.015851849633523;0.0151550592281998;12;0;5;9;2;4;1;2;3;1;0;0;1;0;0;0;0;0;0;0
38;-0.0132971702271968;0.00722923200326607;7;2;5;6;3;8;3;3;1;0;2;0;0;0;0;0;0;0;0;0
39;0.0124152755023159;0.00702937499592371;0;0;0;0;0;0;0;0;2;1;0;2;4;2;5;10;4;4;6;0
40;0.00749515448447653;-0.0041323288985461795;0;0;0;0;1;0;2;1;1;2;0;4;5;5;4;6;3;5;1;0
41;-0.00533413184635461;-0.00830656319259569;1;0;3;4;4;9;1;3;3;5;0;0;2;2;2;0;1;0;0;0
42;-0.0115089396461098;0.00253153245382486;4;2;4;3;3;7;6;2;4;2;1;0;0;0;1;0;1;0;0;0
43;0.00964774829947246;9.8793771995588e-05;0;0;0;0;0;0;0;1;1;0;1;2;7;0;8;7;5;5;2;1
44;-0.00898965491331094;-0.00289858586611354;2;2;3;2;2;7;3;3;9;1;3;0;0;2;1;0;0;0;0;0
45;-0.00817708918254995;-0.00435360481421867;3;2;4;2;1;5;4;4;8;2;1;3;0;1;0;0;0;0;0;0
46;0.005106316206571929;-0.007640084756929691;0;0;0;0;0;0;2;1;2;1;2;0;6;4;11;5;0;4;0;2
47;-0.00272880304818267;-0.0103750829775081;0;2;2;3;0;5;4;2;4;4;0;4;2;3;1;1;1;0;2;0
48;0.0138936848675411;0.0114189174086185;0;0;0;0;0;0;1;0;0;0;2;1;0;2;5;9;5;8;6;1
49;0.0171432296359574;0.0227491613407387;0;0;0;0;0;0;0;0;0;0;1;1;2;3;2;2;12;4;13;0
50;0.00624355351056907;-0.00612600338621004;0;0;0;0;1;1;0;0;2;3;2;2;3;4;6;3;6;3;4;0
51;0.00100737956080633;-0.0107475238825084;1;0;0;2;1;7;1;4;4;1;4;3;3;4;2;2;1;0;0;0
52;0.00225998964679042;-0.0101882446399081;1;0;1;0;1;3;1;0;5;6;1;2;3;3;4;6;0;3;0;0
53;0.00862173290495642;-0.0020444817578749897;0;0;0;0;0;0;0;0;1;0;6;3;3;4;9;5;3;1;2;3
54;-0.0151128423964482;0.0127154077669907;11;2;2;4;2;9;2;4;2;1;1;0;0;0;0;0;0;0;0;0
55;-0.00554805167408157;-0.00807069298932101;1;2;4;3;2;5;1;6;4;2;1;6;2;1;0;0;0;0;0;0
56;-0.014823727035356001;0.0117935068581912;7;3;5;11;4;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0
57;-0.00760380167488435;-0.00529317927399479;1;0;2;3;4;7;4;8;3;0;2;1;2;1;0;1;0;0;1;0
58;-0.012263258574628;0.00442775197613257;4;2;4;7;7;5;3;4;1;2;0;0;1;0;0;0;0;0;0;0
59;0.0160760432237117;0.0187732055714134;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3;6;5;9;14;0
