site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05
1;-0.0239604761028017;0.0042454153372918;1;4;4;1;0
2;0.0147641336132313;-0.0066017740738249;0;1;6;3;0
3;-0.0337194267552963;0.0322116926643469;0;5;5;0;0
4;-0.00045788055150308;-0.0214168425667145;0;3;5;2;0
5;-0.0111219921378528;-0.0170741709976689;0;5;5;0;0
6;0.00144401745605589;-0.0209168079083308;1;2;4;3;0
7;0.0296678607986951;0.0318476168612814;0;0;2;8;0
8;-0.0294972298779314;0.0188654272171369;0;6;4;0;0
9;-0.0303962815839696;0.0215479777549832;10;0;0;0;0
10;0.0236362371963326;0.0134331075552833;0;0;1;0;9
11;-0.0335921087720207;0.0317814401781964;10;0;0;0;0
12;0.0331768187134437;0.0443457751390181;0;0;0;0;10
13;0.0300268447216733;0.0330659366441669;0;0;1;0;9
14;-0.0246641634733407;0.00592215774466199;0;8;2;0;0
15;0.00789897645121973;-0.0163429605660401;0;1;7;2;0
16;0.0331176948636474;0.0441243111773867;0;0;1;9;0
17;0.0277506437195905;0.025573692308117995;0;0;0;0;10
18;-0.0179021815255416;-0.00800556343655532;0;6;4;0;0
19;-0.0200278081453581;-0.004152958044546;0;5;5;0;0
20;-0.008256513413061571;-0.0194327999536309;0;3;5;2;0
21;-0.0148504627382248;-0.0126940780223886;0;5;5;0;0
22;0.0106483066921677;-0.0130453117495828;0;2;3;5;0
23;0.00404964043115413;-0.0196054071414233;0;2;5;3;0
24;0.02050368351374;0.00540037968698738;0;1;5;4;0
25;-0.00518376453706002;-0.02098895403494;0;5;4;1;0
26;0.0120329094005422;-0.0110793186580777;0;1;4;5;0
27;0.0284742324835734;0.0278955126990574;0;0;1;9;0
28;-0.0060761619590995;-0.0206407758118312;1;2;6;1;0
29;0.0218467171450642;0.00871611585236353;0;0;4;5;1
30;-0.0238401942720336;0.00396409383887238;0;7;3;0;0
31;-0.0364652075891583;0.041911366534154997;10;0;0;0;0
32;0.0065947171367673205;-0.0176253892526505;0;2;3;5;0
33;-0.0281993291846998;0.0151448733478227;0;5;5;0;0
34;0.0137113988047654;-0.00842185121718745;0;0;3;7;0
35;-0.0283881147309645;0.0156748784428395;1;6;3;0;0
36;0.00161159577329972;-0.0208542547393857;0;3;3;4;0
37;-0.0108898126231823;-0.017297887719255;0;4;5;1;0
38;0.0034351441807085603;-0.0199799314440803;0;1;5;4;0
39;0.023306042513142;0.0125370508292619;0;0;3;7;0
40;0.0103848766044029;-0.0133962028556871;0;1;4;5;0
41;-0.0356502470291702;0.0389485421684209;10;0;0;0;0
42;-0.0373815061736084;0.04532720862329599;10;0;0;0;0
43;0.0276492736959073;0.0252528802729248;0;0;1;0;9
44;0.00289129201769144;-0.0202778035836603;0;4;5;1;0
45;0.00738509165075265;-0.0168699042942001;0;0;3;7;0
46;-0.0233136134672503;0.00275066415840003;0;6;3;1;0
47;0.0150254583026297;-0.00613165576335527;0;1;5;4;0
48;-0.00814982077427451;-0.0195037094627202;0;2;6;2;0
49;0.000684051492838433;-0.0211628939577968;0;2;5;3;0
50;-0.0171243057903855;-0.0092949815854911;0;6;4;0;0
51;0.0109015076398588;-0.0127010698605249;0;1;3;6;0
52;0.0105844306823131;-0.0131310749088111;0;0;6;3;1
53;0.0163667894082887;-0.0036039841966730704;0;2;3;5;0
54;0.0280743452845727;0.0266054687527368;0;0;3;7;0
55;0.033330924589916;0.0449247717126431;0;0;2;0;8
56;-0.0204342400623558;-0.0033614362648058103;0;7;3;0;0
57;0.0175923293519561;-0.0011267518254074302;0;1;3;6;0
58;0.0144438276418463;-0.00716806338927771;0;1;4;5;0
59;-0.0323385789508338;0.0276376291486035;10;0;0;0;0
60;0.0114914342867213;-0.0118725040577201;0;1;2;7;0
61;-0.0161054906075469;-0.0108861654016011;0;5;4;1;0
62;-0.0369083294622694;0.0435520854939575;0;6;4;0;0
63;-0.0224988322867084;0.000931402661754299;0;7;3;0;0
64;-0.00417602248837511;-0.0212800175401294;0;3;5;2;0
65;0.0147918729109488;-0.006552217134278671;0;0;7;3;0
66;0.0244011422685832;0.0155535187729192;0;1;4;3;2
67;0.0120236854537584;-0.0110930922694426;0;0;4;6;0
68;-0.00775010889424441;-0.0197585692040351;0;5;5;0;0
69;-0.0340783974107123;0.0334340907853522;0;8;2;0;0
70;0.0250791867833353;0.0174853183474828;0;0;2;0;8
71;-0.00904198683275439;-0.0188733909576344;0;5;5;0;0
72;-0.0205815002944737;-0.00307030024687972;0;8;2;0;0
73;-0.034656793042137;0.0354326074040628;0;8;2;0;0
74;0.0026467252953666803;-0.0204014717053245;0;4;5;1;0
75;-0.00616737982464745;-0.0206004013237803;0;3;5;2;0
76;-0.0360539105874355;0.0404072244646217;10;0;0;0;0
77;0.0205154445392455;0.00542858080223476;0;0;4;6;0
78;0.008843205894260209;-0.0153013127217918;0;2;4;3;1
79;0.0170071437364411;-0.0023295945434260103;0;1;6;3;0
80;-0.0158645896257691;-0.0112462204688998;0;5;5;0;0
81;-0.00541269737565785;-0.0209077336095931;0;5;2;3;0
82;-0.00835192803913051;-0.0193683575772995;0;4;5;1;0
83;0.0170570285839454;-0.00222848085117925;0;0;5;5;0
84;-0.00890845095799219;-0.0189731370197192;0;2;6;2;0
85;0.029617161048830998;0.031676659725126;0;0;1;0;9
86;-0.00960552326238098;-0.0184315022262151;0;4;4;2;0
87;0.0248434506095361;0.0168081277997673;0;0;5;5;0
88;0.0171825891165218;-0.00197280214298828;0;1;3;6;0
89;0.0133807134390002;-0.00896917746335498;0;2;5;2;1
90;0.0303070503050667;0.0340264499823801;0;0;0;0;10
91;-0.0258456209556985;0.00885610415881925;0;6;4;0;0
92;0.0104019472113869;-0.0133736889394163;0;0;5;5;0
93;-0.025618965609451;0.00828170354963731;0;7;2;1;0
94;0.0212388770501123;0.00719162364927696;0;0;2;0;8
95;0.0139562521832988;-0.008009072498425229;0;0;3;7;0
96;-0.033466956977277;0.0313601930574335;8;0;1;1;0
97;0.00215936442376365;-0.0206288883777554;0;4;5;1;0
98;0.00566239818817935;-0.0184309006061011;0;0;5;5;0
99;-0.0359245606786789;0.0399379122068656;1;8;1;0;0
100;-0.0208696760233126;-0.00249387999097701;0;7;3;0;0
101;-0.00424188318517376;-0.0212643033414913;0;2;7;1;0
102;-0.00649624223739131;-0.020447474184548;0;5;5;0;0
103;0.0128055797396737;-0.00989331391393864;0;1;4;5;0
104;-0.0236835539402744;0.0036000484327079205;0;8;2;0;0
105;-0.0257679578432791;0.00865866957268931;0;7;3;0;0
106;-0.0181710722344509;-0.007544835908140291;0;4;4;2;0
107;0.0118266301390534;-0.0113851763583461;0;2;3;5;0
108;0.0130394110992585;-0.00952184502164653;0;0;4;6;0
109;0.018552217793516998;0.000925381126158369;0;0;4;6;0
