site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
1;0.000202687942097633;-0.0158142670688406;0;1;2;3;5;3;2;2;2;0
2;-0.0157776517817307;0.0029514131842849995;1;8;10;0;1;0;0;0;0;0
3;0.00788975159823263;-0.0104417704815352;0;0;2;2;3;4;0;2;5;2
4;-0.0221210988424874;0.0216084677879981;3;7;9;0;1;0;0;0;0;0
5;-0.0245430191934699;0.0304119173720677;6;6;5;1;0;0;2;0;0;0
6;-0.0112040593366075;-0.00654842023813905;1;7;7;4;0;1;0;0;0;0
7;-0.00109665820071904;-0.0157982273409223;0;2;4;4;3;4;3;0;0;0
8;-0.0179651191609614;0.00866556259166084;1;9;7;1;2;0;0;0;0;0
9;0.0102119418803746;-0.0069791494895373105;0;1;0;0;2;3;2;7;3;2
10;-0.0206479813566461;0.0167079584347038;2;12;6;0;0;0;0;0;0;0
11;-0.0121111670842987;-0.00492749590604011;3;5;6;0;5;1;0;0;0;0
12;0.00931169084951333;-0.00842283097295578;0;0;1;2;4;2;0;5;3;3
13;0.0164158362131474;0.00645794921100828;0;0;0;1;1;0;0;8;5;5
14;0.00892102850546515;-0.00900939938618358;0;0;0;1;2;2;3;5;1;6
15;0.00992455649667123;-0.00745395313385488;0;0;0;0;3;2;5;5;4;1
16;0.0142260144258686;0.0010192761006301199;0;0;0;0;1;0;1;7;4;7
17;-0.0191315968746055;0.0120223069568381;1;9;9;0;1;0;0;0;0;0
18;-0.0208947284598438;0.0175048434171256;1;12;7;0;0;0;0;0;0;0
19;-0.0234180235792957;0.0262071876589615;3;9;8;0;0;0;0;0;0;0
20;-0.0239261804469107;0.0280816417956705;2;9;8;0;1;0;0;0;0;0
21;-0.0166482225327811;0.00513479888364745;0;7;11;0;1;1;0;0;0;0
22;0.0217143970234271;0.0227578902053641;0;0;0;0;0;0;0;7;4;9
23;-0.0113071210552589;-0.00637081632623646;0;4;7;8;1;0;0;0;0;0
24;-0.0017912560064808302;-0.0156800354666611;0;0;5;4;5;3;3;0;0;0
25;0.0183632323860233;0.0119322005910283;0;0;0;0;0;0;0;7;4;9
26;-0.00373683390400275;-0.0149424276843275;0;2;1;4;7;1;3;0;2;0
27;-0.0241052184944363;0.0287518027921073;1;10;8;1;0;0;0;0;0;0
28;-0.00705405797076659;-0.0123030650109626;0;3;5;6;5;1;0;0;0;0
29;0.00897995344652703;-0.00892247239119135;0;0;1;1;3;4;4;3;4;0
30;-0.0154378558136451;0.00213175844998268;0;7;9;1;3;0;0;0;0;0
31;0.0100998656749991;-0.007165871221585209;0;0;0;1;0;5;6;3;4;1
32;-0.0214836204486665;0.0194456546288188;9;8;2;0;1;0;0;0;0;0
33;0.00202488896391318;-0.0153865673847036;0;0;1;1;5;6;5;0;2;0
34;-0.00222769174672738;-0.0155667034074818;0;1;2;3;4;5;4;1;0;0
35;-0.00057783541829876;-0.015836682681881;0;2;1;1;7;6;1;1;0;1
36;-0.0242884154818987;0.0294427834120662;3;9;6;0;2;0;0;0;0;0
37;-0.014480874279961002;-7.84487668157142e-05;2;10;5;1;0;2;0;0;0;0
38;-0.00918470541721953;-0.00968911096391095;0;5;6;5;1;1;1;1;0;0
39;-0.0054692904989092;-0.0137812923667503;0;2;7;8;1;0;2;0;0;0
40;0.0185313971746711;0.0124330797260757;0;0;0;0;0;0;0;11;1;8
41;0.0175941189788583;0.009698449681348571;0;0;0;0;0;0;0;10;1;9
42;-0.0227925095654541;0.0239559596716413;1;10;8;0;1;0;0;0;0;0
43;0.0157266848544041;0.00466451017093798;0;0;0;0;0;1;0;7;1;11
44;0.018821240277391998;0.013306884715455;0;0;0;0;0;2;0;9;2;7
45;0.0193767919720817;0.0150189072578987;0;0;0;0;1;1;3;6;3;6
46;-0.0199921694782027;0.0146368212292429;5;6;7;1;1;0;0;0;0;0
47;-0.00895401740988814;-0.0100068170816924;1;5;6;2;1;3;0;2;0;0
48;-0.009766740849686591;-0.00885008611215478;0;5;6;3;2;4;0;0;0;0
49;-0.0124806190662103;-0.00422998885838781;2;8;2;2;4;0;1;1;0;0
50;-0.0105838119126425;-0.00758177082022993;1;5;2;9;2;1;0;0;0;0
51;0.00566623437605024;-0.0129572870302881;1;0;0;1;6;1;1;5;3;2
52;-0.0044599630404654;-0.0145155358178534;0;0;7;4;2;4;3;0;0;0
53;0.0187192347308635;0.0129978468298218;0;0;0;0;0;2;0;7;0;11
54;0.00915621082079536;-0.00865917391341427;0;0;0;3;2;5;0;4;2;4
55;-0.00236654687062848;-0.0155243235992151;0;1;3;4;3;4;4;1;0;0
56;-0.00204677971639066;-0.0156173407345023;1;3;2;2;5;3;3;0;1;0
57;-0.0148409258691897;0.000736101668435956;4;6;6;2;1;1;0;0;0;0
58;0.00590183547161647;-0.0127278148636958;0;1;0;3;3;5;3;1;2;2
59;0.0162504076922653;0.006020582883659971;0;0;0;0;1;4;0;6;4;5
60;0.0219404633750541;0.0235521861812677;0;0;0;0;0;0;0;8;4;8
61;-0.0160232870855856;0.00355531538217062;0;8;9;3;0;0;0;0;0;0
62;-0.00250525575672334;-0.0154789412255956;1;1;3;1;3;5;5;0;0;1
63;0.00584790837206888;-0.0127811145162918;0;0;1;3;3;5;3;2;0;3
64;-0.0236297796251007;0.0269833311887707;1;8;6;3;2;0;0;0;0;0
65;0.0222100414803563;0.0245099381741363;0;0;0;0;0;0;0;4;7;9
66;0.0117731241789046;-0.00417142902792297;0;0;0;3;0;2;1;5;6;3
67;-0.0067845594491835895;-0.0125825004043903;0;5;4;3;3;5;0;0;0;0
68;-0.00262604153646335;-0.0154369421634535;0;1;3;5;3;3;1;3;1;0
69;-0.0173364995595457;0.0069459112274719605;1;9;5;3;1;1;0;0;0;0
70;-0.0179261603227396;0.008557168620230121;1;8;9;0;1;1;0;0;0;0
71;-0.008333182169088179;-0.0108199969604288;0;5;6;4;3;2;0;0;0;0
72;0.0170666377560172;0.008220606596573091;0;0;0;0;1;2;0;3;7;7
73;0.0151044418311423;0.00310977681682602;0;0;0;0;0;3;0;9;1;7
74;-0.0105160613629385;-0.00769095603385855;1;5;8;2;1;1;2;0;0;0
75;0.0174519045004296;0.00929567116934735;0;0;0;0;2;0;1;7;2;8
76;-0.00039342671340624103;-0.0158400872104271;0;0;2;3;5;4;2;2;1;1
77;-0.00967825158285422;-0.00898110316923473;2;0;5;4;3;3;2;1;0;0
78;-0.0203574757822203;0.0157821055985361;2;11;6;0;0;0;1;0;0;0
79;-0.00223574338851313;-0.0155643293314427;0;0;3;2;6;5;1;2;1;0
80;0.0200721365901801;0.0172305665339447;0;0;0;0;0;0;0;10;3;7
81;0.0152312513751409;0.00342165006719282;0;0;0;0;1;1;1;6;3;8
82;-0.0216628557418552;0.0200472569244636;3;8;8;0;1;0;0;0;0;0
83;0.0231871405127845;0.0280777679746095;0;0;0;0;0;0;0;6;4;10
84;0.0022892607144596603;-0.0152808552984068;0;1;2;2;6;5;2;0;2;0
85;-0.00328582027874083;-0.0151667664218621;0;1;5;5;4;3;1;1;0;0
86;0.016469841876257;0.0066016694176751;0;0;0;0;2;1;0;4;6;7
87;0.0145455730554027;0.0017656337725279398;0;0;0;0;0;3;0;7;1;9
88;-0.00553169056514016;-0.0137306059219266;0;3;4;8;0;2;1;2;0;0
89;0.0217147179144277;0.022759011939346;0;0;0;0;0;0;2;8;4;6
90;0.0194997641205032;0.0154044698250432;0;0;0;0;0;3;2;6;4;5
91;0.0200323054259064;0.017101810375443;0;0;0;0;0;2;0;7;4;7
92;0.0106817952976849;-0.00617472162412975;0;0;0;0;1;2;0;8;3;6
93;0.0031985398952732603;-0.0148328059744326;0;1;2;2;4;5;2;3;1;0
94;0.0130208132093531;-0.00165013530317952;0;0;1;1;1;2;0;6;2;7
95;-0.0101896996837175;-0.0082067328347058;1;7;6;2;3;1;0;0;0;0
96;0.0114340779690026;-0.00481398463571265;0;0;0;2;0;3;1;5;7;2
97;-0.0114368692249344;-0.0061448335013442;1;7;8;0;1;1;1;0;0;1
98;0.0226588268073322;0.0261298904038168;0;0;0;0;0;0;0;8;2;10
99;0.0162745342480841;0.00608409978421673;0;0;0;0;1;1;1;8;3;6
100;-0.0236210332448421;0.026951132792088;3;10;5;0;2;0;0;0;0;0
101;0.0163456131005665;0.006271761482226521;0;0;0;0;0;2;2;5;7;4
102;0.0127927089964139;-0.00212948896074764;0;0;0;1;0;2;0;7;5;5
103;-0.010018687533338;-0.008470265728096579;1;7;6;4;0;0;1;0;0;1
104;0.000111355141988431;-0.0158218719780445;0;0;1;4;3;7;2;2;1;0
105;-0.0182033583828843;0.00933363502562515;3;8;8;0;0;1;0;0;0;0
106;0.00594522764912019;-0.0126845933297153;0;0;0;1;4;4;4;2;4;1
107;-0.0233323640335002;0.0258952384963281;7;6;7;0;0;0;0;0;0;0
108;-0.0104033458514488;-0.00787099578590847;2;6;8;1;3;0;0;0;0;0
109;-0.004774275987613;-0.0143041760924972;0;2;2;7;3;5;1;0;0;0
110;0.00856710816379257;-0.00951994373060491;0;0;0;0;4;5;2;1;5;3
111;-0.00477574011942869;-0.0143031549444638;0;0;2;3;5;7;3;0;0;0
112;-0.0201336617312281;0.0150779120456511;3;8;6;0;2;1;0;0;0;0
113;-0.00549046543064449;-0.0137641614431607;0;2;2;4;5;2;5;0;0;0
114;-0.0206176402098718;0.0166106352315022;4;7;9;0;0;0;0;0;0;0
115;0.020631065979301002;0.0190638203761333;0;0;0;1;0;0;0;5;6;8
116;-0.0226432644391348;0.0234279773999837;3;6;7;2;2;0;0;0;0;0
117;-0.015656835328501997;0.0026578861934664602;1;6;9;0;3;1;0;0;0;0
118;-0.0242368890184187;0.0292478994243269;1;7;9;3;0;0;0;0;0;0
119;0.0030621741725731;-0.0149083424700058;1;2;0;1;3;3;5;1;3;1
120;-0.00180652312799794;-0.0156765798720216;0;0;2;4;7;5;0;1;0;1
121;0.00850163303446443;-0.009612220872542529;0;0;1;0;2;4;0;6;2;5
122;0.0176357053865298;0.009816835282987059;0;0;0;0;0;2;0;9;4;5
123;0.0241887921713793;0.0318921209321148;0;0;0;0;0;0;0;8;3;9
124;0.0049837548220589;-0.0135724214512042;0;0;1;3;1;5;7;0;3;0
125;-0.00910798171434914;-0.009795710648443671;0;3;7;1;5;2;2;0;0;0
126;-0.0012861662928795401;-0.0157735567051722;0;3;3;1;5;3;3;0;2;0
127;-0.013798914364213;-0.00156501502205625;1;6;7;3;0;2;0;1;0;0
128;-0.004353778861528579;-0.0145834054482394;0;2;4;5;4;2;1;1;0;1
129;-0.0190039992878745;0.0116446309174087;2;9;8;1;0;0;0;0;0;0
130;-0.0115624027930657;-0.00592365489036857;0;4;4;5;4;1;2;0;0;0
131;-0.00516783270085824;-0.014017479645611002;0;3;6;4;3;3;1;0;0;0
132;-0.0183761291695438;0.00982374057646946;2;7;7;4;0;0;0;0;0;0
133;0.0164787676666224;0.00662546724430484;0;0;0;0;0;2;2;5;8;3
134;0.0015295518379184099;-0.0155548497466674;0;0;2;2;2;5;1;3;5;0
135;0.0140262460975703;0.000560910447821909;0;0;0;0;1;4;0;6;2;7
136;0.00841020017871873;-0.00973994596142054;0;1;0;1;3;7;2;3;2;1
137;0.01240365609353;-0.0029280674274686103;0;0;0;1;0;0;2;9;3;5
138;0.00982790659171359;-0.00761069554555695;0;0;0;0;0;4;1;6;3;6
139;-0.0163523790491787;0.00437936810444999;0;8;11;1;0;0;0;0;0;0
140;-0.008160879668941941;-0.0110348653475442;1;3;4;3;5;2;1;1;0;0
141;-0.00610841253781461;-0.0132329719301617;0;4;7;7;0;2;0;0;0;0
142;-0.0100856395407148;-0.00836764286227671;0;5;6;3;3;2;1;0;0;0
143;-0.00513824241266172;-0.014039887848096;0;2;3;5;4;3;2;1;0;0
144;-0.0037423922473580396;-0.0149394620507055;0;2;4;5;3;2;3;0;1;0
145;0.00801753673340266;-0.0102734236355824;0;0;0;2;1;5;2;4;3;3
146;0.00254106098836825;-0.015169883174946;0;4;0;3;2;4;4;1;0;2
147;0.00690628731254095;-0.0116509097030339;0;0;0;3;3;4;5;2;2;1
148;0.00717131308697428;-0.0113401385518805;0;0;0;3;3;7;1;3;3;0
149;0.0143301990280421;0.00126083258068978;0;0;0;0;0;1;0;9;4;6
150;-0.0216421307796545;0.019977433693781996;2;8;8;2;0;0;0;0;0;0
151;0.0130780893701575;-0.00152847760257264;0;0;0;0;0;1;0;9;2;8
152;-0.0209894469093174;0.0178133023408772;0;11;8;1;0;0;0;0;0;0
153;-0.000404973402081337;-0.0158400320127382;0;3;2;2;1;7;2;1;2;0
154;0.0121618755393862;-0.0034122797353792;0;0;1;0;3;3;2;6;0;5
155;0.0204039031306882;0.0183127753760637;0;0;0;0;0;1;0;9;2;8
156;0.0212476168122987;0.021143430097432;0;0;0;0;1;2;0;7;0;10
157;-0.0245099179943674;0.0302853393125416;2;9;6;2;1;0;0;0;0;0
158;-0.0150838568969481;0.00129728206902413;2;8;6;2;1;0;1;0;0;0
159;0.000500794329091639;-0.0157802564759122;0;1;1;5;2;3;2;3;3;0
160;0.0165691689142537;0.0068672045613212395;0;0;0;0;1;0;0;8;3;8
161;0.00244065432609705;-0.015215336988021999;0;0;0;0;6;7;5;1;1;0
162;0.00450847207115259;-0.013957252993482;0;1;1;2;6;6;1;2;0;1
163;0.0212365063726178;0.0211054224795974;0;0;0;0;0;0;0;10;1;9
164;-0.0221282451922447;0.0216330782662241;0;9;8;3;0;0;0;0;0;0
165;0.0129079949141662;-0.0018882487289660899;0;0;0;0;1;1;0;9;2;7
166;-0.0214641720927673;0.0193806821558112;4;8;8;0;0;0;0;0;0;0
167;-0.0182847310564529;0.00956387938655218;4;6;5;3;1;1;0;0;0;0
168;0.0137427683627373;-7.86829959199342e-05;0;0;0;0;1;3;1;5;6;4
169;0.0151141958744786;0.00313367537924877;0;0;0;1;1;3;0;10;1;4
170;0.00668894971194018;-0.0118974639457636;0;2;0;1;5;5;1;2;3;1
171;0.0200140810980976;0.0170429830963998;0;0;0;0;0;1;0;7;5;7
172;0.0017713454936309;-0.0154775565753924;0;0;1;4;6;3;3;1;2;0
173;0.0136436668023927;-0.000299278986762569;0;0;0;0;0;1;0;9;4;6
174;-0.00801573681225739;-0.011212217846745;0;2;8;3;5;1;1;0;0;0
175;-0.0102897657052045;-0.00805038232774071;0;5;5;7;2;1;0;0;0;0
176;0.0086948255788686;-0.009337992771390259;0;1;1;1;2;6;1;4;4;0
177;0.00585332740093154;-0.0127757793433973;0;1;0;2;2;2;9;1;1;2
178;-0.000915024999523449;-0.0158165373935812;0;4;1;2;3;6;3;0;1;0
179;-0.0157883795593233;0.0029775883135649;0;9;6;2;2;0;0;1;0;0
180;0.0104929736910406;-0.006502199728086321;0;0;0;1;0;5;1;7;3;3
181;-0.0137777704269147;-0.0016099288811439198;0;7;5;2;6;0;0;0;0;0
182;-0.015011525257113998;0.0011292164347192302;2;9;7;1;1;0;0;0;0;0
183;0.0208672105664477;0.0198532200237911;0;0;0;0;0;2;0;7;3;8
184;0.015448071309038;0.00396079023848129;0;0;0;0;0;1;0;7;5;7
185;0.0029357222796193303;-0.0149757570918969;0;2;1;3;3;8;2;1;0;0
186;-0.00237342835779062;-0.0155221439335542;0;1;2;3;3;5;3;1;1;1
187;0.0126993485021766;-0.00232330767114075;0;0;0;1;2;1;2;3;4;7
188;0.008819480952179009;-0.00915791418205185;0;1;0;2;3;2;1;6;2;3
189;0.0189986642758525;0.0138483356349066;0;0;0;0;0;2;0;6;1;11
190;0.0234572872926472;0.0290908635338833;0;0;0;0;0;0;1;4;5;10
191;0.0173465546839441;0.00899936462291337;0;0;0;0;0;1;0;7;3;9
192;-0.0135237128776724;-0.00214406310833012;3;6;6;0;4;1;0;0;0;0
193;0.00583038335624631;-0.0127983365193171;0;0;0;0;2;5;6;2;2;3
194;0.009525733904220741;-0.00809120720044382;0;0;0;1;2;8;2;2;2;3
195;0.0192138222706113;0.0145116259929092;0;0;0;0;0;0;0;10;2;8
196;0.0123569456199578;-0.00302233535322198;0;0;0;0;1;4;2;5;4;4
197;-0.0201898696614231;0.0152540152903805;2;9;8;1;0;0;0;0;0;0
198;0.0140427669005094;0.000598577591860914;0;0;0;0;3;0;0;11;1;5
199;-0.0243225720163659;0.0295722022865535;7;7;5;0;1;0;0;0;0;0
200;-0.00932888256335574;-0.009486270931453291;0;3;2;4;6;4;0;0;1;0
201;-0.0119983282598822;-0.00513622276160922;0;7;8;1;2;1;0;0;1;0
202;0.0192355141239916;0.0145789044021624;0;0;0;0;1;0;0;5;2;12
203;-0.0246504923122934;0.0308240873189655;5;8;7;0;0;0;0;0;0;0
204;0.00226684388469041;-0.0152902482069962;0;0;0;2;6;6;3;1;2;0
205;0.00261151661653935;-0.0151370353249478;0;1;3;0;5;5;1;1;2;2
206;0.0071413217394736;-0.0113758645297923;0;0;0;1;1;8;1;3;3;3
207;0.00587310369723182;-0.0127562696360091;0;0;1;2;3;2;1;7;1;3
208;0.0222647462262033;0.0247056962093892;0;0;0;0;0;0;0;9;1;10
209;0.00153253355090632;-0.0155539529528387;0;3;4;3;2;3;2;1;0;2
210;0.0006228183274224509;-0.0157622773688313;0;1;4;4;4;5;1;1;0;0
211;0.00994692610118873;-0.00741746440664842;0;0;1;1;0;2;2;2;8;4
212;0.00121339341504731;-0.0156419532011033;0;1;1;2;1;7;7;0;0;1
213;-0.0127099106847449;-0.0037862318200714;0;6;9;1;2;2;0;0;0;0
214;0.0113142073389892;-0.00503680785120866;0;0;0;1;3;3;1;6;3;3
215;-0.0141568109803826;-0.0007940357539453991;1;7;8;1;0;2;1;0;0;0
216;0.0194318517211501;0.0151912437178862;0;0;0;0;1;1;0;6;4;8
217;0.0123210655357387;-0.00309451157789071;0;0;1;0;4;3;1;4;2;5
218;-0.0162839709451565;0.0042066614563083795;2;5;8;2;3;0;0;0;0;0
219;0.0114017886545071;-0.0048742299069329705;0;0;0;2;0;4;1;5;3;5
220;-0.00332212832461019;-0.0151498981577282;0;3;5;2;3;6;1;0;0;0
221;0.0181552109062485;0.0113188018455187;0;0;0;0;1;0;0;8;7;4
222;0.00857131255230297;-0.009513995103703909;0;0;1;3;1;4;0;3;3;5
223;-0.016936383373458;0.00588393156802582;1;6;7;3;3;0;0;0;0;0
224;-0.019568542521484;0.0133351456909778;9;6;4;0;1;0;0;0;0;0
225;-0.0155490232538729;0.00239790459086175;3;9;5;1;0;2;0;0;0;0
226;0.00370360450613151;-0.014527396951392;0;1;0;1;4;5;4;3;1;1
227;0.00600249165973844;-0.0126270983145436;0;1;1;1;3;5;2;2;2;3
228;-0.0030963345956500302;-0.0152514128310584;0;3;4;4;2;4;0;2;0;1
229;0.0163842866272007;0.00637420289219754;0;0;0;0;0;0;0;9;3;8
230;0.0174309552068206;0.00923660931331078;0;0;0;0;2;1;0;4;8;5
231;0.00664540533616155;-0.011945962878665003;0;0;1;0;4;5;5;0;5;0
232;-0.00355416025715169;-0.015037171071463;0;2;1;7;3;6;0;1;0;0
233;0.0238175931187894;0.0304600492278965;0;0;0;0;0;1;0;8;1;10
234;0.0199139774568834;0.0167207907161644;0;0;0;0;1;1;0;5;7;6
235;-0.00905514910586041;-0.00986857437374341;0;4;7;5;3;0;1;0;0;0
236;0.020152719203626997;0.0174918216978687;0;0;0;0;0;0;2;7;4;7
237;0.0205896491355006;0.0189262792775502;0;0;0;0;1;0;0;7;2;10
238;-0.0076028771900108;-0.0116984643918431;0;4;5;4;3;2;1;1;0;0
239;-0.000859949799086325;-0.0158210575882763;0;2;2;2;2;7;1;2;2;0
240;-0.00837879391049886;-0.0107623305456134;0;2;2;8;3;3;2;0;0;0
241;-0.00431541654013335;-0.0146074865730402;0;0;1;5;10;1;3;0;0;0
242;0.0240697219635332;0.031430376569828;0;0;0;0;0;0;0;8;3;9
243;-0.0102042854090417;-0.008184041704980159;1;4;4;4;2;2;3;0;0;0
244;0.000841660155453138;-0.0157241290402545;0;0;4;1;3;6;3;3;0;0
245;0.0126317200847682;-0.00246284424464827;0;1;0;0;0;1;0;7;4;7
246;0.00759388314943646;-0.0108216331361308;0;0;0;1;5;5;3;1;4;1
247;-0.0006955413551042331;-0.0158316950966436;0;1;1;1;7;7;3;0;0;0
248;-0.0170943676701612;0.0063002224396504795;3;7;7;2;1;0;0;0;0;0
249;5.33911316375216e-05;-0.0158260134806357;0;2;2;4;3;6;1;0;0;2
250;-0.0036799731305522205;-0.0149724846328218;1;2;2;4;2;5;1;0;3;0
251;-0.0145902840352913;0.00016690024671246398;0;7;6;4;1;1;1;0;0;0
252;0.000390815715801821;-0.0157944413508911;0;0;3;4;2;7;1;1;2;0
253;0.016893314869485;0.0077446218083953204;0;0;0;0;1;3;1;7;3;5
254;-0.0188860006232829;0.0112976603995706;7;6;7;0;0;0;0;0;0;0
255;-0.00823516392392379;-0.010942806075217;1;7;7;2;1;2;0;0;0;0
256;0.007230118853050159;-0.0112696752776696;0;1;2;4;6;1;4;1;1;0
257;-0.0198022965136603;0.0140498871044266;1;9;9;0;1;0;0;0;0;0
258;0.004171887145086779;-0.0142081544941276;0;1;1;2;3;4;2;2;3;2
259;0.0008094886977630981;-0.0157302124551693;0;2;2;2;6;3;4;0;1;0
260;-0.0102815735339075;-0.008063241947850259;0;8;7;1;2;2;0;0;0;0
261;0.0128418907376074;-0.00202683158496477;0;0;0;2;0;3;4;3;6;2
262;0.0204474863756;0.0184562368919372;0;0;0;0;0;0;0;8;3;9
263;8.322240616719358e-05;-0.0158239484722089;0;0;4;3;6;2;4;0;1;0
264;0.00913866362515189;-0.00868560685051323;0;0;0;0;1;3;1;8;3;4
265;-0.0080995776012764;-0.011110178159601001;0;10;3;2;1;3;1;0;0;0
266;0.0072180169581812295;-0.0112842209561271;0;1;0;2;4;5;1;1;2;4
267;-0.00102605784778375;-0.0158059648391447;0;2;4;3;4;3;3;1;0;0
268;0.000167042929592738;-0.0158173921891651;0;0;2;5;5;4;2;1;1;0
269;-0.0228230838926401;0.0240645571537023;5;10;5;0;0;0;0;0;0;0
270;-0.00217157668521921;-0.015582964292758003;0;1;2;4;7;1;3;0;2;0
271;0.0139689823162008;0.00043068442968563;0;0;0;0;0;2;0;8;1;9
272;-0.00348321378438592;-0.0150725432191143;0;2;7;4;0;4;2;1;0;0
273;0.00214446309499772;-0.0153401246439947;0;1;0;4;1;4;4;3;1;2
274;0.0197470208896216;0.0161869552630619;0;0;0;0;0;0;0;8;6;6
275;-0.0241537681393902;0.0289344044829812;0;10;9;0;1;0;0;0;0;0
276;-0.0040000858200361;-0.0147966014085667;1;3;4;2;5;4;1;0;0;0
277;0.00575960583984235;-0.0128673956168798;0;0;1;2;0;8;2;3;2;2
278;0.0117337680181339;-0.00424694977885881;0;0;1;0;0;2;0;7;3;7
279;0.00840338181521226;-0.00974941770084602;0;0;1;1;3;6;5;3;0;1
