site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
1;-0.011763331666725;0.00469536812089255;1;3;8;2;5;4;1;4;4;3;1;1;1;0;1;0;0;1;0;0
2;0.0035575163664423397;-0.0103314323433633;0;0;0;2;1;1;1;3;3;2;3;5;7;5;5;1;0;1;0;0
3;0.0103282705282887;0.000627120108289149;0;0;0;0;0;0;0;2;1;1;1;3;3;5;3;5;6;3;4;3
4;0.0128121979524049;0.00735217474153133;0;0;0;0;0;0;0;1;0;0;1;1;4;3;6;7;5;2;6;4
5;-0.0105427234928657;0.0014731385635911901;3;2;5;8;1;4;2;4;6;2;0;2;1;0;0;0;0;0;0;0
6;-0.00926603209024064;-0.00152200628560635;2;2;9;8;4;4;3;2;2;1;1;1;0;0;1;0;0;0;0;0
7;0.00340223221193937;-0.0104562168538529;0;0;0;0;1;1;1;2;5;3;2;4;4;3;7;4;0;1;2;0
8;0.0129273355248097;0.00769911148843583;0;0;0;0;0;0;1;1;1;0;0;2;4;5;5;6;5;5;4;1
9;0.00695280367110454;-0.00618459142717711;0;0;0;0;0;0;1;0;2;1;5;1;5;3;4;4;4;4;3;3
10;0.0144725896036071;0.012657213652652;0;0;0;0;0;0;0;0;0;1;0;1;3;1;3;2;14;1;7;7
11;-0.000869224359983796;-0.0116639002934768;0;0;2;0;1;1;4;2;4;6;3;7;2;3;4;0;0;1;0;0
12;0.0129806936346164;0.007860949942038741;0;0;0;0;0;0;1;0;0;0;3;5;3;1;2;6;2;7;8;2
13;-0.00992616629294908;-2.12068442155165e-05;3;2;5;6;1;4;2;5;5;4;1;0;1;0;1;0;0;0;0;0
14;0.00260836201801464;-0.0110055033564011;0;0;0;0;0;1;1;4;1;1;3;1;7;8;6;0;2;3;1;1
15;0.0128078108126773;0.00733901694963885;0;0;0;0;0;0;0;0;0;0;1;2;1;6;5;11;6;2;4;2
16;-0.00661844784108708;-0.00651081427855543;2;3;4;4;4;5;2;4;2;2;1;2;1;1;2;1;0;0;0;0
17;-0.0133262921001882;0.00933325514886655;1;3;9;11;3;4;2;3;0;3;0;0;1;0;0;0;0;0;0;0
18;-0.0046790617050565895;-0.00911847257326559;1;2;4;7;2;5;5;2;3;3;2;1;2;0;0;1;0;0;0;0
19;-0.0157617916001533;0.0177061032665864;1;6;6;9;2;9;2;0;4;0;1;0;0;0;0;0;0;0;0;0
20;0.014486607020456002;0.0127047616474642;0;0;0;0;0;0;1;0;2;0;1;2;0;2;0;5;12;3;10;2
21;-0.00649345560244614;-0.00670556001501647;0;2;5;9;5;4;2;2;5;0;4;2;0;0;0;0;0;0;0;0
22;-0.0117504317590418;0.00465948114578476;1;1;8;9;4;2;3;5;2;3;1;1;0;0;0;0;0;0;0;0
23;-0.0147641169747012;0.0141074788902412;4;5;11;8;2;5;0;2;1;1;0;1;0;0;0;0;0;0;0;0
24;-0.0167729519751568;0.0215923703384171;6;1;13;11;2;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0
25;-0.0051929259453100205;-0.0085137309924506;0;2;2;0;4;4;7;5;7;2;0;2;1;1;1;2;0;0;0;0
26;0.00246973288473135;-0.0110862119773657;0;0;2;0;1;1;2;3;4;4;2;5;2;4;0;2;4;2;1;1
27;-0.00454060068237082;-0.00927079321576753;0;1;2;1;1;5;8;7;6;2;1;1;2;1;0;2;0;0;0;0
28;-0.0133339785384412;0.009357484164078;5;3;9;9;4;4;2;1;3;0;0;0;0;0;0;0;0;0;0;0
29;0.0164919079159935;0.0199833229718762;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;1;15;0;18;2
30;0.00199564723347086;-0.0113280422472935;0;2;0;0;2;1;2;3;2;3;4;4;5;5;3;4;0;0;0;0
31;-0.00812382758176475;-0.0038765595379632797;1;3;1;2;2;6;4;8;4;1;3;1;0;3;0;0;0;1;0;0
32;0.00880959464512811;-0.00276936456236718;0;0;0;0;0;1;1;0;1;2;1;7;3;3;4;6;7;2;1;1
33;0.00498419985964135;-0.008919409329713121;0;0;0;1;0;1;0;0;3;1;4;2;1;3;8;5;8;2;1;0
34;0.000716625394338742;-0.0117166421757505;1;1;2;0;0;1;0;4;7;3;4;5;7;1;4;0;0;0;0;0
35;0.0064388970052648604;-0.00698648015628038;0;0;0;0;2;0;0;1;0;0;0;6;5;4;5;4;3;2;4;4
36;-0.0165720487004068;0.0208010707520967;2;5;12;7;6;3;2;2;0;0;1;0;0;0;0;0;0;0;0;0
37;0.0128458403942692;0.0074532247879624;0;0;0;0;0;0;0;0;0;2;2;2;2;4;7;6;5;6;3;1
38;0.0118173706322338;0.00448444869056775;0;0;0;0;0;0;0;1;0;0;0;2;3;7;4;3;5;10;4;1
39;0.00279118516899593;-0.0108921505698425;0;0;1;0;0;2;1;2;4;4;1;7;3;2;2;4;2;2;1;2
40;-0.000714082406842247;-0.0116951763414388;0;0;2;1;0;2;0;4;5;2;1;4;10;1;6;1;1;0;0;0
41;-0.0073011725652822;-0.00538220242942774;0;2;1;6;1;7;5;4;8;2;1;2;1;0;0;0;0;0;0;0
42;0.00743529014791807;-0.005375164989813029;0;0;0;0;0;0;0;2;3;2;2;3;4;4;3;7;1;3;5;1
43;-0.008401921507877441;-0.0033315679827343896;3;2;4;7;3;4;9;4;3;0;0;1;0;0;0;0;0;0;0;0
44;-0.007900998395259779;-0.00430011326340144;3;2;3;3;3;8;4;3;3;0;2;3;2;0;0;1;0;0;0;0
45;0.0116640258880741;0.00406312757673105;0;0;0;0;0;0;0;0;0;1;2;2;2;4;1;3;12;4;9;0
46;0.0165506125085808;0.020210657293492;0;0;0;0;0;0;0;0;0;1;0;0;2;0;9;2;7;1;12;6
47;0.0127885523623781;0.00728131110180837;0;0;0;0;0;0;0;1;0;0;1;2;0;6;7;3;2;3;9;6
48;0.00864928677010542;-0.0030962205735934898;0;0;0;0;0;1;0;1;1;0;1;3;5;4;4;4;7;1;5;3
49;0.0148785424504094;0.0140529529875625;0;0;0;0;0;0;0;0;0;0;1;1;2;1;3;2;10;5;11;4
50;0.0147237738487308;0.013516256410463001;0;0;0;0;0;0;0;1;0;0;0;0;4;3;3;2;11;4;9;3
51;0.0115051596634703;0.0036324719237392296;0;0;0;0;0;0;0;2;2;0;2;2;4;0;2;10;7;3;5;1
52;0.00302673459271435;-0.0107345116038824;0;1;0;0;3;0;1;3;0;1;2;7;7;2;3;2;3;2;3;0
53;0.00030832913277148996;-0.0117596334552959;0;0;0;1;1;2;1;7;7;2;2;1;5;4;4;1;0;0;2;0
54;0.0149547506232209;0.0143192938816497;0;0;0;0;0;0;0;0;0;3;0;1;1;3;5;2;9;3;10;3
55;0.0140066898053108;0.0111031592799699;0;0;0;0;0;0;0;0;0;0;1;2;3;1;6;5;8;3;11;0
56;0.00144810416967935;-0.0115415251288871;0;0;0;1;1;5;0;1;7;6;3;3;3;2;1;2;5;0;0;0
57;-0.0012683297612929802;-0.0115574151291424;0;1;0;3;1;2;4;6;4;1;5;1;6;3;1;1;1;0;0;0
58;0.0147754676998697;0.0136948900773412;0;0;0;0;0;0;0;0;1;0;0;0;2;2;4;5;12;0;9;5
59;0.00175443542813682;-0.0114307829541312;0;0;0;0;0;1;5;2;4;2;2;3;5;4;4;2;2;3;1;0
60;-0.0025410694616849303;-0.0109674740473622;0;0;1;0;1;3;2;2;10;9;4;2;3;1;0;1;0;1;0;0
61;0.00520878698939708;-0.00865349496768961;0;0;0;0;0;2;2;1;1;2;3;4;6;4;9;2;3;1;0;0
62;-0.00891531581226772;-0.00227763803651068;3;4;5;2;2;9;4;1;5;3;0;0;0;1;0;1;0;0;0;0
63;-0.010181543106371;0.0005868954569772269;2;3;6;7;2;3;3;3;1;8;1;0;1;0;0;0;0;0;0;0
64;0.004786971803739429;-0.00914314149334821;0;0;0;0;0;0;3;0;2;1;5;3;8;1;4;8;2;0;2;1
65;-0.011422593856691001;0.0037605940692113297;1;4;9;5;6;6;0;1;5;1;0;0;0;1;0;1;0;0;0;0
66;0.00412574679697203;-0.00982643594102425;0;0;0;0;0;0;1;1;2;2;7;5;4;4;8;1;1;1;2;1
67;-0.0103818342360165;0.0010745664151574801;0;6;8;6;3;5;4;2;2;0;2;1;1;0;0;0;0;0;0;0
68;-0.0009149489216814289;-0.0116536017283195;0;1;0;0;2;2;1;2;9;1;4;5;4;2;4;1;2;0;0;0
69;0.00363617295419283;-0.0102660597615605;1;0;0;0;0;0;1;2;0;1;7;3;3;5;4;2;7;2;0;2
70;-0.000403927093267545;-0.0117407223334578;0;0;3;2;1;0;1;8;5;2;4;4;3;2;2;1;1;0;0;1
71;-0.0113777629587632;0.0036396395972468705;5;3;5;4;2;9;4;0;3;2;2;0;0;1;0;0;0;0;0;0
72;0.0101656615222484;0.00023750342616340499;0;0;0;0;0;0;0;2;0;0;2;1;5;3;6;3;3;6;8;1
73;-0.00585889974156001;-0.00763752804403182;4;1;1;3;3;4;3;4;6;3;3;3;0;1;0;0;0;1;0;0
74;-0.0054825036990826395;-0.00814556627553928;2;0;4;3;5;2;6;3;6;3;0;2;1;1;1;0;1;0;0;0
75;0.00212788647774163;-0.0112659061636704;0;0;1;1;1;2;1;0;3;3;3;4;10;1;4;2;1;3;0;0
76;-5.72214358241991e-05;-0.0117648398924743;0;1;0;1;2;1;2;5;5;1;3;4;4;1;7;1;0;1;1;0
77;0.0157167215672881;0.0170574619782753;0;0;0;0;0;0;0;0;1;1;1;0;0;3;5;5;11;4;7;2
78;0.0154983692730047;0.0162588392925204;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;5;12;3;8;6
79;0.0130533410446795;0.008082371104549171;0;0;0;0;0;0;0;0;0;1;2;2;7;3;5;7;5;2;5;1
80;0.0104207966973712;0.000851593526850837;0;0;0;0;0;0;1;1;1;2;2;3;2;2;1;6;7;4;5;3
81;-0.0134912039787125;0.00985613736303662;2;5;8;10;3;5;2;1;0;2;1;1;0;0;0;0;0;0;0;0
82;0.00424629850930535;-0.00970952966031197;0;0;0;0;0;0;1;2;4;2;3;3;8;2;6;6;1;0;0;2
83;-0.0140717145519178;0.0117476635147143;3;7;9;6;3;7;1;1;2;0;0;0;1;0;0;0;0;0;0;0
84;-0.0118394540664081;0.00490793462527911;3;4;5;7;5;4;2;3;5;1;1;0;0;0;0;0;0;0;0;0
85;0.0042724942442708205;-0.00968367376562222;1;1;0;0;3;0;1;2;2;1;2;3;8;1;4;3;2;4;2;0
86;-0.00854327376649867;-0.00304757834532539;1;1;5;4;5;4;2;9;4;1;0;1;1;0;0;2;0;0;0;0
87;0.00844826461861059;-0.0034975436641216;0;0;1;0;0;1;0;0;0;4;2;1;4;8;5;4;4;3;1;2
88;0.0136243681597685;0.00986604470568115;0;0;0;0;0;0;0;0;0;0;0;1;5;5;5;4;6;1;8;5
89;-0.00983840310511759;-0.00022664484642336298;0;3;6;6;4;6;3;4;3;0;2;2;1;0;0;0;0;0;0;0
90;0.01280170118154;0.007320700653439529;0;0;0;0;0;0;0;0;0;1;1;0;2;5;2;6;10;5;8;0
91;0.00910614321270328;-0.0021487830336286303;0;0;0;0;0;0;0;1;1;2;1;3;9;5;3;5;4;4;0;2
