site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05
1;0.0293841804848221;0.0242292663002678;0;0;0;4;6
2;0.0107010630175184;-0.016961056885275;0;3;1;4;2
3;0.021757171063766005;0.0026276420697406103;0;0;0;5;5
4;-0.0016046381597162901;-0.0224454559375977;0;7;3;0;0
5;0.00612706126091514;-0.0210069896786371;0;4;4;2;0
6;-0.00155169331697145;-0.0224586824709152;0;2;6;2;0
7;0.0109061796152755;-0.0167239781018124;0;1;1;6;2
8;0.0217834512395808;0.00269073597126962;0;0;1;4;5
9;-0.0200565023733184;0.0015455828200805698;4;0;6;0;0
10;0.00940151511049547;-0.0183521137517886;0;0;1;6;3
11;-0.0208630964465654;0.00347604767836047;8;0;2;0;0
12;-0.018692502374327;-0.0015508954355187901;0;6;4;0;0
13;0.0293636166130075;0.0241621455313076;0;0;0;4;6
14;0.02606506243774;0.0140170700146914;0;0;0;3;7
15;0.0317784764340685;0.032372476522172;0;0;0;4;6
16;-0.0275945383573447;0.0224670015877062;9;0;1;0;0
17;-0.0327150133501726;0.0403578147422496;0;8;2;0;0
18;0.0194369225168139;-0.00263380587585416;0;0;1;5;4
19;-0.000847349869675166;-0.0226043629969429;0;2;5;3;0
20;-0.0106781488243835;-0.0154782936631594;0;8;2;0;0
21;0.0163786703103153;-0.008635092343008379;0;1;0;5;4
22;-0.00988201942436857;-0.0164636646309273;0;2;7;1;0
23;0.0114087698176522;-0.0161228824007791;0;0;1;7;2
24;0.0245143918102456;0.00967463582507158;0;0;0;5;5
25;-0.0042746008886042;-0.0213657865987621;0;0;6;4;0
26;0.0320254438332422;0.0332494607746593;0;0;0;3;7
27;-0.025350924188005;0.0155657085845783;9;0;1;0;0
28;9.68617242963116e-06;-0.0227056680014405;0;3;4;3;0
29;0.00242589515392532;-0.0225423477912907;0;1;5;3;1
30;-0.0316965638881149;0.0365622405724484;0;9;1;0;0
31;-0.0170667365662294;-0.00496571710212067;0;7;3;0;0
32;0.0176270709105746;-0.00631357419440908;0;0;2;4;4
33;-0.0220271174622603;0.00639216548979518;0;9;1;0;0
34;-0.0030028236287203;-0.021980996954176997;0;4;4;2;0
35;0.00346391270062696;-0.0222686599165006;0;2;4;3;1
36;0.0182768313300628;-0.0050352756882880295;0;0;0;5;5
37;-0.0155738862952944;-0.00783709291967811;0;7;2;1;0
38;0.00918655890168588;-0.0185637271760439;0;0;2;6;2
39;0.0039307170887685604;-0.0221057071735185;0;0;5;4;1
40;0.010001289748149;-0.0177339289509133;0;0;4;5;1
41;-0.0275933730547347;0.0224632688224073;9;0;1;0;0
42;-0.00359880192083583;-0.0217155597684772;1;2;6;1;0
43;0.020435055177016003;-0.000445324168574905;0;0;0;5;5
44;-0.0213364551916794;0.0046433536207946;0;7;3;0;0
45;0.017650118655818;-0.00626905137931896;0;1;0;7;2
46;-0.0143830404133739;-0.009946182512560171;0;7;3;0;0
47;0.0329218188869086;0.0364906733389606;0;0;0;6;4
48;-0.00705629098900455;-0.0193801453369371;0;6;3;1;0
49;-0.00571851134720614;-0.0204447308498344;1;2;4;3;0
50;-0.0159409704796325;-0.00715449355548218;0;6;4;0;0
51;0.0306122131724772;0.0283246172783036;0;0;0;5;5
52;0.0236948425313717;0.00748986554699828;0;0;1;6;3
53;-0.0282616401104764;0.0246292056697349;9;0;1;0;0
54;0.00878475577791817;-0.0189452152194072;0;1;0;5;4
55;0.0347642434375168;0.0434391420724902;0;0;0;4;6
56;0.0284603243528852;0.0212611557654117;0;0;0;5;5
57;0.0136429087941213;-0.0131038028799093;0;0;4;6;0
58;-0.0141227065215328;-0.010385811665070998;0;5;4;1;0
59;-0.0196255256580407;0.000544378201658986;0;6;4;0;0
60;-0.0148496756862519;-0.00913891409285893;0;7;3;0;0
61;-0.0138191156664723;-0.0108887715299769;0;4;6;0;0
62;-0.0175695009261137;-0.00394173968914155;0;7;3;0;0
63;-0.0248968629431133;0.0142385580962411;6;1;3;0;0
64;0.0113777363744278;-0.016160828927923;0;0;3;5;2
65;-0.0130606820987331;-0.0120995499075371;0;5;3;2;0
66;-0.0322085885292248;0.03845574378631201;0;7;3;0;0
67;0.004393635043279121;-0.0219196813863074;0;1;3;5;1
68;0.0135694333743817;-0.0132121044568493;0;0;3;5;2
69;0.0259659880733629;0.0137314628928067;0;0;1;2;7
70;0.0288394875449041;0.0224675859111289;0;0;0;6;4
71;-0.0251000747411521;0.0148296211172863;10;0;0;0;0
72;-0.0268577561694059;0.020137662562200002;9;0;1;0;0
73;-0.0294762211955889;0.0286956228945938;0;8;2;0;0
74;-0.0139153439802337;-0.0107304824455355;0;7;3;0;0
75;0.0305121211552006;0.0279844132898995;0;0;0;5;5
76;-0.019412123468836997;5.64277966354129e-05;0;7;2;1;0
77;0.0006929311740050821;-0.0227266940068685;0;2;8;0;0
78;-0.0326124544590305;0.0399702647300644;10;0;0;0;0
79;-0.0128261926207739;-0.012460677550259;1;5;3;1;0
80;-0.0123876773024919;-0.0131192651287003;0;3;7;0;0
81;-0.00399426475089863;-0.0215171729620906;0;2;5;3;0
82;-0.0277010449093667;0.0228088205265388;9;0;1;0;0
83;0.00559242468451607;-0.0213248690596243;0;1;1;4;4
84;0.0270516127272862;0.0169218467519716;0;0;0;4;6
85;-0.0144385267551958;-0.00985148733271191;0;7;3;0;0
86;-0.0287184073596571;0.0261388143067388;10;0;0;0;0
87;0.0346549640994852;0.043016258375046;0;0;0;5;5
88;0.0352291672127043;0.045253434110755;0;0;0;3;7
89;-0.012469303789808997;-0.0129983273461736;0;8;1;1;0
90;-0.0172369882075731;-0.0046221798894294204;0;6;4;0;0
91;-0.00977506286407346;-0.0165905622396679;5;0;4;1;0
92;-0.00205525137408531;-0.0223200050302665;0;3;7;0;0
93;0.0137985729353965;-0.0128723318104981;0;0;2;3;5
94;0.0221821764495438;0.0036576213543118795;0;0;2;4;4
95;-0.0179399740746875;-0.00316883577333658;0;6;4;0;0
96;0.00011337215717717199;-0.0227122697860423;0;5;4;1;0
97;0.00745858045254245;-0.0200742623857897;0;0;5;4;1
98;0.0203831451948289;-0.000561928831203319;0;0;0;6;4
99;0.0220424371235001;0.00331670737437815;0;0;0;6;4
100;-0.00341373891979655;-0.0218022997585252;0;1;7;2;0
101;-0.0133983091733833;-0.0115686199207667;1;4;5;0;0
102;0.0011135757070147802;-0.0227132814374441;0;1;6;3;0
103;-0.0172218313981374;-0.00465289704069226;0;6;4;0;0
104;-0.00219490120429949;-0.0222764475209322;0;3;5;2;0
105;-0.0138662846266996;-0.0108113131253147;0;7;1;2;0
106;0.0193476206136047;-0.00282409488250765;0;0;0;7;3
107;-0.0281885186562669;0.0243897397355762;0;8;2;0;0
108;-0.0317837169790097;0.0368824369955865;9;0;1;0;0
109;0.0276757191696452;0.018816510727282;0;0;0;5;5
110;0.0204128753380284;-0.000495183858558733;0;0;0;5;5
111;0.0156546602705348;-0.00990039763008794;0;0;0;6;4
112;0.0286870311192011;0.0219805346812889;0;0;0;6;4
113;0.028390740441035;0.0210415245188774;0;0;0;3;7
114;0.0276159208928257;0.0186330595315114;0;0;0;4;6
115;-0.00852674618916452;-0.0179755845329526;0;2;7;1;0
116;-0.0205527755243339;0.0027245983262020397;0;7;3;0;0
117;-0.0207938097549911;0.00330732037878739;0;10;0;0;0
118;-0.0241939799857982;0.0122302994286271;0;9;1;0;0
119;-0.00447147493807085;-0.0212541383553049;0;7;3;0;0
120;0.0245101754377775;0.0096632006029739;0;0;0;5;5
121;0.02662002686091;0.015637499470734;0;0;0;6;4
122;-0.0096573513893763;-0.0167287187751552;1;3;6;0;0
123;0.0162902883365145;-0.00879274057969115;0;0;1;6;3
124;0.0186196501072453;-0.00434152036776295;0;0;1;5;4
125;0.0320519209607091;0.0333438923396052;0;0;0;5;5
126;0.00993119434466284;-0.0178082834238369;0;2;3;2;3
127;0.0011470024073421;-0.0227113540551408;0;1;4;5;0
128;-0.0322592703008051;0.0386447873565757;0;9;1;0;0
129;0.0281808512712769;0.0203823702320085;0;0;0;5;5
130;-0.0177463431005296;-0.0035747443131511204;0;7;3;0;0
131;-0.029572727328992;0.0290259074492331;9;0;0;1;0
132;0.00432860823153554;-0.0219472813697294;0;1;4;4;1
133;0.0355701739994727;0.0465997594619513;0;0;1;5;4
134;-0.0324565550930701;0.0393834386423892;9;0;1;0;0
135;0.0253144117257081;0.0118808907815442;0;0;0;4;6
136;0.0331873200384037;0.0374682119742972;0;0;0;4;6
137;0.006712589894480671;-0.0206216214883607;0;1;5;2;2
138;0.0328653928308733;0.0362839514750634;0;0;0;4;6
139;0.0032017208779262897;-0.0223493368128062;0;1;3;5;1
140;-0.0049119674722995;-0.020988396508315;0;5;3;2;0
141;-0.0268105346898052;0.0199904731670409;9;0;1;0;0
142;0.0208377964142848;0.000469741400616979;0;0;1;6;3
143;-0.00342395826784842;-0.0217976113195132;0;3;5;2;0
144;0.0268583735114778;0.0163441758820331;0;0;1;4;5
145;-0.0165645642138141;-0.0059598435137326;0;7;3;0;0
146;-0.0309012349723501;0.0336800784430501;9;0;1;0;0
147;0.0208800245676394;0.000566754274919943;0;0;0;6;4
148;0.0224262087824861;0.00425828893070606;0;0;1;5;4
150;-0.00526079932556087;-0.0207623229676943;0;5;3;2;0
151;-0.007318319731127309;-0.0191478320997055;0;6;4;0;0
