site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
1;0.0130113948213533;-0.0025294061207436;0;0;0;0;0;6;3;0;9;2
2;0.0135937939920157;-0.0012731036125346901;0;0;0;0;0;5;4;2;6;3
3;0.0195427679832528;0.0147139591885761;0;0;0;0;0;4;2;1;8;5
4;0.0133277000433657;-0.0018539321797903102;0;0;0;0;0;4;5;4;5;2
5;0.00557676620761939;-0.0137278479179424;0;0;0;2;0;8;3;1;6;0
6;0.00134036273179787;-0.01609490824357;1;0;1;3;1;7;2;0;3;2
7;-0.00682271745840425;-0.0124386005908738;0;1;2;10;1;5;1;0;0;0
8;0.00306581075994729;-0.0154825618437257;0;0;0;1;0;6;6;0;6;1
9;0.00515627054634353;-0.0140930639382355;0;0;0;3;0;6;4;0;6;1
10;0.0154339116932885;0.00305814273339119;0;0;0;0;0;5;2;3;9;1
11;0.007708567370784191;-0.0114345737028846;0;0;0;1;0;5;5;0;7;2
12;0.00392645042451861;-0.0149964359889956;0;0;0;3;2;8;2;0;2;3
13;-0.0231667939653123;0.027400391543779996;7;0;3;10;0;0;0;0;0;0
14;-0.00436922322417602;-0.0146748132791216;1;1;0;8;2;8;0;0;0;0
15;-0.0170069230181698;0.0072925872989542204;8;1;0;10;0;1;0;0;0;0
16;-0.0132534282714826;-0.00193915857690556;2;0;2;7;1;7;1;0;0;0
17;-0.0156362704837295;0.00365630425118635;6;1;2;7;0;3;1;0;0;0
18;0.0168577950451291;0.00678697319330357;0;0;0;0;0;4;3;1;6;6
19;-0.0173645731267967;0.00829160049444249;7;3;2;5;1;2;0;0;0;0
20;-0.0202632316102704;0.0171546335015893;11;1;1;6;0;1;0;0;0;0
21;-0.0226928399746078;0.0256344707886718;6;4;3;7;0;0;0;0;0;0
22;0.00262913587495375;-0.0156832227538165;0;0;0;3;1;8;2;0;5;1
23;-0.0106466183135835;-0.00700457133370756;6;0;1;8;0;3;1;1;0;0
24;-0.0135672396974712;-0.00125496917907548;6;4;2;3;0;4;1;0;0;0
25;-0.000893133762619517;-0.0161696963470309;1;0;0;6;3;8;2;0;0;0
26;0.008098944987711021;-0.0109346921569735;1;0;0;0;0;8;1;1;5;4
27;0.0174444392567513;0.00841901721253069;0;0;0;0;0;5;2;1;8;4
28;0.007504780981555921;-0.0116856936715865;1;0;0;1;0;7;4;1;6;0
29;0.0118918920963659;-0.0047896229838954;0;0;0;0;0;7;0;2;7;4
30;0.0168624493475857;0.00679970155118135;0;0;0;0;0;4;5;1;9;1
31;0.000417904879012763;-0.0162239797400096;0;2;1;2;2;8;1;2;1;1
32;-0.0054542783808526;-0.0138063965646632;3;0;0;6;4;5;1;1;0;0
33;-0.0191986096442696;0.0137408925383591;7;3;3;4;2;1;0;0;0;0
34;-0.0155702611469509;0.00348888329472175;7;0;1;10;0;2;0;0;0;0
35;0.00341579970462229;-0.0152993827501003;0;1;0;3;4;3;4;2;3;0
36;-0.0149120452888485;0.0018581362541231898;6;0;3;9;1;1;0;0;0;0
37;-0.00722922094490457;-0.0119737115918773;1;0;0;8;2;4;4;1;0;0
