site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
1;-0.0149424865989653;0.01396111091027;6;3;2;16;0;8;0;1;3;0;1;0;0;0;0;0;0;0;0;0
2;-0.0101736435944744;0.00029351052935016697;2;2;5;10;5;8;1;2;3;1;1;0;0;0;0;0;0;0;0;0
3;-0.012854881937424999;0.007336915045101921;8;2;5;11;4;5;3;1;1;0;0;0;0;0;0;0;0;0;0;0
4;-0.0126856546000892;0.0068436802412756;7;1;2;9;4;8;1;2;1;3;1;1;0;0;0;0;0;0;0;0
5;-0.0112795273655652;0.0029990478033381897;4;5;7;8;7;4;1;0;2;1;0;1;0;0;0;0;0;0;0;0
6;0.0116569187367795;0.00423324679463047;0;0;0;0;0;0;0;0;1;0;0;1;2;7;4;6;7;1;4;7
7;0.0103684240498749;0.000969235242392422;0;0;0;0;0;0;0;1;0;0;0;0;4;4;6;3;6;7;1;8
8;0.00931376293056248;-0.00141939361818822;0;0;0;0;0;0;0;1;1;1;2;2;1;4;2;8;3;4;2;9
9;-0.00802631072181955;-0.004159832803158021;0;0;5;6;2;8;3;3;8;3;1;0;0;1;0;0;0;0;0;0
10;-0.010326524189587;0.0006508450345128191;2;3;0;7;5;6;3;1;4;3;4;1;0;1;0;0;0;0;0;0
11;0.0136173197204181;0.00992880128340984;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;11;2;5;11
12;-0.0008910208546292;-0.0113717255318505;1;1;3;3;1;2;4;2;4;4;2;3;4;2;4;0;0;0;0;0
13;0.0107745598608146;0.00195701398796725;0;0;0;0;0;0;0;0;0;0;0;2;5;3;4;5;6;4;6;5
14;-0.00221649909311015;-0.0109140045873224;0;0;2;0;1;3;6;1;5;5;4;3;3;1;2;1;2;0;0;1
15;-0.00379954892474356;-0.00983999184252477;0;0;0;5;1;13;1;4;7;2;2;1;3;0;1;0;0;0;0;0
16;-0.0135430557335323;0.00941026464381298;5;3;1;14;2;10;1;0;3;1;0;0;0;0;0;0;0;0;0;0
17;0.0133694600403017;0.009160078877673741;0;0;0;0;0;0;0;0;1;1;0;0;2;3;3;5;7;4;6;8
18;-0.00803892484317835;-0.00413675651551318;0;1;2;5;1;12;3;3;7;6;0;0;0;0;0;0;0;0;0;0
19;-0.00351615092025437;-0.0100744462551541;1;2;1;4;2;7;0;1;6;5;2;1;4;3;0;0;1;0;0;0
20;0.00303592997987423;-0.0103654551736944;0;0;1;0;0;1;2;1;3;3;3;5;9;6;4;1;0;0;0;1
21;-0.0106994262523101;0.0015449011548277901;5;3;2;8;1;11;1;1;4;3;0;0;0;1;0;0;0;0;0;0
22;-0.0155289077158069;0.0160014872493899;10;6;1;11;2;7;1;0;1;1;0;0;0;0;0;0;0;0;0;0
23;0.0135894237712051;0.00984158083588215;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;8;7;12;8
24;-0.0168454637074195;0.0208692196128933;13;4;3;15;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0
25;0.0088330655149446;-0.0024235621809810103;0;0;0;0;0;0;0;1;0;2;1;3;6;1;9;1;7;1;5;3
