site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05
1;0.0273037958796468;0.0175418505214632;0;1;3;6;0
2;-0.0250392892211107;0.0155444227023485;2;6;2;0;0
3;-7.04396201548975e-05;-0.0232596867945517;0;2;5;3;0
4;-0.0117318900090711;-0.0141630893551046;0;5;5;0;0
5;-0.0252772980724521;0.0162632792599159;1;6;3;0;0
6;-0.0141031534229837;-0.0103778658420042;0;5;5;0;0
7;-0.0177925928367344;-0.00318781579756523;0;4;6;0;0
8;0.0198067678071465;-0.0023004933262305103;0;0;5;5;0
9;-0.0298698458751378;0.0314245174127994;4;5;1;0;0
10;0.0005183783446034401;-0.0232994337398675;0;1;6;3;0
11;-0.0261902289924024;0.0190817155809847;1;5;4;0;0
12;-0.0157785146404916;-0.0073091613057538;0;7;3;0;0
13;0.0153156168705886;-0.0110554766487283;0;1;2;6;1
14;-0.0116197501787243;-0.0143258983456814;0;5;5;0;0
15;-0.0012557632769339198;-0.0230573539444473;0;1;6;3;0
16;-0.004193922376299029;-0.0218511027052671;0;3;5;2;0
17;0.00560254115658762;-0.0219649731614092;0;1;5;4;0
18;0.019007116741531;-0.0040310234305176;0;1;5;3;1
19;0.00357985605254511;-0.0228560654361585;0;2;6;2;0
20;0.005975697219471029;-0.0217485774699376;0;3;5;2;0
21;0.0215784951501879;0.0017987068805719398;0;0;5;5;0
22;0.018009307134519;-0.0060860668991067;0;0;4;6;0
23;-0.0226193352356076;0.0086095866746381;1;5;4;0;0
24;0.0205871665460344;-0.0005399041135874071;0;0;5;5;0
25;-0.0186027542285327;-0.00139691778159361;0;6;4;0;0
26;0.0230137119154502;0.00538705140041359;0;0;4;6;0
27;0.0105026537039436;-0.0178330831121869;0;0;3;7;0
28;0.0349136794128776;0.0443698061612939;0;0;0;2;8
29;0.00934990752270305;-0.0190563708612846;0;2;6;2;0
30;0.0177023469071067;-0.00669497190635678;0;0;4;6;0
31;0.0190602418496071;-0.00391836187410428;0;2;4;2;2
32;0.004431684706156721;-0.0225388063991959;0;2;5;3;0
33;0.0224500746754656;0.00394926493801749;0;1;3;6;0
34;-0.0139315609414643;-0.0106737319017608;0;6;4;0;0
35;-0.0195046959458502;0.000686686329619816;0;6;3;1;0
36;0.00078016472291874;-0.0233041527896921;0;0;7;3;0
37;0.0212927269464052;0.00111283252292063;0;0;4;6;0
38;0.0307874395055626;0.0289870164715485;0;0;4;6;0
39;-0.0299295496615107;0.031637771834608;3;5;2;0;0
40;0.0104878600559986;-0.0178497612486909;0;1;5;4;0
41;0.00543204363560435;-0.0220584542745044;0;1;4;5;0
42;-0.0190469596395956;-0.000382571716163815;0;6;3;1;0
43;0.0236589289212638;0.007078308550094759;0;0;3;5;2
44;0.00399281301826056;-0.0227128036147275;0;3;4;2;1
45;-0.024632716233551004;0.0143316966471697;1;5;4;0;0
46;0.0060033842693148;-0.0217318760245804;0;1;5;4;0
47;-0.03184346241145201;0.0386937413833438;4;4;2;0;0
48;-0.00970170428056724;-0.0168840929799001;0;4;5;1;0
49;-0.00771260841603175;-0.0190849998124588;0;4;5;1;0
50;0.0322752204121341;0.0343051947322896;0;0;3;7;0
51;-0.0266231567296675;0.0204521583723703;3;5;2;0;0
52;-0.0157490118589092;-0.007366024999122809;0;5;5;0;0
53;-0.0067020907854722705;-0.0200268116347721;0;4;5;1;0
54;-0.030199483560712004;0.0326071174692796;5;5;0;0;0
55;-0.0174625708916904;-0.00389545689799994;0;6;4;0;0
56;0.0182197364863704;-0.00566231360985574;0;1;4;5;0
57;-0.0194068408555428;0.0004560514236559;2;4;4;0;0
58;0.0175297294354143;-0.007032571220396621;0;0;5;4;1
59;-0.0267617281941505;0.0208954159573155;0;8;2;0;0
60;0.0101121803747422;-0.0182647642792154;0;0;4;6;0
61;0.0172733910982714;-0.00752751307154133;0;2;5;3;0
62;0.0126172166950648;-0.0151872530426523;0;2;5;2;1
63;-0.00590596031422791;-0.0206851502734555;0;3;5;2;0
64;-0.0173554925654712;-0.00412233443679941;2;5;3;0;0
65;-0.0219505367369696;0.0068131754782134;1;4;5;0;0
66;0.0180684322541124;-0.00596752370723331;0;0;5;4;1
67;0.0235096652662199;0.00668274940924124;0;0;4;4;2
68;-0.0215195128247973;0.0056830071475116;2;4;4;0;0
69;0.0197159485532798;-0.00250078036429359;0;1;4;4;1
70;0.000211863480749128;-0.0232837762300023;0;3;5;2;0
71;0.000314151139066518;-0.0232902164192924;0;2;5;3;0
72;0.0108189341431653;-0.0174704225587667;0;0;5;5;0
73;0.00746557214493138;-0.0207231375211655;0;2;3;4;1
74;0.009127096637706191;-0.0192749891452527;0;1;5;4;0
75;0.00968858980095313;-0.0187130001417112;0;3;4;3;0
76;0.0306635773536694;0.0285558737051977;0;0;2;3;5
77;-0.0329439024518459;0.0429436481002343;7;2;1;0;0
78;-0.019838645243924;0.0014821599034667;0;6;4;0;0
79;-0.0065036606432356606;-0.0201977967326473;2;4;3;1;0
80;-0.0294599538586103;0.0299716307209098;3;4;3;0;0
81;-0.0025067162874315603;-0.0226665463716834;0;4;4;2;0
82;0.0130969552723192;-0.0145145908398268;0;0;6;3;1
83;0.0235676717222268;0.00683616267634753;0;0;4;6;0
84;0.0271238640077978;0.0169890451362917;0;0;2;5;3
85;-0.0224090711218356;0.008039203453675809;3;5;2;0;0
86;0.0300254130871579;0.0263628202829601;0;0;3;5;2
87;-0.00403079811451934;-0.0219444033279769;0;3;5;2;0
88;0.0240502729023829;0.008127703403975459;0;0;3;5;2
89;0.0330726933512631;0.0372618223620043;0;0;2;6;2
90;-0.0282915799163204;0.0259375187673332;1;6;3;0;0
91;-0.0317169172109232;0.0382140544279955;5;3;2;0;0
92;0.022269764156746003;0.00349711201980236;0;0;6;4;0
93;0.0252268825727918;0.0113901096189494;0;0;3;7;0
94;0.0203127469299795;-0.00116707460473013;0;0;4;5;1
95;0.0243706891741054;0.009000169930527041;0;1;3;5;1
96;0.0293689627714574;0.0241563595333614;0;0;1;3;6
97;-0.0207666461955673;0.00376079397031539;0;5;5;0;0
98;-0.007144091943007641;-0.0196294787922741;0;5;4;1;0
99;-0.0195909902272282;0.000890997860913386;0;4;6;0;0
100;-0.0116273355289823;-0.0143149317683318;0;4;4;2;0
101;0.0255217827467954;0.0122330257185707;0;1;2;7;0
102;0.0110511307853315;-0.0171967682932518;0;2;3;5;0
103;-0.0280800490640384;0.0252241323558348;4;4;2;0;0
104;0.0118976993302598;-0.0161459284976647;0;1;6;3;0
105;-0.00435762006643545;-0.021754362201162;0;4;4;1;1
106;-0.019502260811273;0.000680933439299166;1;5;4;0;0
107;0.0193470694837532;-0.00330441947369475;0;0;4;6;0
108;-0.0030055108318962397;-0.0224599534443605;0;6;4;0;0
109;0.0270906558716919;0.0168874313522626;0;0;4;5;1
110;0.0242066904373354;0.008552123079143;0;0;3;6;1
111;0.008989127250222;-0.0194074670539594;0;0;4;6;0
112;0.0161356853402466;-0.00963195953914796;0;2;5;3;0
113;0.0282333845777501;0.0204578221811982;0;0;4;3;3
114;0.009172089679870741;-0.0192313080950395;0;1;4;5;0
115;0.0219450575678519;0.00269240476884554;0;0;4;6;0
116;-0.0213579564457715;0.00526496603256765;0;6;4;0;0
117;-0.0135983752330063;-0.0112384402279366;0;4;6;0;0
118;0.0131971880046989;-0.0143706688554231;0;1;5;4;0
119;0.0211022812669401;0.000661017733023433;0;0;4;6;0
120;0.017656318381655;-0.00678533183169759;0;0;3;5;2
121;0.0221247941701629;0.0031363231374205;0;0;3;7;0
122;0.0135820233266894;-0.0138072342466896;0;0;4;6;0
123;0.00894560166601427;-0.0194488007304239;0;0;6;4;0
124;-0.0069262496045342;-0.0198281464832172;0;4;5;1;0
125;-0.0211354165108791;0.00469409656523434;2;5;3;0;0
126;0.0321304580753338;0.0337764228755622;0;0;0;3;7
127;0.0207153454837766;-0.000243956752880036;0;1;5;4;0
128;-0.0104297384750736;-0.0159634706149409;0;4;5;1;0
129;0.0117083864028105;-0.0163881588225979;0;1;3;6;0
130;0.00125605270142678;-0.0232923119669244;1;3;4;2;0
131;0.0114325031518713;-0.0167336928362523;0;0;6;3;1
