site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10
1;0.00868797443901168;-0.00968744031996184;0;0;1;1;4;4;0;4;3;3
2;-0.0168052839862091;0.00611155621690239;0;9;11;0;0;0;0;0;0;0
3;-0.0143790756344841;0.00014778765320633998;0;9;8;3;0;0;0;0;0;0
4;0.0066311750154594;-0.0122544012006855;0;1;2;3;3;2;3;1;3;2
5;0.0214422933204376;0.021285260165582;0;0;0;0;0;0;1;6;3;10
6;0.0100981798382453;-0.00753780844959007;0;0;0;0;2;3;1;8;3;3
7;0.0130777587453744;-0.00195353091324368;0;0;0;0;0;0;4;7;6;3
8;0.0198823964574431;0.0161055470933476;0;0;0;0;1;3;3;4;4;5
9;-0.00532107926469546;-0.0138271367910556;1;1;7;2;2;3;0;2;0;2
10;0.0181490576670224;0.0108048341929393;0;0;0;0;0;0;0;9;1;10
11;0.00358548566210235;-0.01481702489576;0;0;1;1;3;6;2;3;3;1
12;0.009184223661808391;-0.008967133676971259;0;0;1;1;1;2;4;6;2;3
13;-0.0156954722081481;0.00326714034658703;1;6;10;3;0;0;0;0;0;0
14;0.00479114794623688;-0.0139793878000374;0;0;1;1;5;5;1;2;2;3
15;-0.00223542240302575;-0.0156015090330579;0;3;5;1;1;5;4;0;0;1
16;0.00932278576445883;-0.008759000498335029;0;0;1;2;1;4;2;9;0;1
17;0.0172356866449825;0.00820431673802428;0;0;0;0;0;0;2;8;1;9
18;0.00413664214590562;-0.014462856244478;0;1;0;2;1;5;6;3;0;2
19;0.0013722282500718;-0.0157516432763266;1;0;1;2;2;5;7;1;1;0
20;-0.0205825392186742;0.0172636994082709;2;8;9;1;0;0;0;0;0;0
21;0.0238421929502396;0.030011593903371003;0;0;0;0;0;2;0;8;0;10
22;-0.00576677773670314;-0.0134454093536744;1;2;5;4;4;1;2;0;0;1
23;0.0118084365035518;-0.0045054809363435;0;0;0;0;1;1;2;6;4;6
24;-0.007928255951259079;-0.0111450580457372;2;5;7;3;2;0;1;0;0;0
25;0.020247424559511003;0.0172828807523331;0;0;0;0;0;0;2;8;1;9
26;0.020444653087336003;0.0179278441501289;0;0;0;0;0;0;1;8;0;11
27;0.009900169347910921;-0.0078587726516207;0;0;0;0;0;0;1;12;1;6
28;-0.0200023329360784;0.0154028414275421;4;7;8;1;0;0;0;0;0;0
29;0.00760047249822227;-0.0111286900433573;0;0;0;0;1;3;3;6;3;4
30;-0.00784021218196081;-0.011253307112912999;2;3;4;5;2;2;2;0;0;0
31;-0.0090695756912136;-0.00962999529078575;1;7;6;4;1;1;0;0;0;0
32;-0.0012063069288539901;-0.0158558157229889;0;2;8;2;2;3;1;1;0;1
33;-0.00234718247688772;-0.0155637303281734;1;2;5;2;0;4;3;1;2;0
34;-0.0109808986032096;-0.006627792379277271;2;6;7;3;0;0;2;0;0;0
35;-0.00941591191049781;-0.0091291846621265;0;8;6;3;1;1;1;0;0;0
36;-0.0152601742386605;0.0022050856124685198;2;7;7;1;1;2;0;0;0;0
37;0.00129573915640676;-0.0157699853953328;0;1;0;1;6;4;2;4;1;1
38;-0.0183734540374983;0.0104654129104656;2;10;7;1;0;0;0;0;0;0
39;-0.0203302476238883;0.0164479477608371;2;5;9;2;1;1;0;0;0;0
40;-0.00495488123587612;-0.0141170799573392;0;3;4;5;1;4;2;1;0;0
41;-0.0185662041161026;0.011027612802703;1;9;9;1;0;0;0;0;0;0
42;-0.0102995985160705;-0.00776472738773105;1;6;7;4;0;1;1;0;0;0
43;-0.00594486638063429;-0.0132840284747526;0;3;8;2;3;4;0;0;0;0
44;0.00954470115355382;-0.00841928768046679;0;0;0;3;1;2;7;4;2;1
45;0.0179054085046869;0.0100981205660277;0;0;0;0;1;0;1;8;1;9
46;0.008101623495893471;-0.0104879406834534;0;0;0;0;2;3;1;6;0;8
47;0.000633436552407259;-0.0158898107954005;1;0;3;1;4;5;2;2;2;0
48;0.00536317368586389;-0.0135009308599601;0;0;1;3;0;4;6;3;2;1
49;-0.00044554647928795704;-0.0159352906365927;2;0;2;4;2;3;6;1;0;0
50;0.0228152015878773;0.0261649583207458;0;0;0;0;0;1;0;12;0;7
51;-0.00250591673125184;-0.0155066509110421;0;5;1;1;6;3;3;1;0;0
52;0.0160821440144458;0.00511000589802286;0;0;0;0;0;1;1;8;0;10
53;0.0119362847950553;-0.0042600745278700706;0;0;0;0;0;0;2;9;2;7
54;0.0132107075300779;-0.00167138216248321;0;0;0;0;1;3;2;7;0;7
55;0.000157147885916696;-0.0159327636455431;1;2;3;5;3;3;2;1;0;0
56;0.00195195310283155;-0.0155823071380324;0;1;4;1;3;4;3;2;1;1
57;-0.0119542023193254;-0.00487522627587885;3;6;5;2;2;2;0;0;0;0
58;-0.0219129591597166;0.0217332485604234;6;3;8;2;1;0;0;0;0;0
59;-0.012754060242643;-0.00332194334692077;1;9;7;2;1;0;0;0;0;0
60;-0.0121079672896433;-0.0045845400334532105;1;10;8;1;0;0;0;0;0;0
61;0.0188739557120016;0.0129633821449945;0;0;0;0;0;0;1;11;0;8
62;-0.00544141452027676;-0.0137271935087966;0;4;8;4;0;3;0;1;0;0
63;0.00917844234625431;-0.00897575124610998;0;0;0;1;2;3;2;7;1;4
64;-0.008662035913204691;-0.0101948227057181;0;3;4;2;5;4;2;0;0;0
65;0.0120468865944646;-0.00404567118125858;0;0;0;0;1;1;6;6;3;3
66;0.0229074814116146;0.0265037218493688;0;0;0;0;1;0;1;6;2;10
67;0.010558522575483;-0.006767464969126721;0;0;0;0;2;1;2;10;2;3
68;-0.0218362168055294;0.0214677649570415;1;10;9;0;0;0;0;0;0;0
69;-0.0154099058168926;0.00256699816626569;1;10;8;0;1;0;0;0;0;0
70;0.0106832062060224;-0.00655300456170132;0;1;0;1;1;3;2;4;3;5
71;0.0027987294958536;-0.0152387001280811;0;0;1;0;3;7;5;3;1;0
72;0.0149666552634019;0.00231948674208005;0;0;0;0;0;0;0;8;1;11
73;-0.0234178648921211;0.0271290336479976;2;10;8;0;0;0;0;0;0;0
