site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05;sp_06;sp_07;sp_08;sp_09;sp_10;sp_11;sp_12;sp_13;sp_14;sp_15;sp_16;sp_17;sp_18;sp_19;sp_20
1;0.009204507198166791;-0.0021282578205252803;0;0;0;0;0;0;1;2;2;1;3;2;4;3;5;4;6;1;3;3
2;-0.0144765215800128;0.012834664912284998;3;6;10;10;2;4;2;1;1;0;0;0;1;0;0;0;0;0;0;0
3;-0.000626178786468376;-0.0110178780612259;0;0;2;4;1;3;4;3;4;5;4;3;2;2;1;0;2;0;0;0
4;-0.00879649241994636;-0.0020942840797105898;3;1;6;9;3;7;1;1;5;1;1;2;0;0;0;0;0;0;0;0
5;0.0178317018861047;0.0233341708525254;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;10;4;14;7
6;-0.0150747017972702;0.0148233936895011;2;8;12;6;4;4;1;1;0;2;0;0;0;0;0;0;0;0;0;0
7;-0.00937512695158751;-0.000900831338072357;2;5;4;9;1;9;6;0;2;1;1;0;0;0;0;0;0;0;0;0
8;-0.0034656643969495;-0.00959540559747385;1;0;0;2;1;3;6;8;6;5;1;4;1;0;0;1;0;0;1;0
9;0.0098306287718947;-0.000835927268932038;0;0;0;0;0;1;1;0;1;1;1;3;10;3;6;5;3;3;1;1
10;0.0117304954021212;0.0036177008669659796;0;0;0;0;0;0;0;0;0;0;2;1;4;2;4;2;14;2;8;1
11;0.00814476246360546;-0.00411744901184445;0;0;0;0;1;0;0;1;2;3;1;6;5;5;6;2;1;1;4;2
12;-0.0135615510277887;0.00994627700942056;2;8;9;10;6;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0
13;-0.0138937503837934;0.0109734956241301;2;3;14;11;3;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0
14;0.0156277235204187;0.0152592215507083;0;0;0;0;0;0;0;0;0;0;0;1;0;3;5;1;9;3;15;3
15;0.00224993175977108;-0.010635502674389999;0;0;0;0;1;1;3;2;4;7;2;7;2;3;2;2;0;3;1;0
