site;enviro;enviro2;sp_01;sp_02;sp_03;sp_04;sp_05
1;-0.025176373703328;0.0113668465851061;4;6;0;0;0
2;0.0213746495923195;0.00376166435552721;0;0;0;6;4
3;-0.0198412743340681;-0.00105152366442583;1;4;5;0;0
4;0.018837958060963;-0.00168683331225203;0;0;0;5;5
5;0.00396729256825591;-0.0200341572133548;0;2;0;5;3
6;0.009517727790536121;-0.0159025469473465;0;0;1;5;4
7;-0.0249064355037104;0.0106667209110474;6;4;0;0;0
8;-0.000602651466905553;-0.021007289852058998;0;2;6;1;1
9;0.0151627727835293;-0.00838185208350819;0;0;2;4;4
10;0.00907219445774307;-0.0163536230729146;0;1;1;4;4
11;0.0345897875593856;0.0430770188471579;0;0;0;6;4
12;-0.0104402085299357;-0.0156594531472681;2;3;3;2;0
13;-0.019263206908961997;-0.00221758147094389;2;6;1;1;0
14;0.0308032155087647;0.0299371210602974;0;0;0;5;5
15;0.00643844040153671;-0.0185942722286116;0;0;1;4;5
16;-0.00028604494809341;-0.0210105845385077;0;3;5;2;0
17;-0.000622128936360218;-0.0210067434224153;0;2;4;3;1
18;0.0248949135820228;0.0124424029192095;0;0;0;5;5
19;0.0277513477918487;0.0204426538932597;0;0;0;4;6
20;-0.0183729219366963;-0.00394478834775357;4;3;2;1;0
21;-0.0299384702531365;0.024976395941404998;4;5;1;0;0
22;-0.0358081546122029;0.0450282860780015;6;3;1;0;0
23;0.00263844159484055;-0.0205432876433861;0;1;2;5;2
24;-0.00817836425579772;-0.0177888090330765;1;3;4;2;0
25;0.014767729420971;-0.009017061698309679;0;0;0;5;5
26;-0.016277198124311998;-0.0076820120795665706;3;6;1;0;0
27;-0.0243420199394785;0.009227552242210491;6;2;2;0;0
28;-0.0122989191427388;-0.0135074376271285;0;5;5;0;0
29;-0.0247439425228643;0.0102489605240363;2;5;3;0;0
30;-0.000227196730020194;-0.0210100366994692;0;2;5;3;0
31;0.0106101777478222;-0.0147082781812821;0;0;0;6;4
32;-0.00644579169414317;-0.0190564850922537;0;4;5;1;0
33;-0.0024802577620925102;-0.0207714115118779;0;3;6;1;0
34;-0.0169992428951623;-0.00644650110293608;1;6;3;0;0
35;-0.0186255562520181;-0.00346312161274477;3;3;4;0;0
36;-0.0130092672448391;-0.0125891672664803;1;6;3;0;0
37;0.0128193422843191;-0.0119102072829974;0;0;0;7;3
38;0.0274578219332083;0.0195810486288196;0;0;0;6;4
39;-0.0230345080834943;0.006022132737457379;5;4;0;1;0
40;-0.0295394164522759;0.0237445171818301;5;4;1;0;0
41;0.0349486903144886;0.044400585557520994;0;0;0;5;5
42;-0.00934644907232872;-0.0167562338309379;1;4;4;1;0
43;-0.0328336037661198;0.0344144766399082;4;5;1;0;0
44;-0.0106972806664346;-0.0153834357902223;1;5;4;0;0
45;-0.00129788546893929;-0.0209631151821057;0;2;5;3;0
46;0.00628836712632439;-0.018700008033797;0;0;1;6;3
47;0.005027385855408529;-0.0194950124885281;0;1;2;5;2
48;0.0125602725151482;-0.0122648676310843;0;0;0;5;5
49;-0.0297831817697208;0.0244950327601598;3;6;1;0;0
50;0.005995323219380179;-0.0188996566619727;0;0;3;4;3
51;0.0267608647070056;0.0175714752256828;0;0;0;6;4
52;0.0055799291011884395;-0.0191672085073363;0;2;3;3;2
53;-0.0338725019275527;0.0380158817008216;6;4;0;0;0
54;-0.0192588071211095;-0.0022263219999448;2;6;2;0;0
55;0.0174752232305588;-0.004334779291211121;0;0;0;5;5
56;-0.0330821747396426;0.0352658474068881;4;6;0;0;0
57;-0.0337213968238859;0.0374850220748688;5;4;1;0;0
58;-0.00343968780643306;-0.0205079486204372;0;4;4;1;1
59;0.012643727722353998;-0.0121513890412355;0;0;0;5;5
60;0.00220841596749399;-0.0206683283402384;0;1;4;3;2
61;-0.0283265263270638;0.0201029917088636;3;5;2;0;0
62;0.0179713362256198;-0.00339335315122623;0;0;0;6;4
63;0.00221761244558528;-0.0206658574607211;0;1;2;5;2
64;-0.0159394105761649;-0.00824121084981112;0;7;2;1;0
65;-0.028099865912844;0.0194396107731796;5;2;3;0;0
66;0.0204799075719461;0.0017627244392291602;0;0;0;6;4
