"1","B","run","thpos","thneg","assoc","precision","recall","f1-score","support","group","poolsize","density","direction","grp_dir","DatasetType"
"17","15","4","0","0","1","0.4","100","0.571428571","2","F","5","Sparse","0","F_0","Sym_Fac"
"22","20","5","0","0","1","0.444444444","100","0.615384615","4","F","5","Dense","0","F_0","Sym_Fac"
"27","25","6","0","0","1","0.181818182","100","0.307692308","4","F","10","Sparse","0","F_0","Sym_Fac"
"32","35","8","0","0","1","0.384615385","100","0.555555556","10","F","10","Dense","0","F_0","Sym_Fac"
"37","45","10","0","0","1","0.06504065","100","0.122137405","8","F","20","Sparse","0","F_0","Sym_Fac"
"42","55","12","0","0","1","0.15625","100","0.27027027","20","F","20","Dense","0","F_0","Sym_Fac"
"47","66","14","0","0","'-1","0","0","0","2","C","5","Sparse","0","C_0","Sym_Comp"
"52","71","15","0","0","'-1","0.266666667","100","0.421052632","4","C","5","Dense","0","C_0","Sym_Comp"
"57","76","16","0","0","'-1","0.066666667","100","0.125","4","C","10","Sparse","0","C_0","Sym_Comp"
"62","86","18","0","0","'-1","0.160714286","90","0.272727273","10","C","10","Dense","0","C_0","Sym_Comp"
"68","96","20","0","0","'-1","0.026431718","75","0.05106383","8","C","20","Sparse","0","C_0","Sym_Comp"
"73","106","22","0","0","'-1","0.081818182","90","0.15","20","C","20","Dense","0","C_0","Sym_Comp"
"78","115","24","0","0","1","0.5","100","0.666666667","2","FC","5","Sparse","0","FC_0","Sym_FacComp"
"83","116","24","0","0","'-1","0.153846154","100","0.266666667","2","FC","5","Sparse","0","FC_0","Sym_FacComp"
"88","120","25","0","0","1","0.16","100","0.275862069","4","FC","5","Dense","0","FC_0","Sym_FacComp"
"93","121","25","0","0","'-1","0.064516129","100","0.121212121","4","FC","5","Dense","0","FC_0","Sym_FacComp"
"98","125","26","0","0","1","0.066115702","100","0.124031008","8","FC","10","Sparse","0","FC_0","Sym_FacComp"
"103","126","26","0","0","'-1","0.02811245","88","0.054474708","8","FC","10","Sparse","0","FC_0","Sym_FacComp"
"108","130","27","0","0","1","0.333333333","50","0.4","4","FC","10","Dense","0","FC_0","Sym_FacComp"
"113","131","27","0","0","'-1","0.25","75","0.375","4","FC","10","Dense","0","FC_0","Sym_FacComp"
"117","135","28","0","0","1","0.15625","50","0.238095238","10","FC","20","Sparse","0","FC_0","Sym_FacComp"
"118","136","28","0","0","'-1","0.166666667","90","0.28125","10","FC","20","Sparse","0","FC_0","Sym_FacComp"
"122","140","29","0","0","1","0.124031008","89","0.217687075","18","FC","20","Dense","0","FC_0","Sym_FacComp"
"123","141","29","0","0","'-1","0.064102564","83","0.119047619","18","FC","20","Dense","0","FC_0","Sym_FacComp"
"127","30","7","0","0","1","0.090909091","67","0.16","3","F","10","Sparse","1","F_1","Asym_Fac"
"128","40","9","0","0","1","0.222222222","29","0.25","7","F","10","Dense","1","F_1","Asym_Fac"
"132","50","11","0","0","1","0.061538462","67","0.112676056","6","F","20","Sparse","1","F_1","Asym_Fac"
"133","60","13","0","0","1","0.114285714","27","0.16","15","F","20","Dense","1","F_1","Asym_Fac"
"137","81","17","0","0","'-1","0.051724138","100","0.098360656","3","C","10","Sparse","1","C_1","Asym_Comp"
"138","91","19","0","0","'-1","0.193548387","75","0.307692308","8","C","10","Dense","1","C_1","Asym_Comp"
"142","101","21","0","0","'-1","0.026666667","57","0.050955414","7","C","20","Sparse","1","C_1","Asym_Comp"
"143","111","23","0","0","'-1","0.061068702","53","0.109589041","15","C","20","Dense","1","C_1","Asym_Comp"
