# Aspect,Form,PhysD,Slope,Snow,ZoogD
0.059528,-0.465468,0.000000,0.000000,0.000000,0.063422
-0.081922,-0.337262,-0.428161,0.000000,2.820800,-0.301192
0.136254,-0.038133,-0.017002,0.000000,-0.004859,-0.178232
-0.177010,0.210468,0.000000,4.780077,-2.690651,0.000000
0.298743,0.303503,0.056753,-1.822262,-3.573707,-0.010258
-0.147179,0.059437,2.082645,0.086572,-4.009801,0.295490
-0.000379,-0.026442,-1.640935,-1.109076,3.864037,-0.134452
0.065169,0.119144,0.000000,0.260650,-4.693768,0.211476
-0.242727,0.185310,0.000000,0.000000,-6.158343,0.421230
0.201969,-0.173048,0.000000,0.000000,-3.476246,0.477531
0.364166,-0.351783,0.000000,0.000000,-7.983545,0.129914
-0.248665,0.226113,0.000000,0.000000,-4.872618,0.216238
-0.078036,0.107942,0.000000,0.000000,-3.373035,0.773549
0.000000,-0.121571,0.523869,1.349777,-4.134929,0.237261
0.028004,0.407244,0.000000,0.000000,-4.501291,-0.263308
-0.175958,0.437948,0.000000,0.766407,0.000000,0.151819
0.160909,0.077770,0.000000,0.000000,4.565734,-0.629054
0.077582,0.164217,0.000000,1.658790,-7.992793,-0.138481
0.150842,-0.117065,-0.629849,0.000000,5.171120,-0.514604
0.165962,-0.362937,0.000000,-1.408995,-0.313184,0.394459
0.051104,0.889211,0.000000,0.000000,0.000000,-1.363105
-0.138478,-0.493738,0.000000,0.000000,0.000000,-0.127112
-0.157646,-0.483785,0.000000,0.000000,-2.341699,0.379897
0.313788,0.091141,0.000000,0.000000,-4.723861,-0.097022
-0.136083,0.062242,-2.387119,-0.144714,-1.084608,0.225801
0.141989,0.027741,-3.050941,2.705345,-5.725960,-0.141491
0.755567,0.000000,0.000000,0.000000,0.000000,0.000000
-0.089186,0.000000,0.861743,0.000000,-2.946115,0.192091
-0.097680,-0.161907,0.000000,0.000000,5.117693,-0.411351
0.146884,0.102558,0.000000,0.000000,-1.937349,0.580975
0.096117,0.069943,0.000000,0.000000,2.542272,-1.046894
0.006725,-0.124550,0.256625,0.000000,0.000000,0.093467
0.073167,0.335789,0.000000,0.000000,0.000000,-1.476034
-0.029655,-0.040616,1.770657,-1.409149,-3.305094,-0.100604
0.755560,0.000000,0.000000,0.000000,0.000000,0.000000
-0.066724,-0.041474,0.833342,0.000000,-3.274437,-0.022352
0.219433,-0.299458,0.203686,-0.975758,-0.755931,0.000469
0.363759,0.000000,0.000000,-0.809616,-4.025036,0.285529
0.213335,-0.086401,0.000000,0.000000,-1.223390,-0.020058
0.289409,0.101627,-0.641145,0.000000,0.643208,0.102472
0.000000,-0.178373,0.000000,0.000000,4.135936,-0.825118
0.141965,-0.165896,0.153592,0.000000,0.000000,-0.096848
-0.528594,-0.355364,2.761781,0.000000,0.000000,-0.044783
0.852799,-0.262536,0.000000,0.000000,0.000000,-0.384374
0.068222,0.134575,0.000000,0.000000,1.679984,-0.538527
-0.019504,-0.208049,0.685686,0.000000,-2.803215,0.223345
0.632757,-0.824504,0.000000,1.616206,-0.741517,-0.034973
0.213529,0.120312,0.000000,-0.378512,-0.778133,0.101246
-0.075737,0.107850,1.875893,0.000000,-4.195223,-0.554800
0.143122,0.000000,0.000000,0.000000,0.000000,-1.106177
-0.145569,-0.443318,0.000000,0.000000,2.711511,0.337786
0.127729,0.022366,1.106944,0.029498,-3.733008,0.251670
0.192048,-0.223903,0.000000,0.000000,0.000000,-0.083828
-0.154745,0.032087,0.000000,1.151800,-4.783519,0.458485
0.133634,0.014562,0.000000,0.000000,0.000000,-1.112337
0.063372,-0.205887,0.000000,-0.608212,-5.085850,0.374701
0.042220,-0.121120,0.000000,0.557167,0.173139,-0.353205
0.022882,-0.124670,-1.804102,0.000000,2.808435,-0.057113
-0.240420,-0.219298,1.309887,0.000000,0.000000,-0.026525
0.755569,0.000000,0.000000,0.000000,0.000000,0.000000
0.755562,0.000000,0.000000,0.000000,0.000000,0.000000
0.507297,0.267299,0.000000,0.000000,-3.472789,-0.384716
0.065364,-0.001749,0.545239,0.000000,-7.319259,0.354104
-0.206744,-0.538601,0.000000,0.000000,0.000000,0.177043
-0.084801,0.071369,1.878064,0.150149,-3.739937,-0.130456
0.202868,-0.421239,0.000000,0.000000,0.000000,-0.602790
0.131820,-0.066941,0.000000,-1.182255,1.683187,-0.121495
0.057059,0.278572,0.495391,0.000000,-3.685404,-0.550328
0.283439,0.416270,0.000000,2.485987,0.000000,-0.743856
-0.073625,-0.034736,-2.999946,-0.075872,2.475061,-0.507570
0.377901,0.101475,0.000000,2.696276,0.000000,-0.630296
-0.121007,-0.333235,0.526565,0.000000,0.000000,0.000000
-0.153003,-0.605822,0.733010,-0.224132,-0.588854,0.000000
0.129061,-0.426144,-1.551989,-0.699733,0.310358,-0.260848
0.665764,-0.365940,-0.725779,0.000000,-3.504814,-0.615928
0.394198,0.249651,-0.608458,2.081962,-4.442378,-0.055519
0.412503,0.170104,-0.510593,0.166340,-8.336407,-0.177033
0.018075,0.090568,0.000000,1.883818,-8.047293,-0.039586
0.123373,-1.186712,0.000000,0.000000,-0.743980,0.506956
-0.304769,-0.236411,-0.113737,0.000000,0.000000,0.237057
-0.182009,0.614938,0.000000,0.000000,0.000000,-1.367176
0.000000,0.409347,-0.779995,-0.663052,-1.693052,-0.309139
