species,genus,score,prevalence,nboccur,avgcountnz,avgcount,gcl,pngl,pndst,slbl
Agro.rupe,Agro,0.71814093,0.386666667,29,1.793103448,0.693333333,A,290,.4,Agro
Alch.glau,Alch,0.879391101,0.186666667,14,1.785714286,0.333333333,A,-90,.1,Al.g
Alch.pent,Alch,0.89010989,0.346666667,26,2.846153846,0.986666667,A,90,.8,Al.p
Alch.vulg,Alch,0.992857143,0.066666667,5,2,0.133333333,A,90,.8,Al.v
Alop.alpi,Alop,0.81401138,0.493333333,37,1.972972973,0.973333333,A,90,.8,Alop
Andr.brig,Andr,0.740872211,0.226666667,17,1,0.226666667,A,202.5,.4,Ad.b
Andr.vita,Andr,0.799258475,0.213333333,16,1.125,0.24,A,225,.8,Ad.v
Ante.carp,Ante,0.889452333,0.226666667,17,1.117647059,0.253333333,A,-2,.1,An.c
Ante.dioi,Ante,0.950704225,0.053333333,4,1,0.053333333,A,180.,.8,An.d
Anth.alpe,Anth,0.993150685,0.026666667,2,1,0.026666667,A,82,2.,At.al
Anth.nipp,Anth,0.72515213,0.226666667,17,1.411764706,0.32,A,270,.2,At.ni
Arni.mont,Arni,0.9375,0.04,3,1.333333333,0.053333333,A,292.5,.6,Arni
Aste.alpi,Aste,0.965753425,0.026666667,2,1,0.026666667,A,182,.8,Aste
Aven.vers,Aven,0.85,0.2,15,1.533333333,0.306666667,A,5,.2,Aven
Bart.alpi,Bart,0.993150685,0.026666667,2,1,0.026666667,B,120,1.4,Bart
Camp.sche,Camp,0.760683761,0.48,36,1.027777778,0.493333333,C,-10,.4,Camp
Card.alpi,Card,0.875529661,0.213333333,16,1.5,0.32,C,90,.7,Card
Care.foet,Care,0.859090909,0.266666667,20,2.6,0.693333333,C,-10,.2,Ca.f
Care.parv,Care,0.813492063,0.16,12,1.166666667,0.186666667,C,240,.4,Ca.p
Care.rosa,Care,0.811170213,0.373333333,28,1.892857143,0.706666667,C,90,.8,Ca.o
Care.rupe,Care,0.935714286,0.066666667,5,2.4,0.16,C,180,.4,Ca.u
Care.semp,Care,0.863095238,0.16,12,2,0.32,C,180,.4,Ca.s
Cera.cera,Cera,0.96031746,0.16,12,1.333333333,0.213333333,C,90,.8,Ce.c
Cera.stri,Cera,0.814092954,0.386666667,29,1.068965517,0.413333333,C,-60,.2,Ce.s
Cirs.acau,Cirs,0.978571429,0.066666667,5,1.4,0.093333333,C,95,.8,Cirs
Drab.aizo,Drab,0.8808933,0.173333333,13,1,0.173333333,D,267,1.6,Drab
Drya.octo,Drya,0.993150685,0.026666667,2,1,0.026666667,D,160,.8,Drya
Erig.unif,Erig,0.897941681,0.293333333,22,1,0.293333333,E,90,.8,Erig
Fest.laev,Fest,0.964788732,0.053333333,4,1,0.053333333,F,176,.8,Fe.l
Fest.quad,Fest,0.90625,0.146666667,11,2.090909091,0.306666667,F,90,.6,Fe.q
Fest.viol,Fest,0.842431762,0.173333333,13,1.846153846,0.32,F,270,1.2,Fe.v
Gent.acau,Gent,0.932835821,0.106666667,8,1,0.106666667,G,90,1.,Ge.a
