"score","species","genus","prevalence","nboccur","avgcountnz","avgcount"
"0.71814093","Agro.rupe","Agro","0.386666667","29","1.793103448","0.693333333"
"0.81401138","Alop.alpi","Alop","0.493333333","37","1.972972973","0.973333333"
"0.72515213","Anth.nipp","Anth","0.226666667","17","1.411764706","0.32"
"0.978873239","Heli.sede","Heli","0.053333333","4","1.75","0.093333333"
"0.85","Aven.vers","Aven","0.2","15","1.533333333","0.306666667"
"0.811170213","Care.rosa","Care","0.373333333","28","1.892857143","0.706666667"
"0.859090909","Care.foet","Care","0.266666667","20","2.6","0.693333333"
"0.813492063","Care.parv","Care","0.16","12","1.166666667","0.186666667"
"0.935714286","Care.rupe","Care","0.066666667","5","2.4","0.16"
"0.863095238","Care.semp","Care","0.16","12","2","0.32"
"0.964788732","Fest.laev","Fest","0.053333333","4","1","0.053333333"
"0.90625","Fest.quad","Fest","0.146666667","11","2.090909091","0.306666667"
"0.842431762","Fest.viol","Fest","0.173333333","13","1.846153846","0.32"
"0.857859532","Kobr.myos","Kobr","0.306666667","23","2.434782609","0.746666667"
"0.847947761","Luzu.lute","Luzu","0.106666667","8","1","0.106666667"
"0.813029661","Poa.alpi","Poa","0.786666667","59","1.762711864","1.386666667"
"0.942028986","Poa.supi","Poa","0.08","6","3.166666667","0.253333333"
"0.955882353","Sesl.caer","Sesl","0.093333333","7","1.571428571","0.146666667"
"0.89010989","Alch.pent","Alch","0.346666667","26","2.846153846","0.986666667"
"0.879391101","Alch.glau","Alch","0.186666667","14","1.785714286","0.333333333"
"0.992857143","Alch.vulg","Alch","0.066666667","5","2","0.133333333"
"0.740872211","Andr.brig","Andr","0.226666667","17","1","0.226666667"
"0.889452333","Ante.carp","Ante","0.226666667","17","1.117647059","0.253333333"
"0.950704225","Ante.dioi","Ante","0.053333333","4","1","0.053333333"
"0.9375","Arni.mont","Arni","0.04","3","1.333333333","0.053333333"
"0.965753425","Aste.alpi","Aste","0.026666667","2","1","0.026666667"
"0.993150685","Bart.alpi","Bart","0.026666667","2","1","0.026666667"
"0.760683761","Camp.sche","Camp","0.48","36","1.027777778","0.493333333"
"0.875529661","Card.alpi","Card","0.213333333","16","1.5","0.32"
"0.814092954","Cera.stri","Cera","0.386666667","29","1.068965517","0.413333333"
