"A","Unnamed: 0","variable","value"
"0","Agro.rupe","Slope","0.0"
"1","Alop.alpi","Slope","0.0"
"2","Anth.nipp","Slope","0.0"
"3","Heli.sede","Slope","4.780076785"
"4","Aven.vers","Slope","'-1.822262045"
"5","Care.rosa","Slope","0.086572228"
"6","Care.foet","Slope","'-1.1090761009999999"
"7","Care.parv","Slope","0.260650496"
"8","Care.rupe","Slope","0.0"
"9","Care.semp","Slope","0.0"
"10","Fest.laev","Slope","0.0"
"11","Fest.quad","Slope","0.0"
"12","Fest.viol","Slope","0.0"
"13","Kobr.myos","Slope","1.349776789"
"14","Luzu.lute","Slope","0.0"
"15","Poa.alpi","Slope","0.766407108"
"16","Poa.supi","Slope","0.0"
"17","Sesl.caer","Slope","1.658789571"
"18","Alch.pent","Slope","0.0"
"19","Alch.glau","Slope","'-1.408994633"
"20","Alch.vulg","Slope","0.0"
"21","Andr.brig","Slope","0.0"
"22","Ante.carp","Slope","0.0"
"23","Ante.dioi","Slope","0.0"
"24","Arni.mont","Slope","'-0.14471431199999998"
"25","Aste.alpi","Slope","2.705344725"
"26","Bart.alpi","Slope","0.0"
"27","Camp.sche","Slope","0.0"
"28","Card.alpi","Slope","0.0"
"29","Cera.stri","Slope","0.0"
"30","Cera.cera","Slope","0.0"
"31","Leuc.alpi","Slope","0.0"
"32","Cirs.acau","Slope","0.0"
"33","Drab.aizo","Slope","'-1.4091491459999999"
"34","Drya.octo","Slope","0.0"
"35","Erig.unif","Slope","0.0"
"36","Gent.camp","Slope","'-0.9757579479999999"
"37","Gent.acau","Slope","'-0.8096161690000001"
"38","Gent.vern","Slope","0.0"
"39","Geum.mont","Slope","0.0"
"40","Omal.supi","Slope","0.0"
"41","Andr.vita","Slope","0.0"
"42","Hier.pili","Slope","0.0"
"43","Homo.alpi","Slope","0.0"
"44","Leon.pyre","Slope","0.0"
"45","Ligu.muto","Slope","0.0"
"46","Lloy.sero","Slope","1.6162062480000001"
"47","Minu.sedo","Slope","'-0.378512446"
"48","Minu.vern","Slope","0.0"
"49","Phyt.orbi","Slope","0.0"
"50","Plan.alpi","Slope","0.0"
"51","Poly.vivi","Slope","0.029497877000000002"
"52","Pote.aure","Slope","0.0"
"53","Pote.cran","Slope","1.151800112"
"54","Pote.gran","Slope","0.0"
"55","Puls.vern","Slope","'-0.6082122010000001"
"56","Ranu.kuep","Slope","0.557166523"
"57","Sagi.glab","Slope","0.0"
"58","Sali.herb","Slope","0.0"
"59","Sali.reti","Slope","0.0"
"60","Sali.retu","Slope","0.0"
"61","Sali.serp","Slope","0.0"
"62","Saxi.pani","Slope","0.0"
"63","Sedu.alpe","Slope","0.0"
"64","Semp.mont","Slope","0.150148801"
"65","Sene.inca","Slope","0.0"
"66","Sibb.proc","Slope","'-1.1822554459999999"
"67","Sile.acau","Slope","0.0"
"68","Thym.poly","Slope","2.48598703"
"69","Vero.alpi","Slope","'-0.075871767"
"70","Vero.alli","Slope","2.696275902"
"71","Vero.bell","Slope","0.0"
"72","Myos.alpe","Slope","'-0.224132265"
"73","Tara.alpi","Slope","'-0.6997329959999999"
"74","Scab.luci","Slope","0.0"
"75","Anth.alpe","Slope","2.08196159"
"76","Oxyt.camp","Slope","0.16634041"
"77","Oxyt.lapp","Slope","1.8838176269999998"
"78","Lotu.alpi","Slope","0.0"
"79","Trif.alpi","Slope","0.0"
"80","Trif.badi","Slope","0.0"
"81","Trif.thal","Slope","'-0.663051798"
"82","Agro.rupe","PhysD","0.0"
"83","Alop.alpi","PhysD","'-0.42816123"
"84","Anth.nipp","PhysD","'-0.017002244"
"85","Heli.sede","PhysD","0.0"
"86","Aven.vers","PhysD","0.0567533"
"87","Care.rosa","PhysD","2.082645455"
"88","Care.foet","PhysD","'-1.640934871"
"89","Care.parv","PhysD","0.0"
"90","Care.rupe","PhysD","0.0"
"91","Care.semp","PhysD","0.0"
"92","Fest.laev","PhysD","0.0"
"93","Fest.quad","PhysD","0.0"
"94","Fest.viol","PhysD","0.0"
"95","Kobr.myos","PhysD","0.523868963"
"96","Luzu.lute","PhysD","0.0"
"97","Poa.alpi","PhysD","0.0"
"98","Poa.supi","PhysD","0.0"
"99","Sesl.caer","PhysD","0.0"
"100","Alch.pent","PhysD","'-0.629848554"
"101","Alch.glau","PhysD","0.0"
"102","Alch.vulg","PhysD","0.0"
"103","Andr.brig","PhysD","0.0"
"104","Ante.carp","PhysD","0.0"
"105","Ante.dioi","PhysD","0.0"
"106","Arni.mont","PhysD","'-2.387119138"
"107","Aste.alpi","PhysD","'-3.050941136"
"108","Bart.alpi","PhysD","0.0"
"109","Camp.sche","PhysD","0.86174278"
"110","Card.alpi","PhysD","0.0"
"111","Cera.stri","PhysD","0.0"
"112","Cera.cera","PhysD","0.0"
"113","Leuc.alpi","PhysD","0.25662513600000003"
"114","Cirs.acau","PhysD","0.0"
"115","Drab.aizo","PhysD","1.770656745"
"116","Drya.octo","PhysD","0.0"
"117","Erig.unif","PhysD","0.833341546"
"118","Gent.camp","PhysD","0.20368616399999998"
"119","Gent.acau","PhysD","0.0"
"120","Gent.vern","PhysD","0.0"
"121","Geum.mont","PhysD","'-0.6411452360000001"
"122","Omal.supi","PhysD","0.0"
"123","Andr.vita","PhysD","0.153591905"
"124","Hier.pili","PhysD","2.761780588"
"125","Homo.alpi","PhysD","0.0"
"126","Leon.pyre","PhysD","0.0"
"127","Ligu.muto","PhysD","0.6856858229999999"
"128","Lloy.sero","PhysD","0.0"
"129","Minu.sedo","PhysD","0.0"
"130","Minu.vern","PhysD","1.875892975"
"131","Phyt.orbi","PhysD","0.0"
"132","Plan.alpi","PhysD","0.0"
"133","Poly.vivi","PhysD","1.1069437290000002"
"134","Pote.aure","PhysD","0.0"
"135","Pote.cran","PhysD","0.0"
"136","Pote.gran","PhysD","0.0"
"137","Puls.vern","PhysD","0.0"
"138","Ranu.kuep","PhysD","0.0"
"139","Sagi.glab","PhysD","'-1.8041020630000002"
"140","Sali.herb","PhysD","1.309887291"
"141","Sali.reti","PhysD","0.0"
"142","Sali.retu","PhysD","0.0"
"143","Sali.serp","PhysD","0.0"
"144","Saxi.pani","PhysD","0.5452389360000001"
"145","Sedu.alpe","PhysD","0.0"
"146","Semp.mont","PhysD","1.878063839"
"147","Sene.inca","PhysD","0.0"
"148","Sibb.proc","PhysD","0.0"
"149","Sile.acau","PhysD","0.495390716"
"150","Thym.poly","PhysD","0.0"
"151","Vero.alpi","PhysD","'-2.9999462510000003"
"152","Vero.alli","PhysD","0.0"
"153","Vero.bell","PhysD","0.526564508"
"154","Myos.alpe","PhysD","0.733009995"
"155","Tara.alpi","PhysD","'-1.5519894969999999"
"156","Scab.luci","PhysD","'-0.725779444"
"157","Anth.alpe","PhysD","'-0.608458179"
"158","Oxyt.camp","PhysD","'-0.510592721"
"159","Oxyt.lapp","PhysD","0.0"
"160","Lotu.alpi","PhysD","0.0"
"161","Trif.alpi","PhysD","'-0.11373699300000001"
"162","Trif.badi","PhysD","0.0"
"163","Trif.thal","PhysD","'-0.779995001"
"164","Agro.rupe","Snow","0.0"
"165","Alop.alpi","Snow","2.8208000369999997"
"166","Anth.nipp","Snow","'-0.0048594"
"167","Heli.sede","Snow","'-2.690651416"
"168","Aven.vers","Snow","'-3.573707147"
"169","Care.rosa","Snow","'-4.0098008069999995"
"170","Care.foet","Snow","3.864037162"
"171","Care.parv","Snow","'-4.6937677639999995"
"172","Care.rupe","Snow","'-6.158343334"
"173","Care.semp","Snow","'-3.476245886"
"174","Fest.laev","Snow","'-7.983544529"
"175","Fest.quad","Snow","'-4.872617979"
"176","Fest.viol","Snow","'-3.3730352889999997"
"177","Kobr.myos","Snow","'-4.134928708"
"178","Luzu.lute","Snow","'-4.501290779"
"179","Poa.alpi","Snow","0.0"
"180","Poa.supi","Snow","4.565734428"
"181","Sesl.caer","Snow","'-7.99279294"
"182","Alch.pent","Snow","5.171119841"
"183","Alch.glau","Snow","'-0.313183703"
"184","Alch.vulg","Snow","0.0"
"185","Andr.brig","Snow","0.0"
"186","Ante.carp","Snow","'-2.341698778"
